,prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
0,26.1,0.21,1653.0,6322.0,8,8709.0,0,9.072112
1,100.0,1.42,262.0,262.0,6,315.0,1,5.7525725
2,97.6,0.91,166.0,170.0,10,275.0,1,5.616771
3,100.0,0.42,257.0,257.0,7,500.0,0,6.214608
4,82.5,0.53,591.0,716.0,28,933.0,1,6.838405
5,100.0,1.82,92.0,92.0,7,143.0,1,4.962845
6,100.0,0.53,399.0,399.0,31,628.0,1,6.44254
7,92.5,0.34,210.0,227.0,13,823.0,0,6.7129564
8,100.0,0.22,234.0,234.0,21,279.0,1,5.6312118
9,96.8,0.6,120.0,124.0,10,141.0,1,4.94876
10,83.0,0.5,156.0,188.0,5,252.0,0,5.529429
11,100.0,1.11,187.0,187.0,20,237.0,1,5.46806
12,65.5,0.43,350.0,534.0,5,681.0,1,6.5235624
13,84.9,0.51,1519.0,1790.0,10,2557.0,0,7.84659
14,100.0,0.19,150.0,150.0,7,187.0,1,5.2311087
15,100.0,0.41,160.0,160.0,7,188.0,1,5.236442
16,100.0,0.84,3448.0,3448.0,13,4120.0,0,8.323608
17,77.6,0.46,225.0,290.0,15,341.0,0,5.8318825
18,100.0,0.45,519.0,519.0,15,598.0,0,6.393591
19,100.0,1.13,176.0,176.0,8,273.0,1,5.609472
20,66.9,0.48,79.0,118.0,5,224.0,1,5.411646
21,100.0,0.39,270.0,270.0,7,415.0,0,6.0282784
22,70.3,0.21,201.0,286.0,7,361.0,0,5.888878
23,100.0,0.95,381.0,381.0,23,422.0,0,6.0450053
24,51.3,0.34,284.0,554.0,9,797.0,1,6.680855
25,61.3,0.36,171.0,279.0,15,2102.0,1,7.650645
26,88.3,0.96,3858.0,4371.0,28,4371.0,0,8.382747
27,100.0,0.87,143.0,143.0,8,143.0,1,4.962845
28,82.9,4.2,107.0,129.0,7,131.0,1,4.8751974
29,77.8,0.08,770.0,990.0,6,1042.0,0,6.9488974
30,100.0,0.91,179.0,179.0,6,312.0,1,5.7430034
31,90.1,0.44,2803.0,3110.0,6,3543.0,0,8.1727295
