,e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
0,0,13.17,0,0,40,1,4.575,0,1,173.4489,1600
1,1,61.23,0,1,35,1,154.0,1,0,3749.1128,1225
2,0,12.858,1,0,44,2,0.0,0,0,165.32816,1936
3,0,98.88,1,1,44,2,21.8,0,0,9777.254,1936
4,0,22.614,0,0,53,1,18.45,0,0,511.393,2809
5,0,15.0,1,0,60,3,0.0,0,0,225.0,3600
6,0,37.155,1,0,49,5,3.483,0,1,1380.4939,2401
7,0,31.896,1,0,38,5,-2.1,0,0,1017.3548,1444
8,0,47.295,1,0,52,2,5.29,0,1,2236.817,2704
9,1,29.1,0,1,45,1,29.6,0,1,846.81,2025
10,0,23.457,1,0,61,3,0.0,0,0,550.2309,3721
11,0,31.785,1,0,40,6,18.149,0,0,1010.2862,1600
12,0,34.941,1,0,48,3,0.695,0,0,1220.8737,2304
13,0,24.432,1,0,60,2,0.2,0,0,596.9226,3600
14,0,25.131,1,0,43,5,-4.25,0,0,631.5672,1849
15,0,19.074,0,1,43,1,0.0,0,0,363.81744,1849
16,1,38.772,1,0,47,2,4.15,1,0,1503.268,2209
17,1,12.48,1,0,27,2,-10.0,0,0,155.75038,729
18,1,45.39,1,0,57,2,122.5,0,1,2060.252,3249
19,0,39.861,1,0,35,2,1.6,0,1,1588.8993,1225
20,1,102.6,1,0,53,5,40.999,1,1,10526.76,2809
21,0,39.579,1,0,36,4,12.175,0,0,1566.4971,1296
22,0,40.194,1,0,40,3,8.3,0,1,1615.5576,1600
23,0,25.254,0,1,31,1,9.687,0,1,637.7645,961
24,0,10.8,0,0,48,2,0.5,0,0,116.64001,2304
25,0,27.0,0,1,42,1,0.13,0,0,729.0,1764
26,0,17.856,1,0,42,5,-15.495,0,0,318.83676,1764
27,1,38.94,1,0,35,2,0.2,1,0,1516.3235,1225
28,0,12.24,0,1,32,2,-2.5,0,1,149.8176,1024
29,0,18.0,0,0,46,2,0.0,0,1,324.0,2116
30,1,21.456,0,0,25,1,-21.02,1,0,460.35992,625
31,0,14.025,1,0,39,5,1.4,0,0,196.7006,1521
32,0,15.186,1,1,36,4,-5.192,0,1,230.6146,1296
33,1,41.415,1,0,34,5,5.8,1,1,1715.2023,1156
34,0,12.966,0,0,52,2,-4.25,0,0,168.11714,2704
35,0,58.8,1,0,41,2,63.7,0,1,3457.44,1681
36,1,63.849,1,0,44,5,5.899,1,0,4076.6946,1936
37,1,47.1,0,1,61,2,59.8,1,0,2218.41,3721
38,0,36.072,1,0,63,3,72.225,0,1,1301.1891,3969
39,1,107.64,1,0,51,2,69.0,1,1,11586.369,2601
40,1,58.92,1,0,49,4,19.679,0,0,3471.5662,2401
41,1,48.615,1,0,36,4,-2.7,0,0,2363.4185,1296
42,0,29.205,1,0,34,6,0.268,0,0,852.932,1156
43,0,24.441,0,0,36,2,2.0,0,0,597.3625,1296
44,0,18.525,1,0,28,5,-1.98,0,0,343.1756,784
45,0,15.36,1,0,38,4,-0.95,0,0,235.9296,1444
46,0,53.475,1,0,54,2,0.33,0,0,2859.5754,2916
47,1,31.056,1,0,47,6,5.64,1,0,964.4751,2209
48,0,36.072,1,0,46,5,0.0,0,0,1301.1891,2116
49,1,19.164,1,0,51,2,0.899,0,0,367.25888,2601
50,0,44.376,0,1,48,1,24.999,0,0,1969.2294,2304
51,0,28.329,0,0,54,2,26.53,0,1,802.5323,2916
52,1,37.38,0,1,48,1,2.999,0,0,1397.2645,2304
53,0,17.817,0,1,42,1,1.7,0,0,317.44547,1764
54,1,71.028,1,0,60,2,257.6,1,1,5044.9766,3600
55,0,28.476,0,0,58,1,27.0,0,1,810.88257,3364
56,0,34.041,1,0,30,2,-4.0,0,0,1158.7897,900
57,0,25.86,0,0,26,1,10.5,0,0,668.7396,676
58,1,77.355,1,0,33,4,30.9,1,1,5983.7964,1089
59,0,15.414,0,0,50,4,0.145,0,0,237.59138,2500
60,0,73.902,1,0,44,4,14.299,0,0,5461.506,1936
61,1,10.545,0,1,25,1,1.031,1,0,111.19703,625
62,0,24.177,0,1,25,1,-1.301,0,0,584.52734,625
63,1,33.42,0,0,46,2,8.412,1,0,1116.8962,2116
64,0,53.226,1,0,51,8,-1.2,0,0,2833.0073,2601
65,0,31.869,0,1,36,1,1.6,0,1,1015.6331,1296
66,0,26.946,0,0,64,2,-3.8,0,0,726.08685,4096
67,1,90.726,1,0,62,2,13.6,1,1,8231.207,3844
68,0,28.8,1,0,31,8,0.1,0,0,829.43994,961
69,0,23.193,1,0,37,7,-1.886,0,0,537.9153,1369
70,1,36.036,0,1,64,1,18.25,1,0,1298.5933,4096
71,0,56.082,1,0,28,2,9.8,0,0,3145.191,784
72,0,16.032,0,1,25,2,1.93,0,0,257.02502,625
73,1,52.236,1,0,38,6,-3.0,0,0,2728.5996,1444
74,0,39.63,1,0,41,3,0.225,0,0,1570.537,1681
75,1,34.47,1,0,50,5,27.798,1,0,1188.181,2500
76,0,31.548,1,0,56,6,-24.8,0,0,995.2763,3136
77,1,31.2,1,0,28,2,-72.8,0,0,973.44006,784
78,1,19.806,1,0,39,4,25.57,1,0,392.27762,1521
79,1,74.529,1,0,42,4,17.95,1,0,5554.572,1764
80,1,26.682,1,0,43,5,3.6,1,0,711.9291,1849
81,0,33.75,0,1,25,1,-3.0,0,0,1139.0625,625
82,1,146.577,1,0,43,5,778.628,1,1,21484.816,1849
83,0,23.718,0,0,32,1,14.299,0,1,562.5435,1024
84,1,19.302,0,0,31,1,-3.4,0,0,372.5672,961
85,0,29.4,1,0,53,2,27.96,0,1,864.36,2809
86,0,16.977,0,0,35,2,-1.025,0,0,288.2185,1225
87,0,19.734,1,0,49,7,-1.3,0,0,389.43073,2401
88,0,14.28,1,0,43,4,-0.5,0,0,203.9184,1849
89,0,30.075,1,0,47,3,4.232,0,1,904.5057,2209
90,0,27.0,1,0,46,3,-3.3,0,0,729.0,2116
91,1,33.96,1,0,36,13,10.2,1,0,1153.2815,1296
92,0,64.5,1,0,47,3,5.9,0,0,4160.25,2209
93,0,24.03,0,0,31,2,-4.0,0,0,577.4409,961
94,0,21.111,0,0,64,1,2.5,0,0,445.67432,4096
95,0,51.798,0,0,38,2,41.999,0,0,2683.033,1444
96,1,17.364,1,0,27,2,-37.504,1,0,301.5085,729
97,0,19.254,0,0,28,1,-1.1,0,0,370.7165,784
98,0,27.603,1,0,35,4,7.559,0,0,761.92566,1225
99,0,31.44,0,1,33,1,-1.0,0,0,988.47363,1089
100,0,30.24,0,0,45,3,0.92,0,0,914.4576,2025
101,0,16.83,0,1,28,1,0.74,0,0,283.2489,784
102,1,30.231,1,0,34,4,-0.03,1,0,913.9134,1156
103,0,35.4,0,1,33,2,2.475,0,0,1253.1602,1089
104,1,46.155,1,0,55,5,53.948,1,1,2130.284,3025
105,0,27.33,1,0,50,4,-2.6,0,0,746.9289,2500
106,1,24.678,0,0,44,3,0.583,0,0,609.00366,1936
107,1,36.027,1,1,59,2,20.249,1,0,1297.9447,3481
108,0,13.59,0,0,32,4,0.0,0,0,184.68811,1024
109,0,15.741,0,0,49,2,0.05,0,0,247.77908,2401
110,0,27.465,1,0,52,4,1.1,0,0,754.32623,2704
111,0,54.963,1,0,55,2,53.699,0,0,3020.9314,3025
112,0,18.549,1,0,63,2,19.0,0,0,344.0654,3969
113,1,21.576,0,1,39,1,14.5,1,1,465.52377,1521
114,0,38.76,1,0,47,3,-0.5,0,0,1502.3375,2209
115,1,64.662,1,0,62,2,19.444,1,1,4181.175,3844
116,1,43.158,1,0,46,2,8.0,1,0,1862.613,2116
117,0,17.88,0,0,43,3,-3.151,0,0,319.69437,1849
118,1,23.7,1,0,53,2,13.2,1,0,561.69006,2809
119,0,37.755,1,0,56,2,-1.2,0,0,1425.4401,3136
120,1,40.971,1,1,29,3,-9.968,1,0,1678.6229,841
121,0,13.428,1,0,28,2,7.179,0,0,180.3112,784
122,1,92.991,1,0,48,5,83.9,1,1,8647.325,2304
123,0,35.061,1,0,41,3,22.0,0,0,1229.2738,1681
