,chnimp,bchlimp,befile6,affile6,afdec6,befile12,affile12,afdec12,chempi,gas,rtwex,spr,sum,fall,lchnimp,lgas,lrtwex,lchempi,t,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,percchn
0,220.462,9578.376,0,0,0,0,0,0,100.1,7830000000.0,86.74,0,0,0,5.3957253,22.781229,4.462915,4.6061697,1,1,0,0,0,0,0,0,0,0,0,0,2.3016636
1,94.798,11219.48,0,0,0,0,0,0,100.9,8820000000.0,85.63,1,0,0,4.5517483,22.900288,4.4500356,4.61413,2,0,1,0,0,0,0,0,0,0,0,0,0.8449411
2,219.3575,9719.9,0,0,0,0,0,0,101.1,8450000000.0,85.42,1,0,0,5.3907027,22.857431,4.4475803,4.6161103,3,0,0,1,0,0,0,0,0,0,0,0,2.2567875
3,317.4215,12920.95,0,0,0,0,0,0,102.5,9240000000.0,87.29,1,0,0,5.7602305,22.946808,4.469236,4.629863,4,0,0,0,1,0,0,0,0,0,0,0,2.4566422
4,114.639,9790.446,0,0,0,0,0,0,104.1,9150000000.0,86.6,0,1,0,4.741788,22.93702,4.4613,4.645352,5,0,0,0,0,1,0,0,0,0,0,0,1.1709272
5,129.524,11020.47,0,0,0,0,0,0,104.8,9520000000.0,84.63,0,1,0,4.8638663,22.97666,4.4382887,4.652054,6,0,0,0,0,0,1,0,0,0,0,0,1.1753038
6,110.092,8302.168,0,0,0,0,0,0,104.7,9770000000.0,82.57,0,1,0,4.7013164,23.002583,4.413646,4.651099,7,0,0,0,0,0,0,1,0,0,0,0,1.3260633
7,39.683,9583.325,0,0,0,0,0,0,105.8,9380000000.0,82.33,0,0,1,3.6809227,22.961845,4.4107356,4.6615505,8,0,0,0,0,0,0,0,1,0,0,0,0.4140838
8,262.823,9880.729,0,0,0,0,0,0,106.8,9390000000.0,79.45,0,0,1,5.5714808,22.962912,4.375128,4.670958,9,0,0,0,0,0,0,0,0,1,0,0,2.6599557
9,173.998,9003.923,0,0,0,0,0,0,107.7,9610000000.0,82.24,0,0,1,5.159044,22.98607,4.4096417,4.6793494,10,0,0,0,0,0,0,0,0,0,1,0,1.9324688
10,548.9455,10153.39,0,0,0,0,0,0,107.9,10200000000.0,81.94,0,0,0,6.307999,23.045654,4.4059873,4.681205,11,0,0,0,0,0,0,0,0,0,0,1,5.4065247
