,wage,lwage,belavg,abvavg,exper,looks,union,goodhlth,black,female,married,south,bigcity,smllcity,service,expersq,educ
0,5.73,1.7457155,0,1,30,4,0,1,0,1,1,0,0,1,1,900,14
1,4.28,1.453953,0,0,28,3,0,1,0,1,1,1,0,1,0,784,12
2,7.96,2.074429,0,1,35,4,0,1,0,1,0,0,0,1,0,1225,10
3,11.57,2.4484155,0,0,38,3,0,1,0,0,1,0,1,0,1,1444,16
4,11.42,2.4353662,0,0,27,3,0,1,0,0,1,0,0,1,0,729,16
5,3.91,1.3635374,0,0,20,3,0,0,0,1,1,0,1,0,0,400,12
6,8.76,2.1701958,0,0,12,3,0,1,0,0,1,0,1,0,0,144,16
7,7.69,2.0399208,0,1,5,4,1,1,0,0,0,0,0,1,0,25,16
8,5.0,1.609438,0,0,5,3,0,1,0,1,0,0,0,0,0,25,16
9,3.89,1.3584092,0,0,12,3,0,1,0,1,0,0,0,1,0,144,12
10,3.45,1.2383742,0,1,3,4,0,1,0,1,0,0,1,0,0,9,12
11,4.03,1.3937664,0,1,6,4,0,1,0,0,1,0,0,1,0,36,16
12,5.14,1.637053,1,0,19,2,0,1,0,0,1,0,0,1,1,361,17
13,3.0,1.0986123,0,0,8,3,0,1,0,0,0,0,0,1,1,64,16
14,7.99,2.0781908,0,1,12,4,0,1,0,0,1,0,0,0,0,144,16
15,6.01,1.7934248,0,1,17,4,0,1,0,0,1,0,0,1,0,289,16
16,5.16,1.6409365,0,0,7,3,0,1,0,0,1,0,0,0,0,49,17
17,11.54,2.4458191,0,1,12,4,0,1,0,0,1,1,0,1,1,144,17
18,10.44,2.3456445,0,1,10,4,0,1,0,1,0,0,1,0,0,100,17
19,7.69,2.0399208,0,0,7,3,0,1,0,1,1,0,0,0,1,49,16
20,7.69,2.0399208,0,1,7,4,1,1,0,0,0,0,0,1,0,49,17
21,6.79,1.9154509,0,0,19,3,0,1,0,0,1,0,0,1,1,361,14
22,6.87,1.9271641,0,0,33,3,0,1,0,0,1,0,1,0,1,1089,12
23,17.03,2.8349764,0,0,32,3,0,1,0,0,1,0,1,0,0,1024,13
24,10.05,2.3075726,0,1,12,4,0,1,0,0,1,0,1,0,0,144,13
25,15.81,2.7606428,0,1,24,4,0,1,0,0,1,1,0,1,1,576,17
26,14.84,2.6973262,0,1,29,5,0,1,0,0,0,1,1,0,1,841,13
27,19.08,2.9486406,0,1,17,5,0,1,0,0,0,0,1,0,0,289,17
28,8.35,2.1222615,1,0,41,1,0,0,0,0,1,1,1,0,1,1681,16
29,9.62,2.2638443,0,0,40,3,0,0,0,0,1,0,0,1,0,1600,16
30,5.96,1.7850705,0,0,10,3,0,1,0,0,1,0,0,1,0,100,14
31,5.73,1.7457155,0,0,43,3,0,0,0,0,1,0,0,1,0,1849,10
32,6.73,1.9065752,0,1,41,4,0,1,0,0,1,0,0,1,0,1681,10
33,8.17,2.1004689,1,0,18,2,0,1,0,0,1,0,0,1,0,324,16
34,12.39,2.5168898,0,1,28,4,0,1,0,0,1,0,1,0,0,784,12
35,9.62,2.2638443,1,0,37,2,0,1,0,0,1,0,1,0,0,1369,13
36,4.83,1.5748465,0,1,20,4,0,1,1,0,1,0,0,1,0,400,16
37,7.69,2.0399208,1,0,10,2,1,1,0,0,1,0,0,1,0,100,13
38,12.5,2.5257287,0,0,31,3,0,1,0,0,1,1,0,1,0,961,16
39,2.82,1.0367368,0,0,18,3,0,1,0,0,1,0,0,0,1,324,12
40,12.31,2.510412,0,0,9,3,1,1,0,0,0,0,1,0,0,81,17
41,13.22,2.5817308,0,0,42,3,0,1,0,0,1,0,1,0,0,1764,16
42,16.83,2.823163,0,1,14,4,0,1,0,0,1,1,1,0,0,196,16
43,11.54,2.4458191,0,0,27,3,0,1,0,0,1,0,1,0,0,729,16
44,4.95,1.5993875,0,0,20,3,0,1,1,1,0,1,1,0,1,400,14
45,7.21,1.975469,0,0,14,3,0,1,0,0,1,0,1,0,0,196,17
46,11.58,2.4492795,0,0,4,3,0,1,0,0,1,0,1,0,0,16,17
47,15.38,2.733068,0,0,13,3,0,1,0,0,1,0,1,0,0,169,17
48,6.1,1.8082888,0,0,5,3,0,1,0,0,1,0,0,1,1,25,17
49,7.93,2.070653,0,0,32,3,0,1,0,0,1,0,1,0,1,1024,17
50,9.16,2.2148461,0,1,19,4,1,1,0,1,1,0,1,0,1,361,17
51,6.91,1.9329696,0,1,14,4,0,1,0,1,0,1,1,0,1,196,17
52,20.18,3.004692,0,0,28,3,0,1,0,0,1,0,1,0,1,784,17
53,9.93,2.2955606,0,0,31,3,1,1,0,0,1,1,0,1,0,961,17
54,7.79,2.052841,0,1,18,4,0,1,0,0,1,0,0,1,0,324,13
55,5.13,1.6351057,0,0,23,3,0,1,0,0,1,0,0,0,1,529,5
56,10.99,2.3969858,0,1,14,4,0,1,0,0,1,1,0,1,0,196,16
57,6.56,1.8809906,1,0,17,2,0,1,0,0,1,0,0,1,0,289,13
58,10.1,2.3125355,0,0,16,3,0,1,0,0,1,0,1,0,0,256,13
59,10.74,2.373975,0,0,19,3,0,1,0,0,1,0,0,0,0,361,16
60,16.35,2.7942278,0,0,26,3,0,1,0,0,1,0,1,0,0,676,17
61,4.62,1.5303947,0,1,20,4,0,1,0,1,1,1,0,1,1,400,12
62,7.49,2.0135689,0,0,18,3,0,1,0,0,1,0,0,0,0,324,17
63,19.23,2.9564714,0,0,35,3,0,1,0,0,1,0,1,0,0,1225,17
64,4.77,1.5623463,0,1,9,4,0,1,0,1,0,1,0,1,1,81,17
65,7.14,1.9657128,1,0,20,2,0,1,0,1,0,0,1,0,1,400,17
66,14.42,2.668616,0,1,7,4,0,1,0,0,1,1,0,0,1,49,17
67,9.28,2.2278614,0,1,40,4,0,1,0,0,0,1,0,0,1,1600,17
68,29.98,3.4005306,0,0,12,3,0,1,0,0,1,0,0,1,1,144,17
69,32.79,3.4901235,0,1,33,4,0,1,0,0,1,0,0,1,1,1089,16
