,distid,schid,lunch,enroll,staff,exppp,avgsal,avgben,math4,story4,bs,lavgsal,lenroll,lstaff,bsbar,lunchbar,lenrollbar,lstaffbar
0,1010.0,4937,48.3,539,71.1,3586,39383.0,13656,68.0,70.7,0.3467486,10.58109,6.289716,4.264087,0.34674859046936035,48.29999923706055,6.289715766906738,4.264087200164795
1,2010.0,4959,51.5,59,127.1,4357,25622.0,10004,40.0,40.0,0.3904457,10.151207,4.0775375,4.844974,0.3904457092285156,51.5,4.077537536621094,4.844974040985107
2,2020.0,4999,51.2,82,122.6,5667,31318.0,12645,57.1,57.1,0.40376142,10.351949,4.406719,4.808927,0.4037614166736603,51.20000076293945,4.406719207763672,4.808927059173584
3,2070.0,597,33.7,409,77.5,2752,27873.0,9657,63.2,73.5,0.3464643,10.235414,6.0137153,4.350278,0.3464643061161041,33.70000076293945,6.0137152671813965,4.350277900695801
4,3010.0,790,11.9,259,87.6,3253,31264.0,10017,56.4,64.1,0.32040045,10.350223,5.556828,4.472781,0.3185335000356038,20.933333079020183,5.918445746103923,4.39146629969279
5,3010.0,1403,22.8,337,105.3,3326,26385.0,8395,60.0,80.0,0.3181732,10.180551,5.820083,4.6568136,0.3185335000356038,20.933333079020183,5.918445746103923,4.39146629969279
6,3010.0,4056,28.1,589,57.1,2260,33177.0,10518,64.5,71.6,0.31702685,10.409612,6.378426,4.044804,0.3185335000356038,20.933333079020183,5.918445746103923,4.39146629969279
7,3020.0,922,30.6,450,76.2,2934,34666.0,11032,66.2,76.5,0.3182369,10.453515,6.1092477,4.3333616,0.317682812611262,25.566666920979817,5.8959245681762695,4.2339145342508955
8,3020.0,2864,30.1,380,71.1,3063,34798.0,11278,74.0,78.0,0.3240991,10.457315,5.9401712,4.264087,0.317682812611262,25.566666920979817,5.8959245681762695,4.2339145342508955
9,3020.0,4851,16.0,281,60.6,2957,39300.0,12211,51.2,79.1,0.31071246,10.5789795,5.638355,4.104295,0.317682812611262,25.566666920979817,5.8959245681762695,4.2339145342508955
10,3030.0,881,30.7,360,94.6,2548,25496.0,8023,63.5,80.4,0.31467682,10.146276,5.886104,4.5496573,0.31333091109991074,31.700000286102295,5.850588440895081,4.293529510498047
11,3030.0,2748,27.6,281,68.6,2846,33326.0,10437,62.3,67.9,0.3131789,10.414093,5.638355,4.2282925,0.31333091109991074,31.700000286102295,5.850588440895081,4.293529510498047
