,enroll,priv,police,crime,lcrime,lenroll,lpolice
0,21836.0,0,24,446,6.100319,9.991315,3.1780539
1,6485.0,0,13,1,0.0,8.777247,2.5649493
2,2123.0,0,3,1,0.0,7.6605854,1.0986123
3,8240.0,0,17,121,4.7957907,9.016756,2.8332133
4,19793.0,0,30,470,6.152733,9.893084,3.4011974
5,3256.0,1,9,25,3.218876,8.088255,2.1972246
6,11990.0,0,20,67,4.204693,9.391829,2.9957323
7,42615.0,0,44,1327,7.190676,10.659962,3.7841897
8,5112.0,1,7,43,3.7612002,8.539346,1.9459101
9,17689.0,0,18,484,6.182085,9.780698,2.8903718
10,29088.0,0,21,170,5.1357985,10.278081,3.0445225
11,35210.0,0,32,1145,7.04316,10.469086,3.465736
12,4481.0,1,5,54,3.988984,8.407601,1.609438
13,13570.0,1,6,82,4.406719,9.515616,1.7917595
14,18772.0,0,12,468,6.1484685,9.840121,2.4849067
15,17572.0,0,11,491,6.196444,9.774062,2.3978953
16,15669.0,0,10,499,6.212606,9.659439,2.3025851
17,10359.0,0,12,186,5.2257466,9.245611,2.4849067
18,19820.0,0,16,684,6.527958,9.894446,2.7725887
19,8173.0,1,2,65,4.1743875,9.008592,0.6931472
20,7910.0,1,17,326,5.786897,8.9758835,2.8332133
21,30796.0,0,74,1712,7.4454174,10.33514,4.304065
22,24011.0,0,47,1384,7.2327332,10.086267,3.8501475
23,16897.0,0,24,781,6.660575,9.734891,3.1780539
24,17812.0,0,16,395,5.9788857,9.787627,2.7725887
25,11188.0,0,8,124,4.8202815,9.3225975,2.0794415
26,23958.0,0,21,568,6.3421216,10.084058,3.0445225
27,23958.0,0,14,411,6.0185933,10.084058,2.6390574
28,12412.0,0,8,140,4.9416423,9.426419,2.0794415
29,2746.0,1,5,157,5.056246,7.9179006,1.609438
30,21779.0,0,9,152,5.0238805,9.988702,2.1972246
31,31804.0,0,22,170,5.1357985,10.367348,3.0910425
32,42790.0,0,48,1962,7.58172,10.66406,3.871201
33,6921.0,0,48,178,5.1817837,8.842316,3.871201
34,8652.0,0,14,194,5.267858,9.065546,2.6390574
35,12530.0,0,15,106,4.6634393,9.435881,2.7080503
36,6271.0,0,8,90,4.4998097,8.743691,2.0794415
37,35343.0,0,26,2052,7.62657,10.472856,3.2580965
38,27901.0,0,25,580,6.363028,10.236418,3.218876
39,56350.0,0,36,1372,7.224025,10.939338,3.583519
40,11382.0,0,63,276,5.620401,9.339788,4.1431346
41,24620.0,0,25,935,6.8405466,10.111315,3.218876
42,11967.0,0,11,89,4.4886365,9.389908,2.3978953
43,7116.0,0,19,17,2.8332133,8.870101,2.944439
44,7758.0,0,12,42,3.7376697,8.95648,2.4849067
45,11739.0,0,20,83,4.4188404,9.370672,2.9957323
46,5488.0,0,16,144,4.9698133,8.610319,2.7725887
47,9831.0,0,28,302,5.710427,9.1932955,3.3322046
48,33376.0,0,60,896,6.7979403,10.415592,4.0943446
49,9689.0,1,26,175,5.164786,9.178746,3.2580965
50,4720.0,1,7,62,4.1271343,8.459564,1.9459101
51,18685.0,0,19,525,6.263398,9.835476,2.944439
52,18607.0,0,32,414,6.025866,9.831293,3.465736
53,24525.0,0,27,495,6.204558,10.107449,3.295837
54,8940.0,0,5,38,3.637586,9.09829,1.609438
55,16318.0,0,35,444,6.0958247,9.700024,3.5553482
56,54311.0,0,51,1839,7.5169773,10.902482,3.9318256
57,18688.0,0,24,361,5.888878,9.835637,3.1780539
58,30051.0,0,50,1202,7.091742,10.310651,3.912023
59,24947.0,0,27,294,5.68358,10.124509,3.295837
60,15164.0,0,21,145,4.9767337,9.626679,3.0445225
61,5803.0,0,6,50,3.912023,8.66613,1.7917595
62,19770.0,0,27,351,5.8607864,9.891921,3.295837
63,2167.0,0,8,85,4.4426513,7.681099,2.0794415
64,3850.0,0,7,47,3.8501475,8.255829,1.9459101
65,21250.0,0,26,691,6.53814,9.964112,3.2580965
66,6209.0,0,10,118,4.7706847,8.733755,2.3025851
67,8165.0,0,14,103,4.634729,9.007612,2.6390574
68,1799.0,1,9,44,3.7841897,7.494986,2.1972246
69,14620.0,0,19,239,5.4764633,9.590146,2.944439
70,6555.0,0,14,202,5.3082676,8.787983,2.6390574
71,3712.0,0,8,58,4.060443,8.219326,2.0794415
72,3290.0,0,11,64,4.158883,8.098643,2.3978953
73,2446.0,0,5,43,3.7612002,7.8022094,1.609438
74,4100.0,0,6,53,3.9702919,8.318742,1.7917595
75,38989.0,0,48,969,6.8762646,10.571034,3.871201
76,5363.0,0,12,129,4.8598123,8.587278,2.4849067
77,26266.0,0,48,728,6.590301,10.17603,3.871201
78,1859.0,0,31,246,5.5053315,7.527794,3.4339871
79,25135.0,0,25,456,6.122493,10.132016,3.218876
80,49961.0,0,65,982,6.889591,10.818998,4.1743875
81,8980.0,0,9,72,4.276666,9.102756,2.1972246
