,id,read12,math12,female,asian,hispan,black,motheduc,fatheduc,lfaminc,hsgrad,cathhs,parcath
0,124902.0,61.41,49.77,0,0,0,0,14.0,12.0,10.308952,1.0,0,1
1,124915.0,58.34,59.84,0,0,0,0,14.0,14.0,10.308952,1.0,0,1
2,124916.0,59.33,50.38,1,0,0,0,14.0,11.0,10.308952,1.0,0,1
3,124932.0,49.59,45.03,1,0,0,0,12.0,14.0,10.308952,1.0,0,1
4,124944.0,57.62,54.26,1,0,0,0,12.0,12.0,10.657259,1.0,0,1
5,124947.0,52.53,56.73,1,0,0,0,12.0,11.0,11.042922,1.0,0,1
6,124966.0,60.12,55.37,1,0,0,0,14.0,14.0,9.433484,1.0,0,1
7,124968.0,64.69,65.07,0,0,0,0,14.0,14.0,10.308952,1.0,0,1
8,124972.0,42.09,53.98,0,0,0,0,14.0,14.0,10.308952,1.0,0,1
9,124974.0,60.23,62.72,0,0,0,0,14.0,12.0,9.769957,1.0,0,1
10,124981.0,53.03,46.86,0,0,0,0,12.0,14.0,10.308952,1.0,0,1
11,124985.0,58.25,52.05,1,0,0,0,12.0,11.5,10.657259,1.0,0,1
12,124990.0,63.95,63.86,1,0,0,0,14.0,12.0,10.308952,1.0,0,1
13,124992.0,38.51,61.41,1,0,0,0,14.0,11.0,9.076809,1.0,0,1
14,124998.0,43.15,45.54,1,0,0,0,12.0,12.0,9.769957,1.0,0,1
15,175585.0,60.28,62.5,1,0,0,0,16.0,14.0,10.308952,1.0,0,1
16,180607.0,63.57,58.77,0,0,0,0,12.0,12.0,9.769957,1.0,1,1
17,180608.0,61.73,59.25,0,0,0,0,14.0,16.0,10.308952,1.0,1,0
18,180610.0,55.4,63.43,0,0,0,0,12.0,16.0,10.657259,1.0,1,0
19,180625.0,45.79,51.51,0,0,0,0,12.0,14.0,10.657259,1.0,1,1
20,180655.0,55.56,56.55,0,0,0,0,11.0,14.0,11.042922,1.0,1,1
21,180660.0,52.56,59.69,0,0,0,0,14.0,16.0,10.308952,1.0,1,1
22,180672.0,58.2,50.02,1,0,0,0,14.0,16.0,10.657259,1.0,1,0
23,180681.0,59.28,64.14,0,0,0,0,16.0,17.0,10.657259,1.0,1,1
24,180690.0,63.31,63.5,0,0,0,0,17.0,18.0,10.308952,1.0,1,1
25,184603.0,59.31,48.76,0,0,0,0,12.0,12.0,11.042922,1.0,1,1
26,184615.0,34.19,35.51,0,0,0,0,12.0,12.0,10.021271,,1,1
27,184626.0,54.86,40.68,0,0,0,0,12.0,14.0,10.308952,1.0,1,1
28,184670.0,44.45,45.65,1,0,0,0,14.0,14.0,10.308952,1.0,1,1
29,184690.0,56.92,50.88,0,0,0,0,12.0,12.0,10.657259,1.0,1,1
30,700096.0,48.47,41.75,0,0,1,0,14.0,14.0,8.294049,,0,0
31,701120.0,61.3,63.23,1,0,0,0,12.0,17.0,10.657259,1.0,0,0
32,701125.0,52.52,48.15,1,0,0,0,16.0,17.0,11.042922,,0,0
33,701131.0,42.07,43.12,1,0,0,0,12.0,16.0,8.740336,1.0,0,0
34,701158.0,33.87,42.06,1,0,0,1,12.0,17.0,9.433484,,0,0
35,701163.0,44.17,37.06,1,0,0,0,14.0,14.0,11.042922,1.0,0,0
36,701173.0,48.08,56.52,0,0,0,0,12.0,11.0,9.433484,1.0,0,0
37,701178.0,56.8,64.11,1,0,0,0,14.0,16.0,10.657259,1.0,0,0
