,state,puma,educ,lweekinc,exper,expersq
0,48,100,13,6.471038,37,1369
1,14,2502,13,6.0876484,14,196
2,44,1800,12,7.034049,21,441
3,65,100,13,6.694181,12,144
4,61,206,16,7.338538,18,324
5,71,1601,12,6.4222474,15,225
6,72,1309,13,6.9995627,29,841
7,64,100,13,6.8648477,14,196
8,21,3301,16,7.9052715,22,484
9,45,1600,16,6.406499,26,676
10,3,1400,12,7.7440033,30,900
11,24,2000,12,6.7338595,39,1521
12,44,1501,13,6.0920057,21,441
13,49,2104,16,8.737255,30,900
14,22,900,14,6.6149316,9,81
15,12,2002,13,6.8584843,16,256
16,61,116,12,7.1292977,44,1936
17,3,1300,13,6.848332,34,1156
18,81,300,12,6.415279,46,2116
19,1,1400,12,6.4222474,32,1024
20,12,502,16,6.6023736,23,529
21,43,3100,12,6.453019,29,841
22,71,8001,12,7.338538,35,1225
23,71,2104,16,7.7993536,28,784
24,47,1100,12,7.050856,24,576
25,40,304,16,7.6009026,17,289
26,71,1502,14,7.5208597,32,1024
27,25,1100,12,6.357709,25,625
28,53,300,12,6.44694,17,289
29,34,700,13,6.0920057,11,121
30,48,302,12,6.7384257,8,64
31,54,400,12,5.474208,17,289
32,22,1902,16,6.645391,18,324
33,44,500,16,5.2590966,14,196
34,47,2300,10,6.5400305,29,841
35,52,1202,13,6.9995627,17,289
36,13,4203,12,7.5516315,32,1024
37,71,2707,13,6.6564407,20,400
38,53,1400,16,7.338538,30,900
39,48,1800,12,6.8277125,42,1764
40,35,400,13,5.5096264,21,441
41,53,1000,11,8.757784,42,1764
42,35,100,12,6.9077554,43,1849
43,25,2101,16,7.130899,13,169
44,33,1002,12,6.785153,23,529
45,33,1405,16,8.676824,21,441
46,66,800,12,3.6888795,16,256
47,43,3613,11,6.453019,19,361
48,23,3600,16,4.9166064,32,1024
49,21,3002,12,6.8685346,14,196
50,44,3600,12,6.5940976,27,729
51,14,2201,10,5.952244,18,324
52,45,600,12,5.952244,8,64
53,63,600,16,7.050856,20,400
54,3,500,13,6.6200733,27,729
55,21,2300,12,6.3700566,13,169
56,1,100,12,6.806659,12,144
57,65,508,13,7.495542,15,225
58,40,1600,12,6.145615,9,81
59,49,4000,16,6.75872,28,784
60,22,2304,12,7.6104717,38,1444
61,22,2400,13,6.963845,18,324
62,63,600,13,5.441418,11,121
63,51,2200,10,5.616771,23,529
64,71,6602,16,7.130899,9,81
65,14,3600,12,6.963845,28,784
66,62,806,10,6.5792513,20,400
67,49,1700,12,6.482872,25,625
68,13,4005,16,6.49224,4,16
69,21,3206,12,6.9077554,18,324
70,42,700,12,7.619951,44,1936
