,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
0,1095,20,27595.0,14.1,106.4,191,1,0,0,0,6.9985094,10.2253895
1,1001,32,9958.0,10.9,-30.6,13,1,0,0,0,6.908755,9.206132
2,1122,9,6125.9,23.5,-16.3,14,1,0,0,0,7.022868,8.720281
3,578,-9,16246.0,5.9,-25.7,-21,1,0,0,0,6.359574,9.695602
4,1368,7,21783.2,13.8,-3.0,56,1,0,0,0,7.221105,9.988894
5,1145,5,6021.4,20.0,1.0,55,1,0,0,0,7.04316,8.703075
6,1078,10,2266.7,16.4,-5.9,62,1,0,0,0,6.982863,7.7260804
7,1094,7,2966.8,16.3,-1.6,44,1,0,0,0,6.997596,7.9952393
8,1237,16,4570.2,10.5,-70.2,37,1,0,0,0,7.1204443,8.427312
9,833,5,2830.0,26.3,-23.9,37,1,0,0,0,6.7250338,7.948032
10,567,7,596.8,25.9,39.5,109,1,0,0,0,6.340359,6.391582
11,933,-3,19773.0,26.8,-26.8,-10,1,0,0,0,6.838405,9.892073
12,1339,-9,40047.0,14.8,12.1,41,1,0,0,0,7.1996784,10.597809
13,937,9,2513.8,22.3,9.8,44,1,0,0,0,6.8426833,7.8295507
14,2011,49,1580.6,56.3,62.2,63,1,0,0,0,7.6063876,7.3655596
15,1585,4,6754.0,12.6,9.3,17,1,0,0,0,7.3683395,8.81789
16,905,12,1066.3,20.4,33.8,141,1,0,0,0,6.8079348,6.97195
17,1058,94,3199.9,1.9,-86.8,-15,1,0,0,0,6.9641356,8.070875
18,922,48,1452.7,19.9,97.3,56,1,0,0,0,6.8265452,7.281179
19,1220,-7,8995.0,15.4,19.5,28,1,0,0,0,7.106606,9.104424
20,1022,16,1212.3,38.7,162.9,83,1,0,0,0,6.929517,7.1002746
21,759,12,2824.2,16.4,-9.4,21,1,0,0,0,6.632002,7.9459805
22,1414,0,7621.0,24.4,-30.2,-10,1,0,0,0,7.254178,8.938663
23,1041,-11,4418.3,15.6,-7.5,74,1,0,0,0,6.947937,8.39351
24,1688,1,12343.0,14.4,-16.8,15,1,0,0,0,7.4312997,9.420844
25,2983,13,57662.0,19.0,9.9,42,1,0,0,0,8.000685,10.962354
26,1160,0,4319.7,16.1,-23.3,-2,1,0,0,0,7.056175,8.370941
27,3844,61,20604.0,12.1,-5.9,18,1,0,0,0,8.254269,9.933241
