,respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift
0,0,0,0,143.0,0.3,2.5,10,10.0
1,0,0,0,65.42857,0.3,2.5,10,10.0
2,0,0,1,13.142858,0.3,2.5,10,10.0
3,0,0,0,120.14286,0.3,2.5,10,10.0
4,1,10,0,103.85714,0.2,2.5,10,10.0
5,0,0,0,129.14285,0.3,2.5,10,10.0
6,0,0,0,143.0,0.3,2.5,10,10.0
7,0,0,0,103.85714,0.5,2.5,5,6.0
8,0,0,1,13.142858,0.3,2.5,10,10.0
9,1,5,0,51.285713,0.5,2.5,5,5.0
10,0,0,0,103.85714,0.3,2.5,10,10.0
11,0,0,0,103.85714,0.3,2.5,10,10.0
12,0,0,0,26.142857,0.222222,2.25,10,10.0
13,1,10,0,51.285713,0.222222,2.25,10,10.0
14,0,0,0,26.142857,0.333333,2.25,10,10.0
15,0,0,0,158.0,0.222222,2.25,5,7.5
16,0,0,0,26.142857,0.3,2.5,10,10.0
17,0,0,0,103.85714,0.3,2.5,10,10.0
18,0,0,0,103.85714,0.4,2.5,10,8.75
19,1,2,0,26.142857,0.666667,2.25,5,5.0
20,1,3,1,13.142858,1.0,2.25,3,3.0
21,0,0,0,103.85714,0.333333,2.25,10,10.0
22,0,0,1,13.142858,0.222222,2.25,10,17.5
23,0,0,0,77.14286,0.222222,2.25,10,17.5
24,0,0,1,13.142858,0.555556,2.25,5,5.0
25,1,5,1,13.142858,0.666667,2.25,5,5.0
26,0,0,1,13.142858,0.333333,2.25,10,11.666667
27,1,10,0,129.14285,0.222222,2.25,10,10.0
28,0,0,0,51.285713,0.5,2.5,10,6.8000026
29,0,0,0,65.42857,0.2,2.5,15,15.0
30,0,0,0,26.142857,0.6,2.5,7,5.3333335
31,0,0,0,103.85714,0.222222,2.25,15,15.0
32,0,0,0,120.14286,0.222222,2.25,10,15.0
33,0,0,0,103.85714,0.3,2.5,10,10.0
34,0,0,0,143.0,0.2,2.5,15,15.0
35,0,0,0,26.142857,0.666667,2.25,5,5.0
36,0,0,0,65.42857,0.3,2.5,10,10.0
37,0,0,0,103.85714,0.4,2.5,5,5.0
38,0,0,0,26.142857,0.333333,2.25,10,8.333333
39,0,0,0,103.85714,0.2,2.5,10,10.0
40,0,0,0,129.14285,0.1,2.5,25,25.0
41,0,0,0,103.85714,0.2,2.5,15,12.5
42,0,0,0,51.285713,0.2,2.5,15,12.5
43,0,0,0,143.0,0.1,2.5,25,25.0
44,0,0,0,120.14286,0.1,2.5,25,25.0
45,0,0,0,103.85714,0.4,2.5,10,6.25
46,0,0,1,13.142858,0.666667,2.25,5,5.0
47,0,0,1,13.142858,0.5,2.5,5,5.0
48,0,0,0,120.14286,0.1,2.5,25,25.0
49,0,0,0,26.142857,0.3,2.5,5,6.6666665
50,0,0,0,51.285713,0.4,2.5,5,5.0
51,0,0,0,103.85714,0.2,2.5,10,10.0
52,0,0,0,51.285713,0.2,2.5,10,10.0
53,0,0,0,120.14286,0.2,2.5,10,10.0
54,0,0,0,120.14286,0.1,2.5,25,25.0
55,0,0,0,129.14285,0.2,2.5,15,12.5
56,0,0,0,158.0,0.2,2.5,10,15.0
57,0,0,0,77.14286,0.6,2.5,5,5.0
58,0,0,0,143.0,0.222222,2.25,15,15.0
59,0,0,1,13.142858,0.3,2.5,10,11.666667
60,0,0,0,103.85714,0.333333,2.25,10,10.0
61,0,0,0,51.285713,0.222222,2.25,10,10.0
62,0,0,0,143.0,0.2,2.5,15,15.0
63,0,0,0,65.42857,0.3,2.5,10,10.0
64,0,0,1,13.142858,0.222222,2.25,15,15.0
65,0,0,0,65.42857,0.2,2.5,10,12.5
66,0,0,0,143.0,0.222222,2.25,10,15.0
67,0,0,0,129.14285,0.2,2.5,15,12.5
68,0,0,0,65.42857,0.5,2.5,5,5.4
69,0,0,0,51.285713,0.5,2.5,5,5.4
70,1,5,0,103.85714,0.3,2.5,7,7.0
71,0,0,0,51.285713,0.4,2.5,5,6.25
72,0,0,1,13.142858,0.3,2.5,10,8.333333
73,0,0,0,143.0,0.3,2.5,10,10.0
74,0,0,1,13.142858,0.222222,2.25,10,17.5
75,0,0,1,13.142858,0.9,2.5,5,5.0
76,0,0,0,103.85714,0.2,2.5,10,17.5
77,0,0,0,103.85714,0.2,2.5,20,20.0
78,0,0,0,26.142857,0.444444,2.25,10,10.0
79,0,0,0,103.85714,0.5,2.5,10,8.0
80,0,0,0,26.142857,0.2,2.5,15,20.0
81,0,0,0,120.14286,0.4,2.5,10,10.0
82,0,0,0,120.14286,0.2,2.5,25,20.0
83,1,10,0,129.14285,0.333333,2.25,10,10.0
84,0,0,0,143.0,0.4,2.5,10,10.0
85,1,10,0,65.42857,0.5,2.5,10,6.0
86,0,0,0,26.142857,0.444444,2.25,10,10.0
87,0,0,1,13.142858,0.444444,2.25,10,10.0
88,0,0,0,26.142857,0.444444,2.25,10,10.0
89,1,5,0,26.142857,0.6,2.5,5,5.8333335
90,1,10,0,65.42857,0.333333,2.25,10,10.0
91,0,0,1,13.142858,0.4,2.5,10,10.0
92,0,0,0,65.42857,0.4,2.5,10,10.0
93,0,0,0,168.42857,0.2,2.5,25,20.0
94,0,0,1,13.142858,0.4,2.5,10,10.0
95,0,0,0,65.42857,0.2,2.5,10,10.0
96,0,0,0,51.285713,0.5,2.5,5,9.0
97,0,0,1,13.142858,0.222222,2.25,25,22.5
98,1,10,0,65.42857,0.333333,2.25,10,10.0
99,0,0,1,26.142857,0.444444,2.25,15,11.25
100,0,0,0,51.285713,0.222222,2.25,25,22.5
101,0,0,0,103.85714,0.333333,2.25,10,15.0
102,0,0,0,77.14286,0.4,2.5,15,11.25
103,0,0,0,129.14285,0.333333,2.25,10,15.0
104,0,0,0,65.42857,0.5,2.5,5,8.0
105,1,10,0,51.285713,0.4,2.5,10,8.75
106,0,0,1,13.142858,0.777778,2.25,5,5.75
107,0,0,1,13.142858,0.4,2.5,12,11.0
108,0,0,1,13.142858,0.777778,2.25,7,6.25
109,1,7,0,26.142857,0.666667,2.25,7,6.0
110,0,0,0,26.142857,0.444444,2.25,15,8.0
111,0,0,0,51.285713,0.3,2.5,10,10.0
112,0,0,0,65.42857,0.4,2.5,10,10.0
113,0,0,0,103.85714,0.4,2.5,10,10.0
114,1,10,0,103.85714,0.333333,2.25,10,8.333333
115,0,0,1,13.142858,0.222222,2.25,15,12.5
116,0,0,0,65.42857,0.5,2.5,10,7.4
117,0,0,0,39.285713,0.4,2.5,10,10.0
118,0,0,0,103.85714,0.4,2.5,10,10.0
119,1,5,1,13.142858,1.0,2.5,5,3.5
120,1,10,0,51.285713,0.333333,2.25,5,10.0
121,1,10,1,13.142858,0.5,2.5,7,5.8000007
122,1,4,0,26.142857,0.444444,2.25,5,8.75
123,0,0,0,65.42857,0.2,2.5,10,10.0
124,0,0,0,26.142857,0.6,2.5,5,6.1666665
125,0,0,0,51.285713,0.4,2.5,10,10.0
126,0,0,0,129.14285,0.2,2.5,25,17.5
127,0,0,0,103.85714,0.2,2.5,10,17.5
128,1,10,0,65.42857,0.333333,2.75,5,8.333333
129,0,0,0,103.85714,0.3,2.5,15,11.666667
130,1,15,0,65.42857,0.2,2.5,10,10.0
131,1,10,0,51.285713,0.3,2.5,10,10.0
132,0,0,0,65.42857,0.4,2.5,10,10.0
133,0,0,0,65.42857,0.3,2.5,10,13.333333
134,1,10,0,26.142857,0.333333,2.25,10,10.0
135,1,10,0,51.285713,0.333333,2.25,10,10.0
136,1,5,0,26.142857,0.6,2.5,5,5.0
137,0,0,0,143.0,0.2,2.5,25,20.0
138,1,5,1,13.142858,0.6,2.5,5,5.8333335
139,1,10,0,26.142857,0.333333,2.25,10,10.0
140,0,0,1,13.142858,0.4,2.5,10,10.0
141,0,0,0,65.42857,0.4,2.5,15,10.0
142,0,0,1,13.142858,0.333333,2.25,10,10.0
143,0,0,0,51.285713,0.4,2.5,10,10.0
144,0,0,1,13.142858,0.333333,2.25,10,10.0
145,1,10,0,26.142857,0.222222,2.25,10,10.0
146,0,0,0,51.285713,0.444444,2.25,10,10.0
147,0,0,0,65.42857,0.4,2.5,10,10.0
148,0,0,1,13.142858,0.444444,2.25,10,10.0
149,0,0,0,65.42857,0.333333,2.25,10,13.333333
150,0,0,0,51.285713,0.333333,2.25,10,10.0
151,0,0,0,103.85714,0.2,2.5,10,10.0
152,1,15,0,26.142857,0.555556,2.25,10,10.0
153,1,10,1,13.142858,0.75,2.0,10,10.833333
154,0,0,1,13.142858,0.375,2.0,25,18.333334
155,1,25,0,26.142857,0.375,2.0,20,23.333334
156,1,10,1,39.285713,0.888889,2.25,10,10.0
157,1,20,0,65.42857,0.555556,2.25,20,14.0
158,0,0,0,26.142857,0.5,2.0,25,21.25
159,0,0,0,39.285713,0.5,2.0,20,21.25
160,1,10,1,13.142858,0.875,2.0,25,9.25
161,0,0,0,168.42857,0.222222,2.25,40,40.0
162,1,10,1,13.142858,1.0,2.0,10,7.5
163,1,25,1,51.285713,0.333333,2.25,25,25.0
164,0,0,1,26.142857,0.888889,2.25,10,10.0
165,1,10,1,13.142858,0.75,2.0,10,10.0
166,1,20,1,13.142858,0.555556,2.25,20,12.0
167,1,10,1,13.142858,0.875,2.0,10,10.0
168,1,10,0,51.285713,0.666667,2.25,10,11.666667
169,0,0,1,26.142857,1.0,2.25,10,11.111111
170,0,0,0,51.285713,0.375,2.0,25,23.333334
171,0,0,0,51.285713,0.5,2.0,25,25.0
172,1,25,0,51.285713,0.333333,2.25,25,25.0
173,1,25,0,26.142857,0.375,2.0,25,25.0
174,0,0,0,51.285713,0.375,2.0,25,25.0
175,0,0,0,51.285713,0.375,2.0,50,33.333332
176,0,0,0,39.285713,0.5,2.0,25,25.0
177,1,25,1,13.142858,0.333333,2.25,25,25.0
178,0,0,1,13.142858,0.5,2.0,25,25.0
179,1,25,0,51.285713,0.375,2.0,25,25.0
180,0,0,0,26.142857,0.25,2.0,50,50.0
181,0,0,0,26.142857,0.5,2.0,25,25.0
182,1,10,1,26.142857,1.0,2.25,10,10.0
183,1,10,1,26.142857,1.0,2.25,10,10.0
184,0,0,0,65.42857,0.25,2.0,50,50.0
185,0,0,0,51.285713,0.375,2.0,25,25.0
186,1,25,0,51.285713,0.25,2.0,25,25.0
187,1,10,1,26.142857,1.0,2.0,10,10.0
188,0,0,0,65.42857,0.375,2.0,25,25.0
189,1,10,1,13.142858,0.75,2.0,15,11.166667
190,1,5,1,13.142858,0.777778,2.25,5,5.0
191,0,0,0,26.142857,0.5,2.0,20,17.5
192,1,10,0,26.142857,0.555556,2.25,10,12.0
193,1,10,0,39.285713,0.625,2.0,10,10.0
194,0,0,1,13.142858,0.555556,2.25,15,14.0
195,1,10,1,13.142858,0.75,2.0,10,10.0
196,0,0,1,13.142858,0.75,2.0,10,10.0
197,0,0,1,13.142858,0.75,2.0,40,11.666667
198,0,0,1,13.142858,0.75,2.0,10,10.0
199,0,0,0,51.285713,0.25,2.0,50,50.0
200,1,10,0,39.285713,0.75,2.0,10,10.0
201,1,25,0,103.85714,0.222222,2.25,25,25.0
202,0,0,0,26.142857,0.428571,2.25,20,23.333334
203,0,0,0,26.142857,0.375,2.0,25,21.666666
204,0,0,1,13.142858,0.666667,2.25,15,10.833333
205,1,10,0,51.285713,0.75,2.0,5,9.166667
206,0,0,1,13.142858,0.625,2.0,15,11.0
207,1,25,0,51.285713,0.222222,2.25,25,25.0
208,1,15,1,51.285713,0.444444,2.25,15,15.0
209,0,0,0,90.0,0.333333,2.25,25,25.0
210,1,25,0,168.42857,0.222222,2.25,25,25.0
211,0,0,0,65.42857,0.222222,2.25,25,37.5
212,1,20,1,26.142857,0.555556,2.25,20,18.0
213,0,0,0,143.0,0.1,2.5,75,75.0
214,0,0,0,77.14286,0.333333,2.25,25,25.0
215,0,0,0,103.85714,0.222222,2.25,25,37.5
216,1,25,0,103.85714,0.222222,2.25,25,25.0
217,0,0,0,51.285713,0.333333,2.25,25,25.0
218,1,25,0,90.0,0.222222,2.25,25,25.0
219,0,0,0,51.285713,0.333333,2.25,25,25.0
220,1,25,0,26.142857,0.5,2.0,10,10.0
221,0,0,1,13.142858,0.5,2.0,10,15.0
222,1,15,0,26.142857,0.375,2.0,15,15.0
223,1,25,1,13.142858,0.222222,2.25,25,25.0
224,0,0,1,13.142858,0.666667,2.25,15,12.5
225,0,0,0,51.285713,0.333333,2.25,25,25.0
226,0,0,0,65.42857,0.375,2.0,25,25.0
227,0,0,0,51.285713,0.25,2.0,50,50.0
228,0,0,0,103.85714,0.2,2.5,10,10.0
229,1,25,0,51.285713,0.5,2.0,25,20.0
230,0,0,0,103.85714,0.2,2.5,5,5.0
231,1,250,0,51.285713,0.555556,2.25,250,170.0
232,0,0,0,65.42857,0.2,2.5,5,7.5
233,0,0,0,120.14286,0.1,2.5,15,15.0
234,0,0,0,51.285713,0.7,2.5,2,2.0
235,0,0,0,51.285713,0.2,2.5,5,5.0
236,0,0,0,103.85714,0.2,2.5,5,5.0
237,0,0,0,51.285713,0.5,2.5,2,2.0
238,1,25,1,26.142857,1.0,2.25,40,25.5
239,0,0,0,129.14285,0.3,2.5,3,3.0
240,0,0,0,103.85714,0.2,2.5,10,10.0
241,1,100,1,13.142858,1.0,2.0,100,87.5
242,1,100,1,51.285713,0.444444,2.25,100,100.0
243,1,50,1,26.142857,1.0,2.25,50,38.833332
244,1,25,1,13.142858,0.875,2.0,25,39.25
245,1,25,1,13.142858,1.0,2.0,25,35.0
246,0,0,0,103.85714,0.4,2.5,5,5.0
247,0,0,0,26.142857,0.4,2.5,5,4.75
248,0,0,1,13.142858,0.555556,2.25,10,9.0
249,0,0,0,120.14286,0.2,2.5,10,10.0
250,0,0,0,51.285713,0.4,2.5,5,5.0
251,1,25,1,13.142858,1.0,2.0,25,25.0
252,0,0,0,120.14286,0.2,2.5,10,10.0
253,0,0,0,120.14286,0.2,2.5,10,10.0
254,0,0,0,103.85714,0.4,2.5,5,5.0
255,0,0,0,65.42857,0.2,2.5,10,10.0
256,0,0,0,143.0,0.2,2.5,10,10.0
257,1,2,1,13.142858,0.888889,2.25,2,2.0
258,0,0,0,26.142857,0.2,2.5,10,10.0
259,0,0,0,103.85714,0.2,2.5,10,10.0
260,0,0,0,129.14285,0.2,2.5,10,10.0
261,1,5,0,65.42857,0.3,2.5,5,5.0
262,0,0,0,103.85714,0.2,2.5,10,10.0
263,0,0,0,120.14286,0.2,2.5,10,10.0
264,0,0,0,65.42857,0.1,2.5,20,20.0
265,1,25,1,51.285713,0.888889,2.25,25,27.5
266,1,25,1,13.142858,1.0,2.0,25,25.0
267,0,0,0,51.285713,0.25,2.0,100,57.5
268,0,0,0,26.142857,0.625,2.0,25,25.0
269,0,0,1,13.142858,0.5,2.0,25,31.25
270,1,25,1,26.142857,1.0,2.25,25,13.333333
271,1,15,1,39.285713,1.0,2.25,15,14.0
272,1,10,1,26.142857,1.0,2.25,15,14.5
273,1,25,1,26.142857,0.875,2.5,15,15.0
274,1,25,1,39.285713,1.0,2.25,25,11.666667
275,1,25,0,26.142857,0.5,2.0,25,19.25
276,0,0,0,120.14286,0.2,2.5,10,10.0
277,0,0,1,13.142858,0.444444,2.25,35,31.25
278,0,0,1,13.142858,0.5,2.0,25,37.5
279,1,25,0,65.42857,0.444444,2.25,25,25.0
280,1,25,1,13.142858,0.375,2.0,25,25.0
281,0,0,0,39.285713,0.375,2.0,10,40.0
282,1,25,0,51.285713,0.555556,2.25,15,19.0
283,1,20,1,13.142858,0.5,2.0,25,25.0
284,0,0,1,51.285713,0.777778,2.25,40,21.5
285,1,25,0,51.285713,0.666667,2.25,25,20.0
286,1,25,1,13.142858,1.0,2.0,25,25.0
287,1,25,1,51.285713,0.777778,2.25,25,25.0
288,0,0,0,51.285713,0.777778,2.25,25,27.833334
289,1,25,0,26.142857,0.375,2.0,10,20.0
290,0,0,1,13.142858,0.75,2.0,25,33.333332
291,0,0,1,13.142858,1.0,2.0,25,25.0
292,1,25,1,26.142857,0.888889,2.25,25,25.0
293,1,50,1,51.285713,0.333333,2.25,50,50.0
294,1,50,0,51.285713,0.333333,2.25,50,50.0
295,0,0,0,39.285713,0.625,2.0,25,32.0
296,1,25,1,51.285713,0.888889,2.25,50,21.833334
297,1,50,0,158.0,0.125,2.0,50,50.0
298,1,30,1,13.142858,0.625,2.0,30,30.0
299,0,0,0,26.142857,0.5,2.0,25,43.75
300,0,0,0,26.142857,0.875,2.0,25,25.0
301,1,25,1,51.285713,0.666667,2.25,25,25.0
