,year,i3,inf,rdisp,rnondc,rserv,pop,y,rcons,c,r3,lc,ly,gc,gy,gc_1,gy_1,r3_1,lc_ly,lc_ly_1,gc_2,gy_2,r3_2,lc_ly_2
0,1959,3.41,0.7,1530.1,606.3,687.4,177830.0,8604.285,1293.7,7274.9253,2.71,8.892189,9.060016,,,,,,-0.16782665,,,,,
1,1960,2.93,1.7,1565.4,615.4,717.4,180671.0,8664.368,1332.8,7376.9453,1.23,8.906115,9.066975,0.013925552,0.0069589615,,,2.71,-0.16086006,-0.16782665,,,,
2,1961,2.38,1.0,1615.8,626.7,746.5,183691.0,8796.294,1373.2,7475.597,1.3800001,8.919399,9.082086,0.013284683,0.01511097,0.013925552,0.0069589615,1.23,-0.16268635,-0.16086006,,,2.71,-0.16782665
3,1962,2.78,1.0,1693.7,646.5,783.4,186538.0,9079.651,1429.9,7665.4624,1.78,8.94448,9.113791,0.02508068,0.031705856,0.013284683,0.01511097,1.3800001,-0.16931152,-0.16268635,0.013925552,0.0069589615,1.23,-0.16086006
4,1963,3.16,1.3,1755.5,660.0,818.7,189242.0,9276.482,1478.7,7813.804,1.8600001,8.963647,9.135238,0.019166946,0.021446228,0.02508068,0.031705856,1.78,-0.1715908,-0.16931152,0.013284683,0.01511097,1.3800001,-0.16268635
5,1964,3.55,1.3,1881.9,692.5,868.4,191889.0,9807.232,1560.9,8134.39,2.25,9.003856,9.190875,0.040208817,0.05563736,0.019166946,0.021446228,1.8600001,-0.18701935,-0.1715908,0.02508068,0.031705856,1.78,-0.16931152
6,1965,3.95,1.6,2002.2,729.3,914.6,194303.0,10304.524,1643.8999,8460.497,2.35,9.043163,9.240338,0.039307594,0.049463272,0.040208817,0.05563736,2.25,-0.19717503,-0.18701935,0.019166946,0.021446228,1.8600001,-0.1715908
7,1966,4.88,2.9,2106.6,769.2,961.0,196560.0,10717.339,1730.2,8802.401,1.98,9.08278,9.279618,0.039616585,0.039279938,0.039307594,0.049463272,2.35,-0.19683838,-0.19717503,0.040208817,0.05563736,2.25,-0.18701935
8,1967,4.32,3.1,2198.4,781.4,1007.6,198712.0,11063.247,1789.0,9002.9795,1.2200003,9.10531,9.311384,0.022530556,0.031765938,0.039616585,0.039279938,1.98,-0.20607376,-0.19683838,0.039307594,0.049463272,2.35,-0.19717503
9,1968,5.34,4.2,2298.2,816.9,1059.6,200706.0,11450.579,1876.5,9349.496,1.1400003,9.143078,9.345796,0.03776741,0.03441143,0.022530556,0.031765938,1.2200003,-0.20271778,-0.20607376,0.039616585,0.039279938,1.98,-0.19683838
10,1969,6.68,5.5,2373.6,838.6,1110.8,202677.0,11711.245,1949.4,9618.26,1.1799998,9.171418,9.368305,0.02834034,0.022509575,0.03776741,0.03441143,1.1400003,-0.19688702,-0.20271778,0.022530556,0.031765938,1.2200003,-0.20607376
11,1970,6.46,5.7,2465.6,859.1,1155.4,205052.0,12024.268,2014.5,9824.337,0.7600002,9.192618,9.394682,0.02120018,0.026376724,0.02834034,0.022509575,1.1799998,-0.20206356,-0.19688702,0.03776741,0.03441143,1.1400003,-0.20271778
12,1971,4.35,4.4,2564.0,874.5,1197.9,207661.0,12347.047,2072.4,9979.727,-0.05000019,9.208311,9.421172,0.01569271,0.026490211,0.02120018,0.026376724,0.7600002,-0.21286106,-0.20206356,0.02834034,0.022509575,1.1799998,-0.19688702
13,1972,4.07,3.2,2680.8,912.9,1262.5,209896.0,12772.04,2175.4,10364.18,0.8700001,9.246111,9.455013,0.037799835,0.033841133,0.01569271,0.026490211,-0.05000019,-0.20890236,-0.21286106,0.02120018,0.026376724,0.7600002,-0.20206356
14,1973,7.04,6.2,2869.4,942.9,1319.4,211909.0,13540.718,2262.3,10675.81,0.84000015,9.275736,9.513456,0.029624939,0.05844307,0.037799835,0.033841133,0.8700001,-0.23772049,-0.20890236,0.01569271,0.026490211,-0.05000019,-0.21286106
15,1974,7.89,11.0,2847.0,924.5,1351.2,213854.0,13312.821,2275.7,10641.372,-3.1100001,9.272505,9.496483,-0.0032310486,-0.016973495,0.029624939,0.05844307,0.84000015,-0.22397804,-0.23772049,0.037799835,0.033841133,0.8700001,-0.20890236
16,1975,5.84,9.1,2895.0,938.3,1398.3,215973.0,13404.453,2336.6,10818.945,-3.2600002,9.289054,9.503343,0.01654911,0.0068597794,-0.0032310486,-0.016973495,-3.1100001,-0.21428871,-0.22397804,0.029624939,0.05844307,0.84000015,-0.23772049
17,1976,4.99,5.8,3008.0,984.8,1457.1,218035.0,13795.95,2441.9,11199.577,-0.8100004,9.323631,9.53213,0.03457737,0.028787613,0.01654911,0.0068597794,-3.2600002,-0.20849895,-0.21428871,-0.0032310486,-0.016973495,-3.1100001,-0.22397804
18,1977,5.27,6.5,3105.1,1010.4,1518.2,220239.0,14098.775,2528.6,11481.164,-1.23,9.348463,9.5538435,0.024831772,0.021713257,0.03457737,0.028787613,-0.8100004,-0.20538044,-0.20849895,0.01654911,0.0068597794,-3.2600002,-0.21428871
19,1978,7.22,7.6,3264.2,1045.7,1589.3,222585.0,14664.959,2635.0,11838.174,-0.3800001,9.379085,9.593216,0.030621529,0.039372444,0.024831772,0.021713257,-1.23,-0.21413136,-0.20538044,0.03457737,0.028787613,-0.8100004,-0.20849895
20,1979,10.04,11.3,3353.9,1069.7,1639.8,225055.0,14902.579,2709.5,12039.279,-1.2600002,9.39593,9.609289,0.016845703,0.016073227,0.030621529,0.039372444,-0.3800001,-0.21335888,-0.21413136,0.024831772,0.021713257,-1.23,-0.20538044
21,1980,11.51,13.5,3373.3,1065.1,1670.7,227726.0,14812.978,2735.7998,12013.56,-1.9899998,9.393791,9.603259,-0.0021390915,-0.0060300827,0.016845703,0.016073227,-1.2600002,-0.20946789,-0.21335888,0.030621529,0.039372444,-0.3800001,-0.21413136
22,1981,14.03,10.3,3452.3,1074.3,1696.1,229966.0,15012.22,2770.4,12046.998,3.7299995,9.396571,9.61662,0.0027799606,0.013360977,-0.0021390915,-0.0060300827,-1.9899998,-0.2200489,-0.20946789,0.016845703,0.016073227,-1.2600002,-0.21335888
23,1982,10.69,6.2,3483.0,1080.6,1728.2,232188.0,15000.775,2808.7998,12097.093,4.49,9.400721,9.615857,0.004149437,-0.00076293945,0.0027799606,0.013360977,3.7299995,-0.21513653,-0.2200489,-0.0021390915,-0.0060300827,-1.9899998,-0.20946789
24,1983,8.63,3.2,3579.9,1112.4,1809.0,234307.0,15278.673,2921.4,12468.257,5.4300003,9.430942,9.634213,0.030220985,0.018356323,0.004149437,-0.00076293945,4.49,-0.20327187,-0.21513653,0.0027799606,0.013360977,3.7299995,-0.2200489
25,1984,9.58,4.3,3842.0,1151.8,1883.0,236348.0,16255.69,3034.8,12840.388,5.2799997,9.460351,9.696198,0.029409409,0.061985016,0.030220985,0.018356323,5.4300003,-0.23584747,-0.20327187,0.004149437,-0.00076293945,4.49,-0.21513653
26,1985,7.48,3.6,3958.6,1178.3,1977.3,238466.0,16600.27,3155.6,13232.914,3.88,9.490462,9.717175,0.030111313,0.020976067,0.029409409,0.061985016,5.2799997,-0.22671223,-0.23584747,0.030220985,0.018356323,5.4300003,-0.20327187
27,1986,5.98,1.9,4087.0,1215.9,2041.4,240651.0,16983.1,3257.3,13535.369,4.08,9.513062,9.739974,0.02259922,0.022799492,0.030111313,0.020976067,3.88,-0.2269125,-0.22671223,0.029409409,0.061985016,5.2799997,-0.23584747
28,1987,5.82,3.6,4154.1,1239.3,2126.9,242804.0,17108.861,3366.2,13863.857,2.2200003,9.537041,9.747352,0.023979187,0.0073776245,0.02259922,0.022799492,4.08,-0.21031094,-0.2269125,0.030111313,0.020976067,3.88,-0.22671223
29,1988,6.69,4.1,4318.1,1274.4,2212.4,245021.0,17623.389,3486.7998,14230.616,2.5900002,9.563151,9.776982,0.02611065,0.029630661,0.023979187,0.0073776245,2.2200003,-0.21383095,-0.21031094,0.02259922,0.022799492,4.08,-0.2269125
30,1989,8.12,4.8,4403.7,1303.5,2262.3,247342.0,17804.094,3565.8,14416.477,3.3199997,9.576127,9.787184,0.012975693,0.010201454,0.02611065,0.029630661,2.5900002,-0.21105671,-0.21383095,0.023979187,0.0073776245,2.2200003,-0.21031094
31,1990,7.51,5.4,4484.6,1316.1,2321.3,249913.0,17944.645,3637.4,14554.665,2.1100001,9.585667,9.795047,0.009539604,0.007863045,0.012975693,0.010201454,3.3199997,-0.20938015,-0.21105671,0.02611065,0.029630661,2.5900002,-0.21383095
32,1991,5.42,4.2,4486.5,1302.9,2341.0,252650.0,17757.768,3643.9,14422.719,1.2200003,9.57656,9.784578,-0.009106636,-0.010468483,0.009539604,0.007863045,2.1100001,-0.2080183,-0.20938015,0.012975693,0.010201454,3.3199997,-0.21105671
33,1992,3.45,3.0,4613.7,1321.8,2409.4,255419.0,18063.262,3731.2,14608.153,0.45000005,9.589335,9.801636,0.012775421,0.017057419,-0.009106636,-0.010468483,1.2200003,-0.2123003,-0.2080183,0.009539604,0.007863045,2.1100001,-0.20938015
