,educ,south,nonwhite,female,married,exper,expersq,union,lwage,age,year,y85,y85fem,y85educ,y85union
0,12,0,0,0,0,8,64,0,1.215,25,78,0,0,0,0
1,12,0,0,1,1,30,900,1,1.6094,47,78,0,0,0,0
2,6,0,0,0,1,38,1444,1,2.1401,49,78,0,0,0,0
3,12,0,0,0,1,19,361,1,2.0732,36,78,0,0,0,0
4,12,0,0,0,1,11,121,0,1.649,28,78,0,0,0,0
5,8,0,0,0,1,43,1849,0,1.7148,56,78,0,0,0,0
6,11,0,0,0,0,2,4,0,1.0986,18,78,0,0,0,0
7,15,0,0,1,0,9,81,0,1.8326,29,78,0,0,0,0
8,16,0,0,1,0,17,289,0,0.3567,38,78,0,0,0,0
9,15,0,0,0,1,23,529,1,2.1547,43,78,0,0,0,0
10,15,0,0,0,1,39,1521,1,1.9867,59,78,0,0,0,0
11,12,0,0,1,1,5,25,1,1.7047,22,78,0,0,0,0
12,11,0,0,0,1,27,729,1,2.1102,43,78,0,0,0,0
13,12,0,0,0,1,29,841,0,1.8326,46,78,0,0,0,0
14,12,0,0,0,0,7,49,0,1.3083,24,78,0,0,0,0
15,12,0,0,1,0,42,1764,1,2.23,59,78,0,0,0,0
16,18,0,0,0,1,35,1225,1,2.5257,58,78,0,0,0,0
17,18,0,0,1,1,31,961,1,2.3979,54,78,0,0,0,0
18,6,0,0,0,1,24,576,0,1.2528,35,78,0,0,0,0
19,14,0,1,0,1,14,196,1,2.0794,33,78,0,0,0,0
20,12,0,0,1,0,40,1600,1,2.0149,57,78,0,0,0,0
21,12,0,0,1,0,10,100,0,1.204,27,78,0,0,0,0
22,13,0,0,1,0,3,9,0,1.3863,21,78,0,0,0,0
23,13,0,0,0,0,2,4,0,1.2311,20,78,0,0,0,0
24,15,0,0,0,0,7,49,0,1.5041,27,78,0,0,0,0
25,16,0,0,0,0,29,841,0,2.5997,50,78,0,0,0,0
26,13,0,0,0,1,27,729,1,2.238,45,78,0,0,0,0
27,18,0,0,0,0,8,64,0,2.3539,31,78,0,0,0,0
28,10,0,0,0,1,6,36,1,2.5257,21,78,0,0,0,0
29,14,0,0,1,0,2,4,0,0.9361,21,78,0,0,0,0
30,8,0,0,0,0,36,1296,1,2.0149,49,78,0,0,0,0
31,15,0,0,1,1,23,529,1,1.1314,43,78,0,0,0,0
32,8,0,0,1,1,48,2304,1,1.6582,61,78,0,0,0,0
33,12,0,0,0,0,21,441,1,2.0677,38,78,0,0,0,0
34,8,0,0,0,1,11,121,1,2.082,24,78,0,0,0,0
35,12,0,0,1,1,26,676,1,2.1547,43,78,0,0,0,0
36,16,0,0,1,1,10,100,0,1.9671,31,78,0,0,0,0
37,14,0,0,0,1,37,1369,0,2.7593,56,78,0,0,0,0
38,13,0,0,0,1,21,441,0,1.2972,39,78,0,0,0,0
39,16,0,0,1,1,21,441,0,1.2528,42,78,0,0,0,0
40,13,0,0,0,0,6,36,1,2.3749,24,78,0,0,0,0
41,12,0,0,0,1,25,625,1,1.6368,42,78,0,0,0,0
42,13,0,0,0,0,5,25,0,1.2321,23,78,0,0,0,0
43,11,0,0,0,0,13,169,1,1.7492,29,78,0,0,0,0
44,16,0,0,0,0,15,225,0,2.3026,36,78,0,0,0,0
45,12,0,0,1,1,8,64,0,1.5581,25,78,0,0,0,0
46,10,0,0,0,1,8,64,1,1.6094,23,78,0,0,0,0
47,14,0,0,0,1,11,121,0,1.5581,30,78,0,0,0,0
48,12,0,1,0,1,34,1156,1,2.0541,51,78,0,0,0,0
49,13,0,0,0,0,8,64,0,1.8326,26,78,0,0,0,0
50,12,0,0,0,1,36,1296,0,1.9459,53,78,0,0,0,0
51,12,0,0,1,1,30,900,0,1.8326,47,78,0,0,0,0
52,16,0,0,1,1,5,25,1,1.1856,26,78,0,0,0,0
53,11,0,0,1,1,13,169,0,0.9118,29,78,0,0,0,0
54,11,0,0,0,0,2,4,1,1.8718,18,78,0,0,0,0
55,9,0,0,0,1,12,144,1,1.9459,26,78,0,0,0,0
56,18,0,0,0,1,24,576,0,2.1691,47,78,0,0,0,0
57,12,0,1,0,1,17,289,1,2.0149,34,78,0,0,0,0
58,8,0,0,0,1,50,2500,0,1.6448,63,78,0,0,0,0
59,18,0,0,0,1,8,64,0,2.1072,31,78,0,0,0,0
60,12,0,0,1,0,11,121,1,1.6292,28,78,0,0,0,0
61,12,0,0,0,1,7,49,0,1.0594,24,78,0,0,0,0
62,17,0,0,1,1,26,676,1,2.1691,48,78,0,0,0,0
63,8,0,0,0,1,19,361,0,1.3218,32,78,0,0,0,0
64,12,0,1,1,0,13,169,1,1.8555,30,78,0,0,0,0
65,12,0,0,0,1,9,81,1,1.7492,26,78,0,0,0,0
66,14,0,0,0,1,38,1444,0,1.9661,57,78,0,0,0,0
67,12,0,0,0,0,4,16,0,1.1982,21,78,0,0,0,0
68,14,0,0,1,0,11,121,0,1.9279,30,78,0,0,0,0
69,10,0,0,0,1,43,1849,0,2.3026,58,78,0,0,0,0
70,11,0,1,0,1,15,225,0,1.3863,31,78,0,0,0,0
71,12,0,1,0,1,31,961,1,-0.47,48,78,0,0,0,0
72,6,0,1,0,1,44,1936,1,1.3151,55,78,0,0,0,0
73,16,0,0,0,1,16,256,0,2.8994,37,78,0,0,0,0
74,12,0,0,0,1,25,625,1,1.9981,42,78,0,0,0,0
75,14,0,0,0,1,19,361,1,1.7047,38,78,0,0,0,0
76,12,0,0,1,0,3,9,0,1.1787,20,78,0,0,0,0
77,13,0,0,1,0,14,196,0,1.6094,32,78,0,0,0,0
78,12,0,0,0,1,30,900,0,2.0149,47,78,0,0,0,0
79,12,0,0,0,1,32,1024,1,2.4849,49,78,0,0,0,0
80,10,0,0,0,1,48,2304,1,2.0794,63,78,0,0,0,0
81,12,0,0,0,0,36,1296,1,2.1401,53,78,0,0,0,0
82,12,0,0,1,1,7,49,1,1.5828,24,78,0,0,0,0
83,12,0,0,0,1,19,361,1,2.3346,36,78,0,0,0,0
84,18,0,0,0,0,11,121,0,1.6503,34,78,0,0,0,0
85,13,0,0,0,1,32,1024,1,1.5476,50,78,0,0,0,0
86,12,0,0,1,1,10,100,0,1.7707,27,78,0,0,0,0
87,14,0,0,1,0,3,9,0,1.6094,22,78,0,0,0,0
88,16,0,0,1,1,10,100,0,1.2947,31,78,0,0,0,0
89,16,0,0,1,1,9,81,0,2.0402,30,78,0,0,0,0
90,12,0,0,1,1,13,169,1,1.3218,30,78,0,0,0,0
91,12,0,0,0,1,20,400,0,1.8563,37,78,0,0,0,0
92,12,0,0,0,1,30,900,1,2.1102,47,78,0,0,0,0
93,12,0,0,0,1,10,100,1,2.3632,27,78,0,0,0,0
94,18,0,0,1,0,17,289,0,0.6707,40,78,0,0,0,0
95,10,0,0,0,1,7,49,1,1.579,22,78,0,0,0,0
96,8,0,0,0,1,32,1024,0,2.1401,45,78,0,0,0,0
97,9,0,0,0,1,36,1296,1,1.663,50,78,0,0,0,0
98,14,0,0,0,1,43,1849,0,2.6127,62,78,0,0,0,0
99,16,0,0,0,1,9,81,0,2.1691,30,78,0,0,0,0
100,8,0,0,0,1,41,1681,1,1.6094,54,78,0,0,0,0
101,12,0,0,0,1,21,441,1,2.0794,38,78,0,0,0,0
102,14,0,0,0,1,26,676,0,1.5141,45,78,0,0,0,0
103,12,0,0,1,1,21,441,0,1.1907,38,78,0,0,0,0
104,12,0,0,1,1,42,1764,0,1.7918,59,78,0,0,0,0
105,12,0,0,0,1,41,1681,0,2.23,58,78,0,0,0,0
106,13,0,0,1,1,22,484,0,0.9746,40,78,0,0,0,0
107,18,0,0,0,1,10,100,0,2.0412,33,78,0,0,0,0
108,12,0,0,0,0,3,9,1,1.7918,20,78,0,0,0,0
109,14,0,0,0,0,14,196,0,2.1628,33,78,0,0,0,0
110,12,0,0,0,1,24,576,1,2.4849,41,78,0,0,0,0
111,12,0,0,0,1,13,169,1,1.7918,30,78,0,0,0,0
112,12,0,0,1,0,41,1681,1,1.6956,58,78,0,0,0,0
113,14,0,0,0,1,16,256,0,2.5257,35,78,0,0,0,0
114,12,1,0,0,0,3,9,0,0.9746,20,78,0,0,0,0
115,16,1,0,0,1,27,729,0,2.109,48,78,0,0,0,0
116,7,1,0,1,0,31,961,0,1.2947,43,78,0,0,0,0
117,11,1,0,1,0,2,4,0,0.9746,18,78,0,0,0,0
118,12,1,0,0,1,19,361,0,1.2238,36,78,0,0,0,0
119,1,1,0,0,1,47,2209,0,1.204,53,78,0,0,0,0
120,12,1,0,0,0,1,1,0,1.0473,18,78,0,0,0,0
121,9,1,0,0,1,5,25,0,1.8216,19,78,0,0,0,0
122,12,1,1,1,0,38,1444,1,1.1394,55,78,0,0,0,0
123,12,1,0,1,0,2,4,0,0.9163,19,78,0,0,0,0
124,12,1,0,0,1,19,361,0,2.2083,36,78,0,0,0,0
125,12,1,0,0,1,38,1444,1,2.1691,55,78,0,0,0,0
126,12,1,0,0,1,22,484,0,1.7918,39,78,0,0,0,0
127,12,1,0,0,1,6,36,0,1.3863,23,78,0,0,0,0
128,13,1,0,1,1,15,225,0,1.8718,33,78,0,0,0,0
129,12,1,0,0,1,27,729,0,1.204,44,78,0,0,0,0
130,12,1,0,1,0,1,1,0,1.2164,18,78,0,0,0,0
131,17,1,0,1,1,12,144,0,1.9095,34,78,0,0,0,0
132,16,1,0,0,1,31,961,0,1.7636,52,78,0,0,0,0
133,10,1,0,0,1,18,324,0,1.2958,33,78,0,0,0,0
134,7,1,1,1,0,33,1089,0,1.3218,45,78,0,0,0,0
135,6,1,0,0,0,39,1521,0,1.5669,50,78,0,0,0,0
136,16,1,0,0,0,4,16,0,1.6094,25,78,0,0,0,0
137,14,1,0,1,0,4,16,0,1.4291,23,78,0,0,0,0
138,14,1,0,1,0,2,4,0,1.6582,21,78,0,0,0,0
139,17,1,0,0,0,4,16,0,1.9058,26,78,0,0,0,0
140,13,1,0,1,0,21,441,1,2.0149,39,78,0,0,0,0
141,4,1,0,0,0,13,169,0,0.9555,22,78,0,0,0,0
142,17,1,0,0,1,18,324,0,2.6455,40,78,0,0,0,0
143,14,1,0,1,0,9,81,0,2.5269,28,78,0,0,0,0
144,16,1,0,0,0,8,64,0,1.6094,29,78,0,0,0,0
145,10,1,1,0,1,35,1225,0,1.3863,50,78,0,0,0,0
146,6,1,0,1,1,17,289,0,1.0647,28,78,0,0,0,0
147,13,0,0,0,0,1,1,0,1.5261,19,78,0,0,0,0
148,16,0,0,0,1,3,9,1,1.4469,24,78,0,0,0,0
149,10,0,0,0,1,41,1681,1,1.8718,56,78,0,0,0,0
150,12,0,0,1,1,41,1681,1,3.0564,58,78,0,0,0,0
151,18,0,0,0,1,36,1296,0,1.8839,59,78,0,0,0,0
152,10,0,1,1,1,16,256,1,1.2528,31,78,0,0,0,0
153,12,0,1,1,0,36,1296,1,1.5892,53,78,0,0,0,0
154,12,0,1,0,1,39,1521,0,1.8205,56,78,0,0,0,0
155,13,0,0,0,1,2,4,0,1.7918,20,78,0,0,0,0
156,15,0,0,0,1,8,64,0,1.8137,28,78,0,0,0,0
157,12,0,0,0,1,35,1225,0,2.1972,52,78,0,0,0,0
158,12,0,0,1,0,12,144,0,1.6607,29,78,0,0,0,0
159,12,0,0,1,0,11,121,0,1.6094,28,78,0,0,0,0
160,18,0,1,1,0,10,100,0,1.8839,33,78,0,0,0,0
161,16,0,1,1,0,3,9,0,1.3218,24,78,0,0,0,0
162,10,0,0,0,1,48,2304,1,1.2528,63,78,0,0,0,0
