,husage,husunion,husearns,huseduc,husblck,hushisp,hushrs,kidge6,earns,age,black,educ,hispanic,union,faminc,husexp,exper,kidlt6,hours,expersq,nwifeinc,inlf,hrwage,lwage
0,42,0.0,568,14,0,0,40,1,290.0,43,0,14,0,0.0,45000.0,22,23,0,0.0,529,29.92,0,,
1,26,0.0,600,14,0,0,0,0,654.0,26,0,14,0,0.0,45000.0,6,6,0,0.0,36,10.992,0,,
2,56,0.0,1500,14,0,0,40,1,100.0,49,0,12,0,0.0,55000.0,36,31,0,15.0,961,49.8,1,6.6666665,1.89712
3,35,,0,12,0,0,40,0,0.0,35,0,10,0,,55000.0,17,19,1,0.0,361,55.0,0,,
4,42,0.0,450,11,0,0,45,1,0.0,43,0,13,0,,27500.0,25,24,0,0.0,576,27.5,0,,
5,55,0.0,465,13,0,0,50,0,0.0,58,0,12,0,,55000.0,36,40,0,0.0,1600,55.0,0,,
6,68,,0,16,0,0,0,0,360.0,56,0,12,0,0.0,22500.0,46,38,0,45.0,1444,3.78,1,8.0,2.0794415
7,48,0.0,492,10,0,1,48,0,0.0,48,0,12,1,,45000.0,32,30,0,0.0,900,45.0,0,,
8,38,,0,14,0,0,65,1,0.0,37,0,12,0,,37500.0,18,19,0,0.0,361,37.5,0,,
9,48,1.0,1923,12,0,0,21,0,0.0,39,0,14,0,,112500.0,30,19,1,0.0,361,112.5,0,,
10,56,0.0,450,12,0,0,40,0,0.0,52,0,12,0,,27500.0,38,34,0,0.0,1156,27.5,0,,
11,37,0.0,523,12,0,0,33,0,0.0,45,0,12,0,,32500.0,19,27,0,0.0,729,32.5,0,,
12,31,0.0,800,17,0,0,40,0,480.0,29,0,14,0,0.0,55000.0,8,9,0,40.0,81,30.04,1,12.0,2.4849067
13,40,,0,16,0,0,45,0,80.0,37,0,16,0,0.0,8750.0,18,15,1,8.0,225,4.59,1,10.0,2.3025851
14,63,,0,10,0,0,0,0,275.0,59,0,12,1,0.0,3000.0,47,41,0,25.0,1681,0.0,1,11.0,2.3978953
15,60,0.0,900,15,0,0,40,0,320.0,58,0,12,0,0.0,22500.0,39,40,0,0.0,1600,5.86,0,,
16,29,,0,12,0,0,70,0,229.0,28,0,16,0,0.0,112500.0,11,6,1,24.0,36,100.592,1,9.541667,2.2556682
17,28,0.0,480,14,0,0,42,0,0.0,27,0,18,0,,32500.0,8,3,1,0.0,9,32.5,0,,
18,35,,0,18,0,0,30,0,0.0,29,0,13,0,,112500.0,11,10,1,0.0,100,112.5,0,,
19,33,0.0,950,13,0,0,60,0,455.0,30,0,12,0,0.0,32500.0,14,12,1,40.0,144,8.84,1,11.375,2.431418
20,34,0.0,1000,14,0,0,50,1,102.0,31,0,12,0,0.0,55000.0,14,13,0,20.0,169,49.696,1,5.1,1.6292405
21,42,0.0,730,14,0,0,40,1,300.0,41,0,12,0,0.0,32500.0,22,23,0,30.0,529,16.9,1,10.0,2.3025851
22,25,0.0,320,12,0,0,40,0,0.0,25,0,12,1,,17500.0,7,7,1,0.0,49,17.5,0,,
23,62,,0,12,0,0,20,0,0.0,59,0,13,0,,67500.0,44,40,0,0.0,1600,67.5,0,,
24,45,0.0,1154,16,0,0,38,1,425.0,45,0,18,0,0.0,67500.0,23,21,0,35.0,441,45.4,1,12.142858,2.496741
25,33,0.0,1350,16,0,0,40,0,770.0,32,0,12,0,0.0,112500.0,11,14,0,40.0,196,72.46,1,19.25,2.957511
26,31,0.0,769,18,0,0,55,0,125.0,27,0,14,0,0.0,45000.0,7,7,1,21.0,49,38.5,1,5.952381,1.7837913
27,55,1.0,695,12,0,0,72,0,0.0,51,0,12,0,,37500.0,37,33,0,0.0,1089,37.5,0,,
28,31,0.0,340,12,0,0,40,0,245.0,30,0,15,0,0.0,32500.0,13,9,1,35.0,81,19.76,1,7.0,1.9459101
29,22,0.0,450,12,0,0,43,0,0.0,21,0,12,0,,27500.0,4,3,1,0.0,9,27.5,0,,
30,44,0.0,750,12,0,0,40,1,539.0,42,0,12,0,0.0,55000.0,26,24,0,40.0,576,26.972,1,13.475,2.600836
31,41,,0,16,0,0,40,0,0.0,28,0,14,0,,67500.0,19,8,1,0.0,64,67.5,0,,
32,45,0.0,1200,12,0,0,50,0,300.0,42,0,12,0,0.0,112500.0,27,24,0,40.0,576,96.9,1,7.5,2.014903
33,22,0.0,249,12,0,0,40,0,299.0,23,0,13,0,0.0,27500.0,4,4,0,40.0,16,11.952,1,7.475,2.011564
34,66,0.0,500,16,0,0,40,0,500.0,55,0,12,0,0.0,67500.0,44,37,0,40.0,1369,41.5,1,12.5,2.5257287
35,36,0.0,1500,16,0,0,60,0,0.0,31,0,17,0,,112500.0,14,8,1,0.0,64,112.5,0,,
36,58,0.0,360,12,0,0,40,0,0.0,57,0,14,0,,22500.0,40,37,0,0.0,1369,22.5,0,,
37,26,0.0,500,12,0,0,40,0,0.0,21,0,13,0,,37500.0,8,2,0,0.0,4,37.5,0,,
38,38,0.0,1000,16,0,0,40,1,0.0,39,0,16,0,,3000.0,16,17,0,0.0,289,3.0,0,,
39,33,0.0,675,16,0,0,40,0,0.0,33,0,12,0,,37500.0,11,15,1,0.0,225,37.5,0,,
40,55,,0,13,0,0,0,0,0.0,55,0,14,0,,11500.0,36,35,0,0.0,1225,11.5,0,,
41,43,0.0,400,12,0,0,50,1,260.0,31,0,12,0,0.0,45000.0,25,13,0,40.0,169,31.48,1,6.5,1.8718022
42,26,0.0,520,14,0,0,36,0,345.0,27,0,14,0,0.0,45000.0,6,7,0,40.0,49,27.06,1,8.625,2.154665
43,37,1.0,500,12,0,0,50,0,213.0,30,0,12,0,0.0,32500.0,19,12,1,15.0,144,21.424,1,14.2,2.6532419
44,51,0.0,500,12,0,0,40,0,320.0,49,0,12,0,0.0,67500.0,33,31,0,60.0,961,50.86,1,5.3333335,1.6739764
45,52,,0,12,0,0,0,0,0.0,48,0,16,0,,37500.0,34,26,0,0.0,676,37.5,0,,
46,40,,0,18,0,0,50,1,0.0,34,0,16,0,,112500.0,16,12,0,0.0,144,112.5,0,,
47,38,0.0,1500,16,0,0,40,0,550.0,38,0,16,0,0.0,67500.0,16,16,1,40.0,256,38.9,1,13.75,2.621039
48,31,0.0,880,16,0,0,40,0,0.0,29,0,16,0,,0.0,9,7,1,0.0,49,0.0,0,,
49,57,1.0,1080,13,0,0,40,0,0.0,51,0,12,0,,0.0,38,33,0,0.0,1089,0.0,0,,
