,narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60,pcnvsq,pt86sq,inc86sq
0,0,0,0,0.38,17.6,35.2,12,0.0,0.0,0.0,0,0,1,0.1444,144,0.0
1,2,2,0,0.44,0.0,0.0,0,1.0,0.8,0.0,0,1,0,0.1936,0,0.64000005
2,1,1,0,0.33,22.8,22.8,0,0.0,0.0,11.0,1,0,1,0.10890001,0,0.0
3,2,2,1,0.25,0.0,0.0,5,2.0,8.8,0.0,0,1,1,0.0625,25,77.44
4,1,1,0,0.0,0.0,0.0,0,2.0,8.1,1.0,0,0,0,0.0,0,65.61001
5,0,0,0,1.0,0.0,0.0,0,4.0,97.6,0.0,0,0,1,1.0,0,9525.76
6,2,2,1,0.44,0.0,0.0,0,0.0,0.0,1.0,1,0,1,0.1936,0,0.0
7,5,3,5,0.75,0.0,0.0,0,0.0,0.0,3.0,0,0,1,0.5625,0,0.0
8,0,0,0,0.33,10.9,21.8,9,0.0,0.0,19.3,1,0,1,0.10890001,81,0.0
9,0,0,0,0.23,0.0,0.0,0,3.0,16.7,0.0,0,1,1,0.0529,0,278.89
10,1,1,0,0.0,0.0,0.0,0,4.0,162.5,0.0,0,0,1,0.0,0,26406.25
11,0,0,0,0.17,31.7,63.4,12,0.0,0.0,0.0,0,1,0,0.028900001,144,0.0
12,0,0,0,0.33,0.0,0.0,0,4.0,32.9,0.0,0,0,1,0.10890001,0,1082.4102
13,0,0,0,0.0,0.0,0.0,0,0.0,0.0,14.0,0,0,1,0.0,0,0.0
14,1,1,0,0.0,0.0,0.0,0,4.0,174.5,0.0,0,0,1,0.0,0,30450.25
15,0,0,0,0.2,59.2,59.2,3,1.7,14.3,4.3,1,0,1,0.040000003,9,204.49
16,1,1,0,0.38,0.0,0.0,0,0.0,0.0,18.0,1,0,1,0.1444,0,0.0
17,0,0,0,0.5,0.0,0.0,0,4.0,154.0,0.0,0,0,1,0.25,0,23716.0
18,0,0,0,0.6,7.9,23.7,0,0.0,0.0,11.0,1,0,0,0.36,0,0.0
19,0,0,0,0.5,0.0,0.0,0,4.0,100.3,0.0,0,0,0,0.25,0,10060.091
20,3,2,0,0.47,5.6,22.4,0,0.0,0.0,4.8,0,1,1,0.2209,0,0.0
21,1,0,0,0.17,4.0,4.0,0,2.0,16.2,0.0,1,0,1,0.028900001,0,262.44003
22,0,0,0,0.22,6.9,20.7,0,4.0,144.1,0.0,0,1,1,0.0484,0,20764.812
23,0,0,0,0.47,31.9,31.9,12,0.0,0.0,0.0,1,0,1,0.2209,144,0.0
24,0,0,0,0.36,18.7,37.4,0,0.0,0.0,5.0,0,0,1,0.1296,0,0.0
25,0,0,0,0.4,0.0,0.0,2,0.0,0.0,19.0,1,0,0,0.16000001,4,0.0
26,0,0,0,0.33,0.0,0.0,0,2.0,17.1,0.0,0,0,1,0.10890001,0,292.41
27,0,0,0,0.5,0.0,0.0,0,0.0,0.0,15.0,0,1,1,0.25,0,0.0
28,0,0,0,0.33,6.3,25.2,12,0.0,0.0,0.0,0,0,0,0.10890001,144,0.0
29,0,0,0,0.2,0.0,0.0,0,3.0,54.1,0.0,0,0,1,0.040000003,0,2926.8098
30,2,0,0,0.0,0.0,0.0,0,1.0,11.2,1.0,0,0,0,0.0,0,125.439995
31,0,0,0,1.0,0.0,0.0,0,0.0,0.0,7.0,0,0,1,1.0,0,0.0
32,1,0,0,0.4,0.0,0.0,5,0.0,0.0,15.0,0,0,1,0.16000001,25,0.0
33,0,0,0,0.33,36.1,36.1,0,4.0,7.6,0.0,0,1,0,0.10890001,0,57.76
34,2,1,0,0.67,0.0,0.0,0,1.0,0.5,0.0,0,1,1,0.4489,0,0.25
35,0,0,0,1.0,0.0,0.0,0,3.0,16.8,1.0,0,0,1,1.0,0,282.23996
36,0,0,0,0.33,0.0,0.0,12,0.0,0.0,0.0,0,0,0,0.10890001,144,0.0
37,0,0,0,0.0,0.0,0.0,0,4.0,63.0,0.0,0,1,1,0.0,0,3969.0
