,pop,crimes,unem,officers,pcinc,west,nrtheast,south,year,area,d87,popden,crmrte,offarea,lawexpc,polpc,lpop,loffic,lpcinc,llawexpc,lpopden,lcrimes,larea,lcrmrte,clcrimes,clpop,clcrmrte,lpolpc,clpolpc,cllawexp,cunem,clpopden,lcrmrt_1,ccrmrte
0,229528.0,17136.0,8.2,326,8532,1,0,0,82,44.6,0,5146.3677,74.65756,7.3094172,850.8599,1.420306,12.3437805,5.786897,9.051579,6.7462473,8.546046,9.748937,3.7977338,4.312912,,,,0.3508723,,,,,,
1,246815.0,17306.0,3.7,321,12155,1,0,0,87,44.6,1,5533.9688,70.117294,7.1973095,2262.44,1.3005693,12.416394,5.771441,9.405496,7.7241993,8.618661,9.758808,3.7977338,4.2501693,0.009871483,0.072613716,-0.06274271,0.2628021,-0.088070214,0.977952,-4.5,0.07261467,4.312912,-4.540268
2,814054.0,75654.0,8.1,1621,7551,1,0,0,82,375.0,0,2170.8105,92.93487,4.3226666,875.08,1.9912684,13.609782,7.3907986,8.929436,6.7743154,7.682856,11.233926,5.926926,4.531899,,,,0.68877184,,,,,,
3,933177.0,83960.0,5.4,1803,11363,1,0,0,87,375.0,1,2488.472,89.97221,4.808,1069.64,1.9321094,13.74635,7.497207,9.338118,6.9750776,7.819424,11.338096,5.926926,4.4995008,0.104169846,0.13656807,-0.032398224,0.6586123,-0.030159533,0.20076227,-2.7000003,0.13656807,4.531899,-2.962654
4,374974.0,31352.0,9.0,633,8343,1,0,0,82,49.8,0,7529.5986,83.61113,12.710844,1121.8999,1.688117,12.834612,6.4504704,9.029179,7.022779,8.926597,10.353033,3.908015,4.4261765,,,,0.52361375,,,,,,
5,406297.0,31364.0,5.9,685,11729,1,0,0,87,49.8,1,8158.574,77.194756,13.75502,1545.6,1.6859587,12.91484,6.529419,9.36982,7.3431673,9.0068245,10.353416,3.908015,4.3463316,0.00038337708,0.08022785,-0.07984495,0.5223344,-0.0012793541,0.32038832,-3.1,0.08022785,4.4261765,-6.416374
6,176496.0,15698.0,12.6,245,7592,1,0,0,82,74.0,0,2385.081,88.94253,3.3108108,743.82,1.3881334,12.081054,5.5012584,8.934851,6.6117992,7.7769885,9.661288,4.304065,4.4879904,,,,0.32795998,,,,,,
7,201723.0,16953.0,5.7,259,10802,1,0,0,87,74.0,1,2725.9866,84.040985,3.5,848.2601,1.2839389,12.214651,5.556828,9.287487,6.7431874,7.910586,9.7382,4.304065,4.4313045,0.076911926,0.13359737,-0.056685925,0.2499326,-0.07802738,0.13138819,-6.9000006,0.13359737,4.4879904,-4.9015427
8,288446.0,31202.0,12.6,504,7558,1,0,0,82,97.3,0,2964.5015,108.17276,5.179856,973.64,1.7472941,12.572263,6.222576,8.930362,6.8810415,7.994464,10.348237,4.577799,4.6837296,,,,0.55806834,,,,,,
9,331728.0,34355.0,7.4,563,10627,1,0,0,87,97.3,1,3409.3318,103.56377,5.786228,1142.4,1.6971736,12.71207,6.3332796,9.271153,7.0408864,8.134272,10.444503,4.577799,4.6401877,0.09626579,0.1398077,-0.04354191,0.5289643,-0.029104054,0.15984488,-5.2000003,0.1398077,4.6837296,-4.6089935
10,122768.0,16806.0,13.9,186,6411,1,0,0,82,55.3,0,2220.0361,136.89235,3.363472,761.76,1.5150528,11.718052,5.2257466,8.765771,6.6356316,7.705279,9.729491,4.012773,4.9191947,,,,0.41545027,,,,,,
11,142124.0,15931.0,5.7,232,8876,1,0,0,87,55.3,1,2570.0542,112.092255,4.195298,1059.32,1.6323774,11.864455,5.4467373,9.091106,6.9653826,7.851682,9.676023,4.012773,4.719322,-0.053468704,0.14640331,-0.1998725,0.49003747,0.074587196,0.329751,-8.2,0.14640331,4.9191947,-24.800095
12,919113.0,65545.0,9.3,1395,8016,1,0,0,82,329.0,0,2793.6565,71.313324,4.2401214,608.44,1.5177677,13.731164,7.2406497,8.989195,6.410898,7.9351068,11.090492,5.7960577,4.267083,,,,0.41724062,,,,,,
13,1040851.0,88227.0,5.4,1674,11766,1,0,0,87,329.0,1,3163.681,84.7643,5.0881457,793.60004,1.6082994,13.855549,7.4229712,9.37297,6.6765795,8.059491,11.387669,5.7960577,4.4398746,0.29717636,0.12438488,0.17279148,0.47517732,0.0579367,0.26568127,-3.9,0.1243844,4.267083,13.4509735
14,708287.0,68598.0,8.4,1971,9265,1,0,0,82,46.4,0,15264.806,96.85057,42.478447,1050.0,2.7827702,13.470605,7.586296,9.133999,6.9565454,9.633306,11.136019,3.8372996,4.573169,,,,1.0234469,,,,,,
