,district,year,crime,clrprc1,clrprc2,d78,avgclr,lcrime,clcrime,cavgclr,cclrprc1,cclrprc2
0,1,72,49.54,22,23,0,22.5,3.9027805,,,,
1,1,78,71.32,15,17,1,16.0,4.2671766,0.3643961,-6.5,-7.0,-6.0
2,2,72,14.77,51,62,0,56.5,2.692598,,,,
3,2,78,17.85,39,40,1,39.5,2.8820035,0.18940544,-17.0,-12.0,-22.0
4,3,72,17.35,33,34,0,33.5,2.8535926,,,,
5,3,78,24.57,36,37,1,36.5,3.2015262,0.34793353,3.0,3.0,3.0
6,4,72,28.67,41,43,0,42.0,3.3558512,,,,
7,4,78,24.62,41,40,1,40.5,3.2035592,-0.15229201,-1.5,0.0,-3.0
8,5,72,12.49,41,46,0,43.5,2.5249283,,,,
9,5,78,28.41,32,33,1,32.5,3.3467412,0.82181287,-11.0,-9.0,-13.0
10,6,72,19.77,30,27,0,28.5,2.9841657,,,,
11,6,78,17.86,28,26,1,27.0,2.8825636,-0.10160208,-1.5,-2.0,-1.0
12,7,72,14.74,35,43,0,39.0,2.6905649,,,,
13,7,78,23.21,26,28,1,27.0,3.1445832,0.45401835,-12.0,-9.0,-15.0
14,8,72,7.74,65,77,0,71.0,2.0464017,,,,
15,8,78,10.77,42,44,1,43.0,2.3767645,0.3303628,-28.0,-23.0,-33.0
16,9,72,8.51,54,70,0,62.0,2.141242,,,,
17,9,78,12.73,45,51,1,48.0,2.5439613,0.40271926,-14.0,-9.0,-19.0
18,10,72,11.5,32,52,0,42.0,2.442347,,,,
19,10,78,10.63,42,37,1,39.5,2.3636801,-0.078666925,-2.5,10.0,-15.0
20,11,72,8.15,22,28,0,25.0,2.098018,,,,
21,11,78,8.89,32,39,1,35.5,2.184927,0.086909056,10.5,10.0,11.0
22,12,72,10.06,53,42,0,47.5,2.3085673,,,,
23,12,78,12.44,29,42,1,35.5,2.520917,0.21234965,-12.0,-24.0,0.0
24,13,72,19.98,31,41,0,36.0,2.9947317,,,,
25,13,78,23.54,27,38,1,32.5,3.1587012,0.16396952,-3.5,-4.0,-3.0
26,14,72,38.73,23,18,0,20.5,3.6566145,,,,
27,14,78,32.07,19,19,1,19.0,3.467921,-0.18869352,-1.5,-4.0,1.0
28,15,72,22.68,34,41,0,37.5,3.1214836,,,,
29,15,78,34.89,25,27,1,26.0,3.5522003,0.43071675,-11.5,-9.0,-14.0
30,16,72,15.11,35,31,0,33.0,2.7153568,,,,
31,16,78,17.4,25,35,1,30.0,2.85647,0.14111328,-3.0,-10.0,4.0
32,17,72,16.04,40,30,0,35.0,2.7750857,,,,
33,17,78,24.46,26,32,1,29.0,3.1970391,0.42195344,-6.0,-14.0,2.0
34,18,72,31.04,25,32,0,28.5,3.4352767,,,,
35,18,78,43.37,23,23,1,23.0,3.769768,0.33449125,-5.5,-2.0,-9.0
36,19,72,23.99,43,46,0,44.5,3.177637,,,,
37,19,78,33.98,45,42,1,43.5,3.525772,0.348135,-1.0,2.0,-4.0
38,20,72,14.48,29,37,0,33.0,2.6727684,,,,
39,20,78,26.22,17,28,1,22.5,3.2665224,0.59375405,-10.5,-12.0,-9.0
40,21,72,20.93,25,32,0,28.5,3.0411835,,,,
41,21,78,27.31,23,31,1,27.0,3.307253,0.2660694,-1.5,-2.0,-1.0
42,22,72,19.84,29,30,0,29.5,2.9877002,,,,
43,22,78,37.73,22,25,1,23.5,3.6304555,0.64275527,-6.0,-7.0,-5.0
44,23,72,14.55,36,30,0,33.0,2.677591,,,,
45,23,78,15.31,38,20,1,29.0,2.7285063,0.05091524,-4.0,2.0,-10.0
46,24,72,14.06,37,43,0,40.0,2.643334,,,,
47,24,78,14.85,58,26,1,42.0,2.698,0.054666042,2.0,21.0,-17.0
48,25,72,13.48,41,38,0,39.5,2.601207,,,,
49,25,78,14.92,36,20,1,28.0,2.7027025,0.101495504,-11.5,-5.0,-18.0
