,year,wkearns,wkhours,outphr,hrwage,lhrwage,loutphr,t,ghrwage,goutphr,ghrwge_1,goutph_1,goutph_2,lwkhours
0,1947,123.52,40.3,51.4,3.0650125,1.1200516,3.9396381,1,,,,,,3.6963515
1,1948,123.43,40.0,53.3,3.08575,1.1267948,3.9759364,2,0.0067431927,0.036298275,,,,3.6888795
2,1949,127.84,39.4,54.2,3.24467,1.1770136,3.992681,3,0.05021882,0.016744614,0.0067431927,0.036298275,,3.673766
3,1950,133.83,39.8,57.7,3.362563,1.2127035,4.0552573,4,0.03568983,0.062576294,0.05021882,0.016744614,0.036298275,3.683867
4,1951,134.87,39.9,59.4,3.3802001,1.217935,4.0842943,5,0.0052314997,0.029036999,0.03568983,0.062576294,0.016744614,3.6863763
5,1952,138.47,39.9,60.7,3.4704258,1.2442774,4.1059437,6,0.026342392,0.02164936,0.0052314997,0.029036999,0.062576294,3.6863763
6,1953,144.58,39.6,62.1,3.6510103,1.2950039,4.128746,7,0.050726533,0.022802353,0.026342392,0.02164936,0.029036999,3.6788292
7,1954,145.32,39.1,63.0,3.7166243,1.3128158,4.1431346,8,0.017811894,0.014388561,0.050726533,0.022802353,0.02164936,3.6661224
8,1955,153.21,39.6,64.8,3.8689396,1.3529805,4.1713057,9,0.04016471,0.028171062,0.017811894,0.014388561,0.022802353,3.6788292
9,1956,157.9,39.3,65.2,4.017812,1.3907374,4.1774592,10,0.03775692,0.0061535835,0.04016471,0.028171062,0.014388561,3.6712246
10,1957,158.04,38.8,66.5,4.073196,1.4044279,4.1972017,11,0.013690472,0.019742489,0.03775692,0.0061535835,0.028171062,3.6584203
11,1958,157.4,38.5,68.0,4.0883117,1.4081321,4.2195077,12,0.0037041903,0.022305965,0.013690472,0.019742489,0.0061535835,3.6506581
12,1959,163.78,39.0,70.2,4.199487,1.4349624,4.2513485,13,0.026830316,0.0318408,0.0037041903,0.022305965,0.019742489,3.6635616
13,1960,164.97,38.6,71.0,4.273834,1.4525113,4.26268,14,0.017548919,0.011331558,0.026830316,0.0318408,0.022305965,3.6532521
14,1961,167.21,38.6,73.2,4.331866,1.4659983,4.2931952,15,0.013486981,0.030515194,0.017548919,0.011331558,0.0318408,3.6532521
15,1962,172.16,38.7,75.6,4.448579,1.4925847,4.325456,16,0.026586413,0.032260895,0.013486981,0.030515194,0.011331558,3.6558397
16,1963,175.17,38.8,78.3,4.514691,1.5073367,4.3605475,17,0.01475203,0.0350914,0.026586413,0.032260895,0.030515194,3.6584203
17,1964,178.38,38.7,81.4,4.6093025,1.5280765,4.3993754,18,0.020739794,0.038827896,0.01475203,0.0350914,0.032260895,3.6558397
18,1965,183.21,38.8,83.4,4.7219076,1.5522128,4.4236484,19,0.024136305,0.024272919,0.020739794,0.038827896,0.0350914,3.6584203
19,1966,184.37,38.6,85.2,4.776425,1.5636923,4.4450016,20,0.011479497,0.021353245,0.024136305,0.024272919,0.038827896,3.6532521
20,1967,184.83,38.0,87.1,4.8639474,1.5818503,4.4670568,21,0.018157959,0.02205515,0.011479497,0.021353245,0.024272919,3.637586
21,1968,187.68,37.8,89.4,4.9650793,1.6024293,4.4931207,22,0.02057898,0.026063919,0.018157959,0.02205515,0.021353245,3.6323092
22,1969,189.44,37.7,89.0,5.024934,1.6144123,4.4886365,23,0.011983037,-0.0044841766,0.02057898,0.026063919,0.02205515,3.6296601
23,1970,186.94,37.1,89.3,5.038814,1.6171707,4.4920015,24,0.0027583838,0.0033650398,0.011983037,-0.0044841766,0.026063919,3.613617
24,1971,190.58,36.9,91.9,5.1647696,1.6418605,4.520701,25,0.024689794,0.028699398,0.0027583838,0.0033650398,-0.0044841766,3.6082115
25,1972,198.41,37.0,94.7,5.3624325,1.6794177,4.550714,26,0.037557244,0.030013084,0.024689794,0.028699398,0.0033650398,3.6109178
26,1973,198.35,36.9,96.4,5.3753386,1.6818216,4.5685062,27,0.0024038553,0.017792225,0.037557244,0.030013084,0.028699398,3.6082115
27,1974,190.12,36.5,94.3,5.208767,1.6503432,4.546481,28,-0.031478405,-0.022025108,0.0024038553,0.017792225,0.030013084,3.5973122
28,1975,184.16,36.1,96.0,5.1013856,1.6295122,4.564348,29,-0.020830989,0.017867088,-0.031478405,-0.022025108,0.017792225,3.5862927
29,1976,186.85,36.1,98.5,5.1759005,1.6440133,4.5900564,30,0.014501095,0.025708199,-0.020830989,0.017867088,-0.022025108,3.5862927
30,1977,189.0,36.0,100.0,5.25,1.658228,4.6051702,31,0.014214754,0.015113831,0.014501095,0.025708199,0.017867088,3.583519
31,1978,189.31,35.8,100.8,5.2879887,1.6654379,4.613138,32,0.007209897,0.007967949,0.014214754,0.015113831,0.025708199,3.5779479
32,1979,183.41,35.7,99.3,5.137535,1.6365734,4.5981455,33,-0.028864503,-0.014992714,0.007209897,0.007967949,0.015113831,3.5751507
33,1980,172.74,35.3,98.8,4.8934846,1.5879047,4.5930977,34,-0.048668742,-0.005047798,-0.028864503,-0.014992714,0.007967949,3.5638828
34,1981,170.13,35.2,99.8,4.8332386,1.5755168,4.603168,35,-0.012387872,0.010070324,-0.048668742,-0.005047798,-0.014992714,3.5610461
35,1982,168.09,34.8,99.2,4.8301725,1.5748821,4.597138,36,-0.00063467026,-0.0060300827,-0.012387872,0.010070324,-0.005047798,3.5496173
36,1983,171.26,35.0,102.5,4.8931427,1.5878348,4.629863,37,0.012952685,0.032724857,-0.00063467026,-0.0060300827,0.010070324,3.5553482
37,1984,172.78,35.2,104.6,4.9085226,1.590973,4.6501436,38,0.0031381845,0.020280838,0.012952685,0.032724857,-0.0060300827,3.5610461
38,1985,170.42,34.9,106.1,4.8830943,1.5857791,4.664382,39,-0.0051939487,0.014238358,0.0031381845,0.020280838,0.032724857,3.552487
39,1986,171.07,34.8,108.2,4.915805,1.5924555,4.6839814,40,0.0066764355,0.019599438,-0.0051939487,0.014238358,0.020280838,3.5496173
40,1987,169.28,34.8,109.0,4.864368,1.5819368,4.691348,41,-0.01051867,0.0073666573,0.0066764355,0.019599438,0.014238358,3.5496173
