,age,work,study,econhs,colgpa,hsgpa,acteng,actmth,act,mathscr,male,calculus,attexc,attgood,fathcoll,mothcoll,score
0,23,15.0,10.0,0,3.4909,3.355,24.0,26.0,27.0,10,1,1,0,0,1,1,84.43
1,23,0.0,22.5,1,2.1,3.219,23.0,20.0,24.0,9,1,0,0,0,0,1,57.38
2,21,25.0,12.0,0,3.0851,3.306,21.0,24.0,21.0,8,1,1,1,0,0,1,66.39
3,22,30.0,40.0,0,2.6805,3.977,31.0,28.0,31.0,10,0,1,0,1,1,1,81.15
4,22,25.0,15.0,1,3.7454,3.89,28.0,31.0,32.0,8,1,1,0,1,0,1,95.9
5,22,0.0,30.0,0,3.0555,3.5,25.0,30.0,28.0,10,1,1,1,0,0,1,83.61
6,22,20.0,25.0,1,2.1666,3.0,15.0,19.0,18.0,9,0,1,0,1,0,0,76.23
7,22,20.0,15.0,0,3.2544,3.77,28.0,30.0,32.0,9,1,1,1,0,1,1,84.43
8,22,28.0,7.0,0,3.1298,3.927,28.0,28.0,30.0,6,0,0,1,0,0,1,79.51
9,21,22.5,25.0,0,2.2424,2.77,18.0,19.0,17.0,9,0,1,0,1,0,0,46.72
10,21,0.0,25.0,0,2.8666,3.677,25.0,23.0,24.0,10,0,1,0,1,0,0,83.61
11,20,30.0,15.0,0,2.9363,3.222,27.0,21.0,26.0,8,0,1,0,0,0,1,71.31
12,19,8.0,22.5,1,3.6607,3.575,27.0,21.0,23.0,9,0,0,1,0,0,0,79.51
13,20,22.5,17.5,1,1.6511,3.394,22.0,19.0,22.0,7,0,0,0,1,1,1,59.02
14,22,10.0,12.0,1,2.7405,3.26,,,,7,0,1,0,1,0,1,65.57
15,19,10.0,20.0,0,3.3898,3.842,28.0,28.0,26.0,9,0,1,1,0,1,1,83.61
16,21,22.5,10.5,0,1.8604,2.76,17.0,16.0,17.0,2,0,0,0,1,0,0,54.92
17,20,10.0,10.0,0,3.0952,3.389,24.0,26.0,24.0,9,0,1,0,1,1,1,77.87
18,21,25.0,12.0,0,2.5078,3.378,28.0,24.0,29.0,6,0,0,0,0,1,1,67.21
19,21,10.0,20.0,1,3.6931,3.98,28.0,23.0,24.0,9,0,1,0,1,0,1,74.59
20,28,0.0,20.0,1,2.489,3.45,21.0,21.0,19.0,6,0,0,0,1,1,1,40.98
21,22,20.0,4.0,0,2.8026,3.244,18.0,18.0,20.0,4,0,0,0,1,1,0,69.67
22,19,12.5,11.0,0,2.86,3.812,23.0,26.0,23.0,8,1,1,1,0,0,0,75.41
23,20,0.0,20.0,1,1.9693,3.16,23.0,21.0,21.0,9,0,1,0,1,0,0,69.67
24,21,25.0,25.0,1,2.6272,3.75,32.0,25.0,28.0,8,1,1,0,1,1,1,67.21
25,21,25.0,25.0,0,1.95,3.024,25.0,24.0,25.0,4,1,0,0,1,1,0,50.0
26,20,17.5,20.0,0,3.9892,4.0,32.0,32.0,33.0,10,0,1,1,0,1,1,92.62
27,21,12.0,20.0,0,3.268,3.75,23.0,19.0,24.0,6,0,1,0,1,0,1,72.95
28,21,20.0,10.0,0,3.0925,3.612,21.0,27.0,23.0,10,0,1,0,0,0,0,86.07
29,21,10.0,30.0,0,3.36,3.22,24.0,29.0,27.0,10,1,1,1,0,1,1,88.52
30,21,20.0,10.0,0,3.4824,3.254,29.0,21.0,26.0,5,1,0,0,1,1,1,86.89
31,21,27.5,12.0,1,2.075,3.225,20.0,19.0,20.0,7,0,1,0,1,1,1,45.9
