,distid,schid,lunch,enrol,staff,exppp,avgsal,avgben,math4,story4,bs,lavgsal,lenrol,lstaff
0,1010.0,4937,48.3,539.0,71.1,3586.0,39383.0,13656.0,68.0,70.7,0.3467486,10.58109,6.289716,4.264087
1,2010.0,4959,51.5,59.0,127.1,4357.0,25622.0,10004.0,40.0,40.0,0.3904457,10.151207,4.0775375,4.844974
2,2020.0,4999,51.2,82.0,122.6,5667.0,31318.0,12645.0,57.1,57.1,0.40376142,10.351949,4.406719,4.808927
3,2070.0,597,33.7,409.0,77.5,2752.0,27873.0,9657.0,63.2,73.5,0.3464643,10.235414,6.0137153,4.350278
4,3010.0,790,11.9,259.0,87.6,3253.0,31264.0,10017.0,56.4,64.1,0.32040045,10.350223,5.556828,4.472781
5,3010.0,1403,22.8,337.0,105.3,3326.0,26385.0,8395.0,60.0,80.0,0.3181732,10.180551,5.820083,4.6568136
6,3010.0,4056,28.1,589.0,57.1,2260.0,33177.0,10518.0,64.5,71.6,0.31702685,10.409612,6.378426,4.044804
7,3020.0,922,30.6,450.0,76.2,2934.0,34666.0,11032.0,66.2,76.5,0.3182369,10.453515,6.1092477,4.3333616
8,3020.0,2864,30.1,380.0,71.1,3063.0,34798.0,11278.0,74.0,78.0,0.3240991,10.457315,5.9401712,4.264087
9,3020.0,4851,16.0,281.0,60.6,2957.0,39300.0,12211.0,51.2,79.1,0.31071246,10.5789795,5.638355,4.104295
10,3030.0,881,30.7,360.0,94.6,2548.0,25496.0,8023.0,63.5,80.4,0.31467682,10.146276,5.886104,4.5496573
11,3030.0,2748,27.6,281.0,68.6,2846.0,33326.0,10437.0,62.3,67.9,0.3131789,10.414093,5.638355,4.2282925
12,3030.0,4469,35.2,283.0,71.8,2682.0,28539.0,8818.0,55.8,78.8,0.3089807,10.259027,5.645447,4.2738843
13,3030.0,5954,33.3,509.0,61.7,2664.0,33717.0,10671.0,55.7,72.2,0.31648722,10.425757,6.232448,4.122284
14,3040.0,936,21.6,485.0,81.0,2511.0,24393.0,9089.0,75.0,75.0,0.3726069,10.102052,6.184149,4.394449
15,3040.0,3224,24.6,412.0,91.0,2262.0,19831.0,7170.0,54.8,61.5,0.36155513,9.895001,6.0210233,4.5108595
16,3050.0,107,43.2,368.0,68.2,3227.0,36526.0,11494.0,45.7,56.9,0.31467995,10.505779,5.908083,4.2224445
17,3060.0,6034,39.5,505.0,71.2,3018.0,31373.0,10822.0,49.4,72.7,0.3449463,10.353703,6.2245584,4.265493
18,3070.0,1756,28.5,442.0,69.0,2623.0,29639.0,9282.0,51.9,77.8,0.31316847,10.296846,6.09131,4.2341065
19,3070.0,6025,31.3,182.0,88.5,3488.0,28150.0,8705.0,68.3,80.5,0.30923623,10.245302,5.2040067,4.4830027
20,3080.0,941,27.5,416.0,78.6,3046.0,30085.0,10167.0,65.4,78.8,0.3379425,10.311782,6.0306854,4.364372
21,3100.0,1545,16.0,444.0,65.1,2749.0,33245.0,10637.0,62.1,75.9,0.31995788,10.411659,6.0958247,4.1759243
22,3100.0,1548,21.7,359.0,64.9,2896.0,34413.0,11111.0,76.9,73.1,0.32287216,10.44619,5.8833222,4.1728477
23,3100.0,3403,19.7,175.0,67.1,2731.0,29179.0,9150.0,64.3,71.4,0.31358168,10.281204,5.164786,4.206184
24,3100.0,4975,21.1,223.0,77.1,3026.0,30736.0,10551.0,51.7,55.2,0.34327823,10.33319,5.4071717,4.3451033
25,3440.0,1415,0.0,31.0,135.5,5569.0,27632.0,5396.0,60.0,60.0,0.19528084,10.226729,3.4339871,4.908972
26,4010.0,106,39.1,527.0,71.2,2910.0,31464.0,10445.0,65.2,69.6,0.3319667,10.356599,6.2672005,4.265493
27,4010.0,1110,35.6,523.0,63.2,2899.0,34258.0,11206.0,63.4,71.8,0.3271061,10.441675,6.2595816,4.146304
28,4010.0,1688,37.1,278.0,87.8,3178.0,27510.0,9837.0,64.1,69.2,0.35757905,10.222305,5.627621,4.4750614
29,4010.0,2185,71.7,272.0,91.6,3272.0,28944.0,10448.0,60.0,51.4,0.3609729,10.273118,5.605802,4.5174313
30,4010.0,2251,44.6,193.0,74.3,2522.0,25574.0,9659.0,51.9,59.3,0.3776883,10.149331,5.26269,4.308111
31,4010.0,2353,36.5,159.0,93.8,3326.0,26667.0,8981.0,45.8,75.0,0.3367833,10.191182,5.0689044,4.541165
32,4010.0,2859,54.1,157.0,85.7,3212.0,29352.0,11042.0,38.9,61.1,0.37619242,10.287116,5.056246,4.450853
33,4010.0,3392,29.0,276.0,78.9,3052.0,29679.0,9554.0,67.6,78.4,0.32191113,10.298195,5.620401,4.368181
34,4010.0,5499,39.4,287.0,73.5,2928.0,30790.0,10343.0,71.4,79.6,0.33592075,10.334946,5.659482,4.2972856
35,5010.0,40,0.0,112.0,87.5,2125.0,17177.0,6843.0,27.3,45.5,0.39838156,9.751327,4.7184987,4.4716387
36,5035.0,5858,37.7,282.0,81.6,3566.0,31169.0,10466.0,48.8,53.7,0.33578235,10.347179,5.641907,4.4018292
37,5040.0,5894,25.5,266.0,74.8,3542.0,35378.0,12317.0,79.7,83.1,0.34815422,10.4738455,5.583496,4.314818
38,5060.0,2090,36.6,385.0,77.4,3584.0,35957.0,12087.0,82.5,83.9,0.3361515,10.490079,5.9532433,4.3489866
39,5060.0,7458,23.0,258.0,77.5,3810.0,37102.0,12444.0,82.9,90.2,0.33539972,10.521426,5.5529594,4.350278
40,5065.0,5859,41.7,292.0,78.8,3367.0,30571.0,10513.0,60.9,82.6,0.34388798,10.327807,5.676754,4.366913
41,5070.0,2332,46.3,510.0,90.2,3288.0,27685.0,11026.0,60.3,71.2,0.3982662,10.228646,6.234411,4.5020294
42,6010.0,6950,49.6,519.0,69.4,3072.0,34649.0,11198.0,44.7,73.7,0.32318392,10.453024,6.251904,4.2398868
43,6020.0,146,35.6,305.0,82.0,3240.0,29226.0,12823.0,60.5,69.8,0.43875316,10.282814,5.7203116,4.406719
44,6050.0,4049,49.2,715.0,69.7,3005.0,33252.0,10397.0,50.0,65.5,0.3126729,10.41187,6.5722823,4.2442
45,6050.0,4068,48.4,437.0,70.5,2999.0,32110.0,10056.0,54.7,67.9,0.31317347,10.376923,6.079933,4.255613
46,7010.0,128,59.5,37.0,54.1,4177.0,51357.0,20512.0,88.9,77.8,0.39940026,10.846557,3.6109178,3.9908342
