,attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
0,27,3.19,2.64,23,28,84.375,100.0,0,1,5,0.47268906
1,22,2.73,3.52,25,26,68.75,87.5,0,0,10,0.05252101
2,30,3.0,2.46,24,30,93.75,87.5,0,0,2,0.89285713
3,31,2.04,2.61,20,27,96.875,100.0,0,1,1,0.26260504
4,32,3.68,3.32,23,34,100.0,100.0,0,1,0,1.7331933
5,29,3.23,2.93,26,25,90.625,100.0,0,1,3,-0.15756303
6,30,1.54,1.94,21,10,93.75,75.0,1,0,2,-3.3088236
7,26,2.0,2.12,22,34,81.25,100.0,0,1,6,1.7331933
8,24,2.25,2.06,24,26,75.0,100.0,1,0,8,0.05252101
9,29,3.0,2.73,21,26,90.625,100.0,0,1,3,0.05252101
10,30,3.21,2.29,16,27,93.75,100.0,0,0,2,0.26260504
11,19,2.05,2.29,24,22,59.375,50.0,1,0,13,-0.78781515
12,19,2.13,2.64,24,27,59.375,75.0,0,0,13,0.26260504
13,29,3.58,3.39,27,33,90.625,100.0,0,1,3,1.5231092
14,29,2.5,2.76,25,29,90.625,62.5,0,1,3,0.6827731
15,30,2.1,2.33,20,23,93.75,100.0,1,0,2,-0.5777311
16,20,1.27,1.98,22,22,62.5,75.0,0,1,12,-0.78781515
17,32,2.77,2.29,25,21,100.0,100.0,0,1,0,-0.9978992
18,31,3.15,3.02,18,25,96.875,100.0,1,0,1,-0.15756303
19,29,2.38,2.33,22,22,90.625,100.0,0,1,3,-0.78781515
20,27,1.77,2.54,21,24,84.375,75.0,1,0,5,-0.36764705
21,25,2.33,2.39,23,27,78.125,100.0,0,1,7,0.26260504
22,31,2.33,2.43,21,19,96.875,100.0,0,1,1,-1.4180672
23,22,3.88,3.88,28,33,68.75,75.0,0,1,10,1.5231092
24,27,3.29,2.58,26,33,84.375,87.5,0,0,5,1.5231092
25,29,3.8,3.36,29,31,90.625,100.0,0,1,3,1.1029412
26,32,3.5,3.02,28,32,100.0,100.0,0,0,0,1.3130252
27,25,2.14,2.12,16,22,78.125,100.0,0,1,7,-0.78781515
28,30,2.88,2.37,23,30,93.75,75.0,1,0,2,0.89285713
29,25,3.27,2.93,22,27,78.125,100.0,0,1,7,0.26260504
30,27,3.29,2.02,28,30,84.375,87.5,1,0,5,0.89285713
31,27,2.56,2.78,21,26,84.375,100.0,0,0,5,0.05252101
32,23,3.25,2.85,29,25,71.875,62.5,0,0,9,-0.15756303
33,32,2.71,2.28,22,28,100.0,100.0,0,1,0,0.47268906
34,31,2.86,3.46,16,27,96.875,100.0,0,1,1,0.26260504
35,25,2.5,2.63,25,23,78.125,100.0,0,1,7,-0.5777311
36,18,2.15,2.19,22,32,56.25,62.5,0,1,14,1.3130252
37,32,3.5,3.57,21,32,100.0,87.5,0,1,0,1.3130252
38,31,2.16,1.98,18,26,96.875,100.0,1,0,1,0.05252101
39,24,2.4,3.05,26,19,75.0,25.0,0,1,8,-1.4180672
40,31,3.54,3.45,25,31,96.875,100.0,0,1,1,1.1029412
41,31,3.65,2.63,23,31,96.875,100.0,0,1,1,1.1029412
42,32,2.5,2.62,24,19,100.0,100.0,0,0,0,-1.4180672
43,25,2.12,2.13,18,24,78.125,87.5,0,1,7,-0.36764705
44,31,2.5,2.42,18,26,96.875,100.0,0,1,1,0.05252101
45,32,3.81,3.43,29,34,100.0,100.0,0,1,0,1.7331933
46,30,3.1,2.35,21,19,93.75,50.0,1,0,2,-1.4180672
47,30,3.14,3.61,26,24,93.75,100.0,0,1,2,-0.36764705
48,30,3.0,2.86,24,29,93.75,87.5,0,1,2,0.6827731
49,10,1.21,2.05,30,29,31.25,,1,0,22,0.6827731
50,19,2.18,2.95,29,23,59.375,87.5,0,1,13,-0.5777311
51,30,2.81,2.41,19,20,93.75,87.5,0,1,2,-1.2079831
52,17,2.1,2.32,23,27,53.125,100.0,0,1,15,0.26260504
53,27,2.07,2.3,21,25,84.375,87.5,0,1,5,-0.15756303
