,male,educ,wage,swage,exper,pexper,lwage,expersq,highgrad,college,grad,polytech,highdrop,lswage,pexpersq,mleeduc,mleeduc0
0,0,12,20400,11250,6,0,9.92329,36,1,0,0,0,0,9.328123,0,0,0
1,0,12,23850,12750,12,3,10.079539,144,1,0,0,0,0,9.453286,9,0,0
2,0,12,22800,11250,12,0,10.034515,144,1,0,0,0,0,9.328123,0,0,0
3,0,12,20700,11250,12,0,9.937889,144,1,0,0,0,0,9.328123,0,0,0
4,0,12,21300,11250,12,1,9.966462,144,1,0,0,0,0,9.328123,1,0,0
5,0,12,24300,15000,12,21,10.098231,144,1,0,0,0,0,9.615806,441,0,0
6,0,12,19650,13950,12,23,9.885833,144,1,0,0,0,0,9.543235,529,0,0
7,1,17,60000,32490,12,3,11.0021,144,0,0,1,0,0,10.388688,9,17,3
8,1,15,30300,15750,12,10,10.318903,144,0,0,0,1,0,9.664596,100,15,1
9,1,19,61250,33000,12,2,11.022719,144,0,0,1,0,0,10.404263,4,19,5
10,1,19,36000,19500,12,4,10.491274,144,0,0,1,0,0,9.87817,16,19,5
11,0,12,16200,10200,12,31,9.692766,144,1,0,0,0,0,9.230143,961,0,0
12,0,12,22800,11250,12,0,10.034515,144,1,0,0,0,0,9.328123,0,0,0
13,0,16,43500,19500,12,2,10.680516,144,0,1,0,0,0,9.87817,4,0,0
14,1,8,30300,15750,12,27,10.318903,144,0,0,0,0,1,9.664596,729,8,-6
15,1,15,31950,15750,12,12,10.371927,144,0,0,0,1,0,9.664596,144,15,1
16,1,15,35250,13500,12,1,10.470221,144,0,0,0,1,0,9.510445,1,15,1
17,1,15,37800,15000,12,6,10.540065,144,0,0,0,1,0,9.615806,36,15,1
18,1,15,31200,15750,12,8,10.348173,144,0,0,0,1,0,9.664596,64,15,1
19,1,15,29400,16500,12,12,10.28875,144,0,0,0,1,0,9.711116,144,15,1
20,1,19,70000,35040,12,13,11.156251,144,0,0,1,0,0,10.464246,169,19,5
21,1,15,33900,15750,12,17,10.43117,144,0,0,0,1,0,9.664596,289,15,1
22,1,15,27150,16500,12,14,10.209132,144,0,0,0,1,0,9.711116,196,15,1
23,0,12,22200,13800,12,34,10.007848,144,1,0,0,0,0,9.532424,1156,0,0
24,0,15,31350,11100,12,8,10.352969,144,0,0,0,1,0,9.3147,64,0,0
25,0,12,20850,13500,12,31,9.945109,144,1,0,0,0,0,9.510445,961,0,0
26,1,16,33300,17490,12,21,10.413313,144,0,1,0,0,0,9.769384,441,16,2
27,1,8,26250,16050,12,17,10.175422,144,0,0,0,0,1,9.683464,289,8,-6
28,1,15,31950,15750,12,10,10.371927,144,0,0,0,1,0,9.664596,100,15,1
29,1,19,66250,34980,12,17,11.101191,144,0,0,1,0,0,10.462532,289,19,5
30,1,18,86250,45000,11,9,11.3650055,121,0,0,1,0,0,10.714417,81,18,4
31,1,12,30750,15000,11,10,10.333645,121,1,0,0,0,0,9.615806,100,12,-2
32,1,12,33540,15750,11,8,10.420494,121,1,0,0,0,0,9.664596,64,12,-2
33,1,16,34950,20250,11,10,10.461674,121,0,1,0,0,0,9.91591,100,16,2
34,1,15,40350,16500,11,14,10.605347,121,0,0,0,1,0,9.711116,196,15,1
35,1,12,30270,15750,11,14,10.317912,121,1,0,0,0,0,9.664596,196,12,-2
36,1,15,32400,15000,11,11,10.385914,121,0,0,0,1,0,9.615806,121,15,1
37,0,12,20400,11250,11,0,9.92329,121,1,0,0,0,0,9.328123,0,0,0
38,0,8,24150,12750,11,17,10.09204,121,0,0,0,0,1,9.453286,289,0,0
39,0,15,23850,13500,11,21,10.079539,121,0,0,0,1,0,9.510445,441,0,0
40,0,12,29700,13500,11,5,10.2989025,121,1,0,0,0,0,9.510445,25,0,0
41,0,8,21600,13500,11,40,9.980449,121,0,0,0,0,1,9.510445,1600,0,0
42,0,12,24450,15750,11,15,10.104385,121,1,0,0,0,0,9.664596,225,0,0
43,1,15,28050,16500,11,15,10.241744,121,0,0,0,1,0,9.711116,225,15,1
44,1,16,100000,44100,11,22,11.512925,121,0,1,0,0,0,10.694215,484,16,2
45,1,15,49000,20550,11,15,10.799576,121,0,0,0,1,0,9.930616,225,15,1
46,0,12,16350,10200,11,28,9.701983,121,1,0,0,0,0,9.230143,784,0,0
47,1,16,70000,21750,11,3,11.156251,121,0,1,0,0,0,9.987369,9,16,2
48,1,19,55000,34980,11,22,10.915089,121,0,0,1,0,0,10.462532,484,19,5
49,1,15,28500,14250,11,3,10.257659,121,0,0,0,1,0,9.564512,9,15,1
50,1,12,28800,18000,11,37,10.26813,121,1,0,0,0,0,9.798127,1369,12,-2
51,1,19,90625,31250,11,3,11.414485,121,0,0,1,0,0,10.349774,9,19,5
52,1,16,43650,19500,11,3,10.683959,121,0,1,0,0,0,9.87817,9,16,2
53,1,19,75000,42510,11,9,11.225244,121,0,0,1,0,0,10.657495,81,19,5
54,1,15,31650,14250,11,2,10.3624935,121,0,0,0,1,0,9.564512,4,15,1
55,1,19,61875,28740,11,5,11.032871,121,0,0,1,0,0,10.266046,25,19,5
56,0,12,21750,11250,11,0,9.987369,121,1,0,0,0,0,9.328123,0,0,0
57,0,12,24300,10950,16,1,10.098231,256,1,0,0,0,0,9.301095,1,0,0
58,0,12,24750,14250,16,34,10.116581,256,1,0,0,0,0,9.564512,1156,0,0
59,0,12,22950,11250,16,0,10.041073,256,1,0,0,0,0,9.328123,0,0,0
60,0,8,25050,10950,16,1,10.128629,256,0,0,0,0,1,9.301095,1,0,0
61,1,15,25950,17100,16,7,10.163927,256,0,0,0,1,0,9.746834,49,15,1
62,1,15,31650,15750,16,11,10.3624935,256,0,0,0,1,0,9.664596,121,15,1
63,1,12,24150,14100,16,23,10.09204,256,1,0,0,0,0,9.55393,529,12,-2
64,1,19,72500,28740,16,2,11.191341,256,0,0,1,0,0,10.266046,4,19,5
65,1,19,68750,27480,16,1,11.138232,256,0,0,1,0,0,10.221213,1,19,5
66,0,8,16200,9750,16,0,9.692766,256,0,0,0,0,1,9.185022,0,0,0
67,0,12,20100,11250,16,4,9.908475,256,1,0,0,0,0,9.328123,16,0,0
68,0,8,24000,10950,16,1,10.085809,256,0,0,0,0,1,9.301095,1,0,0
69,0,12,25950,10950,16,0,10.163927,256,1,0,0,0,0,9.301095,0,0,0
70,0,12,24600,10050,16,8,10.110501,256,1,0,0,0,0,9.215328,64,0,0
71,0,12,28500,10500,16,1,10.257659,256,1,0,0,0,0,9.2591305,1,0,0
72,1,17,40200,19500,16,29,10.601623,256,0,0,1,0,0,9.87817,841,17,3
