,month,uclms,ez,year,y81,y82,y83,y84,y85,y86,y87,y88,luclms,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,JAN,18369.0,0,1980,0,0,0,0,0,0,0,0,9.818419,1,0,0,0,0,0,0,0,0,0,0,0
1,FEB,17661.0,0,1980,0,0,0,0,0,0,0,0,9.779114,0,1,0,0,0,0,0,0,0,0,0,0
2,MAR,16340.0,0,1980,0,0,0,0,0,0,0,0,9.701371,0,0,1,0,0,0,0,0,0,0,0,0
3,APR,16268.0,0,1980,0,0,0,0,0,0,0,0,9.696956,0,0,0,1,0,0,0,0,0,0,0,0
4,MAY,19340.0,0,1980,0,0,0,0,0,0,0,0,9.869931,0,0,0,0,1,0,0,0,0,0,0,0
5,JUNE,19471.0,0,1980,0,0,0,0,0,0,0,0,9.876681,0,0,0,0,0,1,0,0,0,0,0,0
6,JULY,16909.0,0,1980,0,0,0,0,0,0,0,0,9.735601,0,0,0,0,0,0,1,0,0,0,0,0
7,AUG,14820.0,0,1980,0,0,0,0,0,0,0,0,9.603733,0,0,0,0,0,0,0,1,0,0,0,0
8,SEPT,10274.0,0,1980,0,0,0,0,0,0,0,0,9.237371,0,0,0,0,0,0,0,0,1,0,0,0
9,OCT,6740.0,0,1980,0,0,0,0,0,0,0,0,8.815815,0,0,0,0,0,0,0,0,0,1,0,0
10,NOV,4365.0,0,1980,0,0,0,0,0,0,0,0,8.381373,0,0,0,0,0,0,0,0,0,0,1,0
11,DEC,6189.0,0,1980,0,0,0,0,0,0,0,0,8.730529,0,0,0,0,0,0,0,0,0,0,0,1
12,JAN,6479.0,0,1981,1,0,0,0,0,0,0,0,8.776321,1,0,0,0,0,0,0,0,0,0,0,0
13,FEB,6894.0,0,1981,1,0,0,0,0,0,0,0,8.838407,0,1,0,0,0,0,0,0,0,0,0,0
14,MAR,6502.0,0,1981,1,0,0,0,0,0,0,0,8.779865,0,0,1,0,0,0,0,0,0,0,0,0
15,APR,5139.0,0,1981,1,0,0,0,0,0,0,0,8.544614,0,0,0,1,0,0,0,0,0,0,0,0
16,MAY,3963.0,0,1981,1,0,0,0,0,0,0,0,8.284757,0,0,0,0,1,0,0,0,0,0,0,0
17,JUNE,4139.0,0,1981,1,0,0,0,0,0,0,0,8.32821,0,0,0,0,0,1,0,0,0,0,0,0
18,JULY,4289.0,0,1981,1,0,0,0,0,0,0,0,8.363809,0,0,0,0,0,0,1,0,0,0,0,0
19,AUG,5474.0,0,1981,1,0,0,0,0,0,0,0,8.607765,0,0,0,0,0,0,0,1,0,0,0,0
20,SEPT,6577.0,0,1981,1,0,0,0,0,0,0,0,8.791334,0,0,0,0,0,0,0,0,1,0,0,0
21,OCT,7408.0,0,1981,1,0,0,0,0,0,0,0,8.9103155,0,0,0,0,0,0,0,0,0,1,0,0
22,NOV,9138.0,0,1981,1,0,0,0,0,0,0,0,9.120197,0,0,0,0,0,0,0,0,0,0,1,0
23,DEC,17559.0,0,1981,1,0,0,0,0,0,0,0,9.773322,0,0,0,0,0,0,0,0,0,0,0,1
24,JAN,18136.0,0,1982,0,1,0,0,0,0,0,0,9.805655,1,0,0,0,0,0,0,0,0,0,0,0
25,FEB,19323.0,0,1982,0,1,0,0,0,0,0,0,9.869051,0,1,0,0,0,0,0,0,0,0,0,0
26,MAR,23155.0,0,1982,0,1,0,0,0,0,0,0,10.049966,0,0,1,0,0,0,0,0,0,0,0,0
27,APR,17046.0,0,1982,0,1,0,0,0,0,0,0,9.74367,0,0,0,1,0,0,0,0,0,0,0,0
28,MAY,10874.0,0,1982,0,1,0,0,0,0,0,0,9.29413,0,0,0,0,1,0,0,0,0,0,0,0
29,JUNE,8985.0,0,1982,0,1,0,0,0,0,0,0,9.103312,0,0,0,0,0,1,0,0,0,0,0,0
30,JULY,7226.0,0,1982,0,1,0,0,0,0,0,0,8.885441,0,0,0,0,0,0,1,0,0,0,0,0
31,AUG,8876.0,0,1982,0,1,0,0,0,0,0,0,9.091106,0,0,0,0,0,0,0,1,0,0,0,0
32,SEPT,7201.0,0,1982,0,1,0,0,0,0,0,0,8.881975,0,0,0,0,0,0,0,0,1,0,0,0
33,OCT,8688.0,0,1982,0,1,0,0,0,0,0,0,9.069698,0,0,0,0,0,0,0,0,0,1,0,0
34,NOV,13411.0,0,1982,0,1,0,0,0,0,0,0,9.503831,0,0,0,0,0,0,0,0,0,0,1,0
35,DEC,15225.0,0,1982,0,1,0,0,0,0,0,0,9.630694,0,0,0,0,0,0,0,0,0,0,0,1
36,JAN,15079.0,0,1983,0,0,1,0,0,0,0,0,9.621058,1,0,0,0,0,0,0,0,0,0,0,0
37,FEB,13014.0,0,1983,0,0,1,0,0,0,0,0,9.473781,0,1,0,0,0,0,0,0,0,0,0,0
38,MAR,12751.0,0,1983,0,0,1,0,0,0,0,0,9.453365,0,0,1,0,0,0,0,0,0,0,0,0
39,APR,7437.0,0,1983,0,0,1,0,0,0,0,0,8.914223,0,0,0,1,0,0,0,0,0,0,0,0
40,MAY,6557.0,0,1983,0,0,1,0,0,0,0,0,8.788288,0,0,0,0,1,0,0,0,0,0,0,0
41,JUNE,5301.0,0,1983,0,0,1,0,0,0,0,0,8.575651,0,0,0,0,0,1,0,0,0,0,0,0
42,JULY,4300.0,0,1983,0,0,1,0,0,0,0,0,8.36637,0,0,0,0,0,0,1,0,0,0,0,0
43,AUG,5184.0,0,1983,0,0,1,0,0,0,0,0,8.553332,0,0,0,0,0,0,0,1,0,0,0,0
44,SEPT,3395.0,0,1983,0,0,1,0,0,0,0,0,8.130059,0,0,0,0,0,0,0,0,1,0,0,0
45,OCT,3155.0,0,1983,0,0,1,0,0,0,0,0,8.056744,0,0,0,0,0,0,0,0,0,1,0,0
46,NOV,3497.0,0,1983,0,0,1,0,0,0,0,0,8.15966,0,0,0,0,0,0,0,0,0,0,1,0
47,DEC,3902.0,0,1983,0,0,1,0,0,0,0,0,8.269244,0,0,0,0,0,0,0,0,0,0,0,1
48,JAN,4866.0,1,1984,0,0,0,1,0,0,0,0,8.490027,1,0,0,0,0,0,0,0,0,0,0,0
49,FEB,4376.0,1,1984,0,0,0,1,0,0,0,0,8.38389,0,1,0,0,0,0,0,0,0,0,0,0
50,MAR,4385.0,1,1984,0,0,0,1,0,0,0,0,8.385945,0,0,1,0,0,0,0,0,0,0,0,0
51,APR,3423.0,1,1984,0,0,0,1,0,0,0,0,8.138272,0,0,0,1,0,0,0,0,0,0,0,0
52,MAY,3286.0,1,1984,0,0,0,1,0,0,0,0,8.097426,0,0,0,0,1,0,0,0,0,0,0,0
53,JUNE,3238.0,1,1984,0,0,0,1,0,0,0,0,8.082711,0,0,0,0,0,1,0,0,0,0,0,0
54,JULY,3190.0,1,1984,0,0,0,1,0,0,0,0,8.067776,0,0,0,0,0,0,1,0,0,0,0,0
55,AUG,3977.0,1,1984,0,0,0,1,0,0,0,0,8.288283,0,0,0,0,0,0,0,1,0,0,0,0
56,SEPT,2864.0,1,1984,0,0,0,1,0,0,0,0,7.959975,0,0,0,0,0,0,0,0,1,0,0,0
57,OCT,3235.0,1,1984,0,0,0,1,0,0,0,0,8.081784,0,0,0,0,0,0,0,0,0,1,0,0
58,NOV,4414.0,1,1984,0,0,0,1,0,0,0,0,8.392536,0,0,0,0,0,0,0,0,0,0,1,0
59,DEC,4695.0,1,1984,0,0,0,1,0,0,0,0,8.454253,0,0,0,0,0,0,0,0,0,0,0,1
60,JAN,6698.0,1,1985,0,0,0,0,1,0,0,0,8.809565,1,0,0,0,0,0,0,0,0,0,0,0
61,FEB,5797.0,1,1985,0,0,0,0,1,0,0,0,8.665096,0,1,0,0,0,0,0,0,0,0,0,0
62,MAR,4771.0,1,1985,0,0,0,0,1,0,0,0,8.470311,0,0,1,0,0,0,0,0,0,0,0,0
63,APR,4074.0,1,1985,0,0,0,0,1,0,0,0,8.312381,0,0,0,1,0,0,0,0,0,0,0,0
64,MAY,3536.0,1,1985,0,0,0,0,1,0,0,0,8.170752,0,0,0,0,1,0,0,0,0,0,0,0
65,JUNE,3323.0,1,1985,0,0,0,0,1,0,0,0,8.1086235,0,0,0,0,0,1,0,0,0,0,0,0
66,JULY,4116.0,1,1985,0,0,0,0,1,0,0,0,8.322638,0,0,0,0,0,0,1,0,0,0,0,0
67,AUG,3760.0,1,1985,0,0,0,0,1,0,0,0,8.232174,0,0,0,0,0,0,0,1,0,0,0,0
68,SEPT,2930.0,1,1985,0,0,0,0,1,0,0,0,7.9827576,0,0,0,0,0,0,0,0,1,0,0,0
69,OCT,2861.0,1,1985,0,0,0,0,1,0,0,0,7.9589267,0,0,0,0,0,0,0,0,0,1,0,0
70,NOV,2966.0,1,1985,0,0,0,0,1,0,0,0,7.9949694,0,0,0,0,0,0,0,0,0,0,1,0
71,DEC,4016.0,1,1985,0,0,0,0,1,0,0,0,8.298041,0,0,0,0,0,0,0,0,0,0,0,1
72,JAN,5254.0,1,1986,0,0,0,0,0,1,0,0,8.566745,1,0,0,0,0,0,0,0,0,0,0,0
73,FEB,5205.0,1,1986,0,0,0,0,0,1,0,0,8.557375,0,1,0,0,0,0,0,0,0,0,0,0
74,MAR,4783.0,1,1986,0,0,0,0,0,1,0,0,8.472823,0,0,1,0,0,0,0,0,0,0,0,0
75,APR,4159.0,1,1986,0,0,0,0,0,1,0,0,8.33303,0,0,0,1,0,0,0,0,0,0,0,0
76,MAY,3470.0,1,1986,0,0,0,0,0,1,0,0,8.15191,0,0,0,0,1,0,0,0,0,0,0,0
77,JUNE,3155.0,1,1986,0,0,0,0,0,1,0,0,8.056744,0,0,0,0,0,1,0,0,0,0,0,0
78,JULY,3831.0,1,1986,0,0,0,0,0,1,0,0,8.250881,0,0,0,0,0,0,1,0,0,0,0,0
79,AUG,3812.0,1,1986,0,0,0,0,0,1,0,0,8.24591,0,0,0,0,0,0,0,1,0,0,0,0
80,SEPT,2700.0,1,1986,0,0,0,0,0,1,0,0,7.901007,0,0,0,0,0,0,0,0,1,0,0,0
81,OCT,2859.0,1,1986,0,0,0,0,0,1,0,0,7.958227,0,0,0,0,0,0,0,0,0,1,0,0
82,NOV,3018.0,1,1986,0,0,0,0,0,1,0,0,8.01235,0,0,0,0,0,0,0,0,0,0,1,0
83,DEC,4324.0,1,1986,0,0,0,0,0,1,0,0,8.371936,0,0,0,0,0,0,0,0,0,0,0,1
84,JAN,5430.0,1,1987,0,0,0,0,0,0,1,0,8.599694,1,0,0,0,0,0,0,0,0,0,0,0
85,FEB,5729.0,1,1987,0,0,0,0,0,0,1,0,8.653296,0,1,0,0,0,0,0,0,0,0,0,0
