,year,V,I,DPER,DUR,g3,p15,n,g2,gYR,p8,p2YR,Ig2,Ip8,demwins,In,d,Id,Ig3,Ip151md,In1md,demvote,incum,gnews,inf,partyWH,pWHgnews,pWHinf
0,1916,0.5168,1,1,0.0,2.229,4.252,3,-1.213,6.035,6.752,8.183,-1.213,6.752,1,3,0,0,2.229,4.252,3,0.5168,1,3,4.252,1,3,4.252
1,1920,0.3612,1,0,1.0,-11.463,16.535,5,-14.496,-8.147,17.24,16.8,-14.496,17.24,0,5,1,1,-11.463,0.0,0,0.3612,0,5,16.535,1,5,16.535
2,1924,0.4176,-1,-1,0.0,-3.872,5.161,10,-9.777,-1.009,0.737,1.231,9.777,-0.737,0,-10,0,0,3.872,-5.161,-10,0.4176,-1,10,5.161,-1,-10,-5.161
3,1928,0.4118,-1,0,-1.0,4.623,0.183,7,6.043,-0.225,0.242,0.753,-6.043,-0.242,0,-7,0,0,-4.623,-0.183,-7,0.4118,0,7,0.183,-1,-7,-0.183
4,1932,0.5916,-1,-1,-1.25,-15.574,6.657,3,-16.249,-14.369,10.127,10.177,16.249,-10.127,1,-3,0,0,15.574,-6.657,-3,0.5916,-1,3,6.657,-1,-3,-6.657
5,1936,0.6246,1,1,0.0,12.625,3.387,9,18.765,12.933,0.928,1.349,18.765,0.928,1,9,0,0,12.625,3.387,9,0.6246,1,9,3.387,1,9,3.387
6,1940,0.55,1,1,1.0,2.42,0.553,8,10.35,6.708,0.542,0.765,10.35,0.542,1,8,0,0,2.42,0.553,8,0.55,1,8,0.553,1,8,0.553
7,1944,0.5377,1,1,1.25,2.91,6.432,13,3.317,5.768,3.737,3.965,3.317,3.737,1,13,1,1,2.91,0.0,0,0.5377,1,13,6.432,1,13,6.432
8,1948,0.5237,1,1,1.5,3.105,10.369,3,3.976,2.289,8.852,9.52,3.976,8.852,1,3,1,1,3.105,0.0,0,0.5237,1,3,10.369,1,3,10.369
9,1952,0.446,1,0,1.75,0.91,2.256,7,0.632,1.935,3.542,4.16,0.632,3.542,0,7,0,0,0.91,2.256,7,0.446,0,7,2.256,1,7,2.256
10,1956,0.4224,-1,-1,0.0,-1.479,2.132,6,-0.576,0.338,2.958,2.674,0.576,-2.958,0,-6,0,0,1.479,-2.132,-6,0.4224,-1,6,2.132,-1,-6,-2.132
11,1960,0.5009,-1,0,-1.0,0.02,2.299,5,-2.94,-0.038,2.314,2.26,2.94,-2.314,1,-5,0,0,-0.02,-2.299,-5,0.5009,0,5,2.299,-1,-5,-2.299
12,1964,0.6134,1,1,0.0,4.95,1.201,11,3.334,4.374,1.375,1.288,3.334,1.375,1,11,0,0,4.95,1.201,11,0.6134,1,11,1.201,1,11,1.201
13,1968,0.496,1,0,1.0,4.712,3.16,9,4.125,3.599,3.775,3.748,4.125,3.775,0,9,0,0,4.712,3.16,9,0.496,0,9,3.16,1,9,3.16
14,1972,0.3821,-1,-1,0.0,5.716,4.762,6,5.216,4.247,4.611,4.629,-5.216,-4.611,0,-6,0,0,-5.716,-4.762,-6,0.3821,-1,6,4.762,-1,-6,-4.762
15,1976,0.5105,-1,0,-1.0,3.411,7.604,6,0.923,4.406,7.288,7.65,-0.923,-7.288,1,-6,0,0,-3.411,-7.604,-6,0.5105,0,6,7.604,-1,-6,-7.604
16,1980,0.447,1,1,0.0,-3.512,7.947,5,-5.494,-1.33,8.718,8.722,-5.494,8.718,0,5,0,0,-3.512,7.947,5,0.447,1,5,7.947,1,5,7.947
17,1984,0.4083,-1,-1,0.0,5.722,5.296,7,3.965,6.114,3.692,3.877,-3.965,-3.692,0,-7,0,0,-5.722,-5.296,-7,0.4083,-1,7,5.296,-1,-7,-5.296
18,1988,0.461,-1,0,-1.0,2.174,3.392,5,2.285,2.943,3.737,3.509,-2.285,-3.737,0,-5,0,0,-2.174,-3.392,-5,0.461,0,5,3.392,-1,-5,-3.392
19,1992,0.5345,-1,-1,-1.25,1.478,3.834,0,1.102,0.979,3.325,3.461,-1.102,-3.325,1,0,0,0,-1.478,-3.834,0,0.5345,-1,0,3.834,-1,0,-3.834
20,1996,0.5465,1,1,0.0,2.1,3.019,3,2.2,1.5,2.2,2.2,2.2,2.2,1,2,0,0,2.1,3.0,2,0.5465,1,3,3.019,1,3,3.019
