,year,educ,meduc,feduc,age,kids,black,east,northcen,west,farm,othrural,town,smcity,y74,y76,y78,y80,y82,y84,agesq,y74educ,y76educ,y78educ,y80educ,y82educ,y84educ
0,72,12,8,8,48,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
1,72,17,8,18,46,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
2,72,12,7,8,53,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
3,72,12,12,10,42,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1764,0,0,0,0,0,0
4,72,12,3,8,51,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2601,0,0,0,0,0,0
5,72,8,8,8,50,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0
6,72,12,12,10,47,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2209,0,0,0,0,0,0
7,72,10,12,5,46,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0
8,72,12,8,8,41,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
9,72,12,6,13,36,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
10,72,14,16,13,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0
11,72,11,12,10,39,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
12,72,12,5,3,49,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2401,0,0,0,0,0,0
13,72,11,4,8,53,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
14,72,18,10,18,38,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0
15,72,14,16,12,39,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
16,72,10,1,6,45,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0
17,72,16,16,16,41,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
18,72,12,8,8,41,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0
19,72,8,8,8,48,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2304,0,0,0,0,0,0
20,72,17,4,4,53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2809,0,0,0,0,0,0
21,72,12,5,5,44,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1936,0,0,0,0,0,0
22,72,12,8,6,43,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
23,72,8,0,0,52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2704,0,0,0,0,0,0
24,72,14,8,14,47,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2209,0,0,0,0,0,0
25,72,12,12,8,39,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1521,0,0,0,0,0,0
26,72,12,8,7,44,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,0
27,72,8,8,8,43,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1849,0,0,0,0,0,0
28,72,12,8,8,44,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1936,0,0,0,0,0,0
29,72,9,8,8,43,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1849,0,0,0,0,0,0
30,72,12,0,5,43,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1849,0,0,0,0,0,0
