,gfr,pe,year,t,tsq,pe_1,pe_2,pe_3,pe_4,pill,ww2,tcu,cgfr,cpe,cpe_1,cpe_2,cpe_3,cpe_4,gfr_1,cgfr_1,cgfr_2,cgfr_3,cgfr_4,gfr_2
0,124.7,0.0,1913,1,1,,,,,0,0,1.0,,,,,,,,,,,,
1,126.6,0.0,1914,2,4,0.0,,,,0,0,8.0,1.9000015,0.0,,,,,124.7,,,,,
2,125.0,0.0,1915,3,9,0.0,0.0,,,0,0,27.0,-1.5999985,0.0,0.0,,,,126.6,1.9000015,,,,124.7
3,123.4,0.0,1916,4,16,0.0,0.0,0.0,,0,0,64.0,-1.5999985,0.0,0.0,0.0,,,125.0,-1.5999985,1.9000015,,,126.6
4,121.0,19.27,1917,5,25,0.0,0.0,0.0,0.0,0,0,125.0,-2.4000015,19.27,0.0,0.0,0.0,,123.4,-1.5999985,-1.5999985,1.9000015,,125.0
5,119.8,23.94,1918,6,36,19.27,0.0,0.0,0.0,0,0,216.0,-1.199997,4.67,19.27,0.0,0.0,0.0,121.0,-2.4000015,-1.5999985,-1.5999985,1.9000015,123.4
6,111.2,20.07,1919,7,49,23.94,19.27,0.0,0.0,0,0,343.0,-8.600006,-3.8700008,4.67,19.27,0.0,0.0,119.8,-1.199997,-2.4000015,-1.5999985,-1.5999985,121.0
7,117.9,15.33,1920,8,64,20.07,23.94,19.27,0.0,0,0,512.0,6.7000046,-4.74,-3.8700008,4.67,19.27,0.0,111.2,-8.600006,-1.199997,-2.4000015,-1.5999985,119.8
8,119.8,34.32,1921,9,81,15.33,20.07,23.94,19.27,0,0,729.0,1.9000015,18.99,-4.74,-3.8700008,4.67,19.27,117.9,6.7000046,-8.600006,-1.199997,-2.4000015,111.2
9,111.2,36.65,1922,10,100,34.32,15.33,20.07,23.94,0,0,1000.0,-8.600006,2.3300018,18.99,-4.74,-3.8700008,4.67,119.8,1.9000015,6.7000046,-8.600006,-1.199997,117.9
10,110.5,25.83,1923,11,121,36.65,34.32,15.33,20.07,0,0,1331.0,-0.69999695,-10.820002,2.3300018,18.99,-4.74,-3.8700008,111.2,-8.600006,1.9000015,6.7000046,-8.600006,119.8
11,110.9,27.34,1924,12,144,25.83,36.65,34.32,15.33,0,0,1728.0,0.40000153,1.5100002,-10.820002,2.3300018,18.99,-4.74,110.5,-0.69999695,-8.600006,1.9000015,6.7000046,111.2
12,106.6,22.85,1925,13,169,27.34,25.83,36.65,34.32,0,0,2197.0,-4.300003,-4.49,1.5100002,-10.820002,2.3300018,18.99,110.9,0.40000153,-0.69999695,-8.600006,1.9000015,110.5
13,102.6,21.13,1926,14,196,22.85,27.34,25.83,36.65,0,0,2744.0,-4.0,-1.7200012,-4.49,1.5100002,-10.820002,2.3300018,106.6,-4.300003,0.40000153,-0.69999695,-8.600006,110.9
14,99.8,24.61,1927,15,225,21.13,22.85,27.34,25.83,0,0,3375.0,-2.7999954,3.4800014,-1.7200012,-4.49,1.5100002,-10.820002,102.6,-4.0,-4.300003,0.40000153,-0.69999695,106.6
15,93.8,31.96,1928,16,256,24.61,21.13,22.85,27.34,0,0,4096.0,-6.0,7.3499985,3.4800014,-1.7200012,-4.49,1.5100002,99.8,-2.7999954,-4.0,-4.300003,0.40000153,102.6
16,89.2,27.29,1929,17,289,31.96,24.61,21.13,22.85,0,0,4913.0,-4.600006,-4.669998,7.3499985,3.4800014,-1.7200012,-4.49,93.8,-6.0,-2.7999954,-4.0,-4.300003,99.8
17,89.2,18.4,1930,18,324,27.29,31.96,24.61,21.13,0,0,5832.0,0.0,-8.890001,-4.669998,7.3499985,3.4800014,-1.7200012,89.2,-4.600006,-6.0,-2.7999954,-4.0,93.8
