,id,male,age,yrsmarr,kids,relig,educ,occup,ratemarr,naffairs,affair,vryhap,hapavg,avgmarr,unhap,vryrel,smerel,slghtrel,notrel
0,4,1,37.0,10.0,0,3,18,7,4,0,0,0,1,0,0,0,0,1,0
1,5,0,27.0,4.0,0,4,14,6,4,0,0,0,1,0,0,0,1,0,0
2,6,1,27.0,1.5,0,3,18,4,4,3,1,0,1,0,0,0,0,1,0
3,11,0,32.0,15.0,1,1,12,1,4,0,0,0,1,0,0,0,0,0,0
4,12,0,27.0,4.0,1,3,17,1,5,3,1,1,0,0,0,0,0,1,0
5,16,1,57.0,15.0,1,5,18,6,5,0,0,1,0,0,0,1,0,0,0
6,23,1,22.0,0.75,0,2,17,6,3,0,0,0,0,1,0,0,0,0,1
7,29,0,32.0,1.5,0,2,17,5,5,0,0,1,0,0,0,0,0,0,1
8,43,1,37.0,15.0,1,5,18,6,2,7,1,0,0,0,1,1,0,0,0
9,44,0,22.0,0.75,0,2,12,1,3,0,0,0,0,1,0,0,0,0,1
10,45,1,57.0,15.0,1,2,14,4,4,0,0,0,1,0,0,0,0,0,1
11,47,0,32.0,15.0,1,4,16,1,2,0,0,0,0,0,1,0,1,0,0
12,49,1,22.0,1.5,0,4,14,4,5,0,0,1,0,0,0,0,1,0,0
13,50,1,37.0,15.0,1,2,20,7,2,0,0,0,0,0,1,0,0,0,1
14,53,0,32.0,10.0,1,3,17,5,2,12,1,0,0,0,1,0,0,1,0
15,55,1,27.0,4.0,1,4,18,6,4,0,0,0,1,0,0,0,1,0,0
16,64,1,47.0,15.0,1,5,17,6,4,0,0,0,1,0,0,1,0,0,0
17,67,1,22.0,0.125,0,4,16,5,5,1,1,1,0,0,0,0,1,0,0
18,79,0,22.0,1.5,1,2,14,1,5,1,1,1,0,0,0,0,0,0,1
19,80,0,22.0,1.5,0,2,17,5,4,0,0,0,1,0,0,0,0,0,1
20,86,0,27.0,4.0,0,4,14,5,4,0,0,0,1,0,0,0,1,0,0
21,93,0,37.0,15.0,1,1,17,5,5,0,0,1,0,0,0,0,0,0,0
22,108,0,37.0,15.0,1,2,18,4,3,0,0,0,0,1,0,0,0,0,1
23,114,0,22.0,0.75,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
24,115,0,22.0,1.5,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
25,116,0,27.0,10.0,1,2,14,1,5,0,0,1,0,0,0,0,0,0,1
26,122,1,37.0,15.0,1,4,14,5,2,12,1,0,0,0,1,0,1,0,0
27,123,0,22.0,1.5,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
28,126,0,22.0,1.5,0,2,14,3,4,7,1,0,1,0,0,0,0,0,1
29,127,0,22.0,1.5,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
30,129,0,27.0,10.0,1,4,16,5,4,0,0,0,1,0,0,0,1,0,0
31,133,1,37.0,15.0,1,2,18,6,4,2,1,0,1,0,0,0,0,0,1
32,134,0,32.0,10.0,1,3,14,1,5,0,0,1,0,0,0,0,0,1,0
33,137,1,37.0,4.0,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
