,prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
0,0.6222222,0.7666667,1875,2205,1,0,0,0,15,7.5,20,9.0,0.700286,4080,-0.3562665,8.313852,1,,,
1,0.9722222,1.175,2900,566,0,0,1,0,10,5.0,20,7.5,1.0053359,3466,0.0053217416,8.150757,2,-0.3562665,0.36158824,
2,1.233333,1.475,770,1525,0,0,0,1,10,6.0,20,4.0,1.3939178,2295,0.33211833,7.738488,3,0.0053217416,0.3267966,0.36158824
3,1.928571,1.625,927,943,0,0,0,0,15,6.0,20,5.0,1.7754868,1870,0.5740746,7.533694,4,0.33211833,0.2419563,0.3267966
4,0.803125,0.8642857,4220,2665,1,0,0,0,10,3.5,20,3.5,0.8267987,6885,-0.19019406,8.8371,5,0.5740746,-0.7642687,0.2419563
5,0.8818182,0.9142857,4230,1375,0,1,0,0,15,4.5,15,3.5,0.889783,5605,-0.116777636,8.631414,6,-0.19019406,0.07341642,-0.7642687
6,0.76875,0.83,3079,1880,0,0,1,0,10,4.5,20,3.5,0.79197043,4959,-0.23323122,8.50896,7,-0.116777636,-0.11645358,0.07341642
7,0.83,1.0,945,1240,0,0,0,1,10,4.0,20,4.5,0.92647594,2185,-0.0763672,7.689371,8,-0.23323122,0.15686402,-0.11645358
8,0.6892857,0.7615384,7925,1395,0,0,0,0,10,4.0,15,4.5,0.70010036,9320,-0.3565316,9.139918,9,-0.0763672,-0.2801644,0.15686402
9,1.474074,1.538889,4895,1898,1,0,0,0,20,12.5,20,3.5,1.4921837,6793,0.4002406,8.8236475,10,-0.3565316,0.75677216,-0.2801644
10,1.616667,1.5,1275,650,0,1,0,0,15,9.0,45,12.5,1.577273,1925,0.45569742,7.562681,11,0.4002406,0.055456817,0.75677216
11,1.45,1.511111,1834,636,0,0,1,0,15,7.5,30,12.5,1.4657356,2470,0.3823572,7.8119736,12,0.45569742,-0.07334021,0.055456817
12,1.279167,1.353125,4295,4522,0,0,0,1,10,4.5,25,9.0,1.317098,8817,0.27543086,9.084437,13,0.3823572,-0.10692635,-0.07334021
13,1.216667,1.26875,3120,1545,0,0,0,0,10,4.5,20,7.5,1.2339164,4665,0.21019317,8.447844,14,0.27543086,-0.065237686,-0.10692635
14,0.89,0.9863636,4165,3075,1,0,0,0,10,6.0,25,4.0,0.9309279,7240,-0.07157348,8.887377,15,0.21019317,-0.28176665,-0.065237686
15,0.83,0.93,3250,540,0,1,0,0,10,4.0,25,6.0,0.844248,3790,-0.16930899,8.240121,16,-0.07157348,-0.09773551,-0.28176665
16,1.278571,1.25,1730,300,0,0,1,0,15,8.0,15,6.0,1.2743487,2030,0.24243525,7.615791,17,-0.16930899,0.41174424,-0.09773551
17,1.083333,1.233333,1245,1640,0,0,0,1,15,8.0,20,4.0,1.1686016,2885,0.15580785,7.9672804,18,0.24243525,-0.086627394,0.41174424
18,1.0625,1.166667,540,660,0,0,0,0,15,7.5,35,8.0,1.1197919,1200,0.11314283,7.090077,19,0.15580785,-0.04266502,-0.086627394
19,1.0,1.25,110,60,1,0,0,0,20,5.5,20,5.0,1.0882353,170,0.084557354,5.1357985,20,0.11314283,-0.028585479,-0.04266502
20,1.25,1.25,450,650,0,1,0,0,15,5.5,30,4.5,1.25,1100,0.22314355,7.0030656,21,0.084557354,0.1385862,-0.028585479
21,0.925,0.975,1670,810,0,0,1,0,10,3.0,25,5.5,0.9413307,2480,-0.0604608,7.816014,22,0.22314355,-0.28360435,0.1385862
22,0.5958334,0.7428572,5010,1105,0,0,0,1,10,3.5,20,5.5,0.6224011,6115,-0.4741705,8.7185,23,-0.0604608,-0.4137097,-0.28360435
23,0.5,0.43,3785,3000,0,0,0,0,10,5.0,20,3.0,0.46904936,6785,-0.75704724,8.82247,24,-0.4741705,-0.28287673,-0.4137097
24,0.425,0.6,1940,840,1,0,0,0,15,5.5,35,6.0,0.4778777,2780,-0.7384004,7.9302063,25,-0.75704724,0.018646836,-0.28287673
25,0.5,0.25,1680,100,0,1,0,0,15,4.0,20,6.0,0.48595506,1780,-0.72163916,7.484369,26,-0.7384004,0.016761243,0.018646836
26,0.5583333,0.6,1145,965,0,0,1,0,15,3.0,25,5.5,0.5773894,2110,-0.5492383,7.6544433,27,-0.72163916,0.17240083,0.016761243
27,0.5142857,0.5590909,2120,2585,0,0,0,1,10,2.5,15,4.0,0.53890234,4705,-0.6182209,8.456381,28,-0.5492383,-0.0689826,0.17240083
28,0.5833334,0.5888889,1690,960,0,0,0,0,10,2.5,15,3.0,0.5853459,2650,-0.53555226,7.8823147,29,-0.6182209,0.08266866,-0.0689826
29,0.6590909,0.625,4805,2040,1,0,0,0,25,8.0,20,3.0,0.64893085,6845,-0.43242913,8.831274,30,-0.53555226,0.10312313,0.08266866
30,0.3666667,0.6,1010,60,0,1,0,0,15,8.0,35,8.0,0.37975082,1070,-0.96823996,6.975414,31,-0.43242913,-0.5358108,0.10312313
31,0.5125,1.25,585,200,0,0,1,0,12,6.5,35,8.0,0.7003981,785,-0.3561064,6.6656837,32,-0.96823996,0.61213356,-0.5358108
32,1.4875,1.45,2300,1145,0,0,0,1,12,6.5,25,8.0,1.4750363,3445,0.38868257,8.144679,33,-0.3561064,0.744789,0.61213356
33,1.432143,1.42,1885,4020,0,0,0,0,10,6.5,18,6.5,1.4238763,5905,0.35338295,8.683555,34,0.38868257,-0.03529963,0.744789
34,1.386667,1.39,2090,1370,1,0,0,0,15,6.5,20,3.5,1.3879867,3460,0.32785425,8.149024,35,0.35338295,-0.0255287,-0.03529963
35,1.55,1.633333,330,760,0,1,0,0,10,6.5,25,5.0,1.6081038,1090,0.4750557,6.993933,36,0.32785425,0.14720145,-0.0255287
36,1.196154,1.35,3040,1420,0,0,1,0,10,4.5,30,6.5,1.2451364,4460,0.21924506,8.4029045,37,0.4750557,-0.25581062,0.14720145
