,annearn,hrearn,exper,age,depends,married,tenure,educ,nrtheast,nrthcen,south,male,white,union,office,annhrs,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,vacdays,sicklve,insur,pension,annbens,hrbens,annhrssq,beratio,lannhrs,tenuresq,expersq,lannearn,peratio,vserat
0,15000.0,7.81,14,36,2,1,15.0,18,1,0,0,1,1,0,1,1920.0,1,0,0,0,0,0,0,0,0,974.8,421.0,617.81,1367.8,3381.4102,1.76,3686400.0,0.22542734,7.5600805,225.0,196,9.615806,0.09118667,0.09305333
1,6500.0,5.0,7,23,0,0,8.0,10,0,0,1,1,1,0,0,1300.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1690000.0,0.0,7.17012,64.0,49,8.779557,0.0,0.0
2,6908.99,2.35,22,38,3,1,0.5,6,0,0,1,1,1,0,0,2940.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8643600.0,0.0,7.986165,0.25,484,8.840579,0.0,0.0
3,5512.5,4.5,2,18,0,0,0.5,12,0,0,1,1,1,0,0,1225.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500625.0,0.0,7.1106963,0.25,4,8.614774,0.0,0.0
4,7800.0,3.75,19,35,0,0,2.0,12,0,0,1,1,0,0,0,2080.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4326400.0,0.0,7.6401234,4.0,361,8.961879,0.0,0.0
5,9187.5,3.75,24,40,3,1,8.0,13,1,0,0,1,1,0,0,2450.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.58,6002500.0,0.15548299,7.8038435,64.0,576,9.125599,0.054852787,0.049113467
6,8880.0,4.63,42,58,0,1,8.0,12,1,0,0,1,1,1,0,1920.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.74,3686400.0,0.16086711,7.5600805,64.0,1764,9.091557,0.05675225,0.05081419
7,8532.69,3.72,21,37,1,1,0.5,13,0,1,0,1,1,0,0,2295.0,0,1,0,0,0,0,0,0,0,343.3,107.93,473.31,503.96,1428.5,0.62,5267025.0,0.16741496,7.738488,0.25,441,9.05166,0.05906226,0.0528825
8,8225.0,5.0,22,37,5,0,15.0,10,1,0,0,1,1,1,0,1645.0,0,1,0,0,0,0,0,0,0,203.4,84.01,261.99,0.0,549.39996,0.33,2706025.0,0.06679635,7.4054956,225.0,484,9.014934,0.0,0.034943465
9,8916.0,4.55,40,59,0,1,8.0,6,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,30.93,0.0,465.29,494.64,990.86005,0.51,3841600.0,0.1111328,7.5807,64.0,1600,9.095603,0.055477794,0.0034690443
10,8064.0,4.0,8,24,1,0,0.5,12,0,1,0,1,1,0,0,2016.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4064256.0,0.0,7.6088705,0.25,64,8.995165,0.0,0.0
11,11232.0,4.5,19,39,3,1,2.0,10,0,0,1,1,1,0,0,2496.0,0,1,0,0,0,0,0,0,0,0.0,0.0,494.75,0.0,494.75,0.2,6230016.0,0.044048253,7.822445,4.0,361,9.326522,0.0,0.0
12,16615.4,8.65,35,52,2,1,25.0,12,0,0,0,1,1,1,0,1920.0,0,1,0,0,0,0,0,0,0,1302.86,760.0,1425.51,1190.8,4679.17,2.44,3686400.0,0.28161645,7.5600805,625.0,1225,9.718085,0.07166845,0.124153495
13,12100.0,6.17,30,46,1,1,15.0,10,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.65,3841600.0,0.26668763,7.5807,225.0,900,9.400961,0.106305785,0.05291074
14,18000.0,5.25,7,23,1,0,2.0,13,0,0,1,1,1,0,0,3430.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,0.94,11764900.0,0.17927334,8.140316,4.0,49,9.798127,0.07146111,0.035567775
15,12862.5,7.0,40,60,0,1,15.0,10,1,0,0,1,1,1,0,1837.5,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.76,3376406.2,0.25087816,7.5161614,225.0,1600,9.462071,0.10000389,0.049774148
16,13739.6,7.01,20,39,1,1,2.0,6,0,0,1,1,1,1,0,1960.0,0,1,0,0,0,0,0,0,0,485.11,155.11,1300.4,1286.3,3226.9202,1.65,3841600.0,0.23486274,7.5807,4.0,400,9.528037,0.093619905,0.0465967
17,14726.2,5.25,5,21,1,1,2.0,12,0,0,1,1,1,0,0,2805.0,0,1,0,0,0,0,0,0,0,430.0,231.0,648.0,0.0,1309.0,0.47,7868025.0,0.08888919,7.939159,4.0,25,9.5973835,0.0,0.044885986
18,12524.4,5.68,45,51,0,1,15.0,10,1,0,0,1,1,0,0,2205.0,0,1,0,0,0,0,0,0,0,149.99,0.0,1153.97,1394.1,2698.06,1.22,4862025.0,0.21542428,7.698483,225.0,2025,9.435434,0.11131071,0.011975823
19,21168.0,7.2,7,23,2,1,8.0,12,0,1,0,1,1,0,0,2940.0,0,1,0,0,0,0,0,0,0,139.56,0.0,356.26,0.0,495.82,0.17,8643600.0,0.023423092,7.986165,64.0,49,9.960246,0.0,0.0065929703
20,16717.3,7.51,40,58,1,1,2.0,12,0,0,1,1,1,1,0,2226.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.77,4955076.0,0.10219293,7.7079616,4.0,1600,9.724199,0.053147934,0.0
21,21732.5,11.76,14,34,0,1,2.0,13,0,0,0,1,1,1,0,1848.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.92,3415104.0,0.07860991,7.521859,4.0,196,9.986564,0.04088301,0.0
22,19344.0,12.4,37,55,0,1,0.5,12,0,0,1,1,1,1,0,1560.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,1.1,2433600.0,0.08831628,7.3524413,0.25,1369,9.870137,0.045931038,0.0
23,24200.0,12.1,35,51,2,0,0.5,13,0,1,0,1,1,1,0,2000.0,0,1,0,0,0,0,0,0,0,0.0,0.0,819.9,888.49,1708.39,0.85,4000000.0,0.07059463,7.6009026,0.25,1225,10.094108,0.03671446,0.0
24,16524.0,6.0,11,27,4,1,0.5,12,0,1,0,1,1,0,0,2754.0,0,1,0,0,0,0,0,0,0,0.0,0.0,138.75,0.0,138.75,0.05,7584516.0,0.008396877,7.9208097,0.25,121,9.712569,0.0,0.0
25,19408.0,12.13,9,25,1,1,0.5,13,0,1,0,1,1,1,0,1600.0,0,1,0,0,0,0,0,0,0,0.0,0.0,138.75,0.0,138.75,0.09,2560000.0,0.007149114,7.377759,0.25,81,9.873441,0.0,0.0
26,9600.0,4.71,4,20,0,1,0.5,12,1,0,0,1,1,0,1,2040.0,0,1,0,0,0,0,0,0,0,356.11,184.08,464.82,0.0,1005.01,0.49,4161600.0,0.10468854,7.620705,0.25,16,9.169518,0.0,0.05626979
27,15576.9,7.79,18,47,1,1,0.5,13,0,0,1,1,1,0,1,2000.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.89,4000000.0,0.24223818,7.6009026,0.25,324,9.653544,0.09321559,0.09012062
28,15824.4,7.83,43,59,0,1,25.0,12,0,0,1,1,1,0,1,2021.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.87,4084441.0,0.23844948,7.6113477,625.0,1849,9.669309,0.09175766,0.0887111
29,18900.0,9.04,24,45,7,1,4.0,16,0,0,0,1,1,0,1,2091.0,0,1,0,0,0,0,0,0,0,995.69,408.11,917.51,1452.01,3773.32,1.8,4372281.0,0.19964656,7.6453977,16.0,576,9.846917,0.076825924,0.07427513
30,22000.0,8.16,20,36,4,1,15.0,12,0,1,0,1,1,1,1,2695.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,0.77,7263025.0,0.093797274,7.8991537,225.0,400,9.998797,0.0,0.04988
31,19840.0,9.92,24,40,3,1,8.0,6,0,0,1,1,1,0,1,2000.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,1.03,4000000.0,0.10400908,7.6009026,64.0,576,9.895455,0.0,0.055310484
32,24000.0,12.77,14,35,2,1,8.0,16,0,0,0,1,1,0,1,1880.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,1.1,3534400.0,0.08598083,7.539027,64.0,196,10.085809,0.0,0.045723334
33,27000.0,11.72,34,50,2,1,4.0,8,0,1,0,1,1,0,1,2304.0,0,1,0,0,0,0,0,0,0,748.21,349.15,966.18,0.0,2063.54,0.9,5308416.0,0.07642741,7.742402,16.0,1156,10.203592,0.0,0.04064296
34,26000.0,13.27,31,51,1,1,15.0,16,0,0,0,1,1,0,1,1960.0,0,1,0,0,0,0,0,0,0,1147.83,357.61,1107.05,1672.83,4285.32,2.19,3841600.0,0.16482,7.5807,225.0,961,10.165852,0.064339615,0.057901535
35,6691.2,3.28,3,24,3,0,0.5,10,0,0,1,0,0,0,0,2040.0,0,0,1,0,0,0,0,0,0,147.67,41.05,0.0,0.0,188.72,0.09,4161600.0,0.028204208,7.620705,0.25,9,8.808549,0.0,0.028204206
36,7467.6,3.81,39,57,2,1,15.0,12,0,1,0,1,1,0,0,1960.0,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51,965.87,0.49,3841600.0,0.12934142,7.5807,225.0,1521,8.918329,0.039706197,0.0378783
37,7399.99,3.7,5,29,3,1,2.0,13,0,1,0,1,0,1,0,2000.0,0,0,1,0,0,0,0,0,0,281.69,1.17,386.5,296.51,965.87,0.48,4000000.0,0.13052315,7.6009026,4.0,25,8.909234,0.040068973,0.038224377
38,7871.99,4.1,5,23,0,0,0.5,12,0,0,1,1,1,0,0,1920.0,0,0,1,0,0,0,0,0,0,210.26,0.0,342.79,0.0,553.05,0.29,3686400.0,0.07025542,7.5600805,0.25,25,8.971066,0.0,0.02670989
39,7020.0,3.0,12,26,4,1,2.0,12,0,0,1,1,1,0,0,2340.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5475600.0,0.0,7.7579064,4.0,144,8.856519,0.0,0.0
40,10454.4,6.05,20,36,3,1,15.0,12,0,1,0,1,1,1,0,1728.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.84,2985984.0,0.13819635,7.45472,225.0,400,9.254778,0.0403323,0.043529995
41,9839.99,4.1,13,31,1,1,15.0,12,1,0,0,1,1,0,0,2400.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.6,5760000.0,0.14682534,7.783224,225.0,169,9.19421,0.04285065,0.046248015
42,9243.74,4.93,49,65,0,1,15.0,6,0,1,0,1,0,1,0,1875.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.77,3515625.0,0.15629604,7.536364,225.0,2401,9.131701,0.045614652,0.049231153
43,9878.39,4.2,29,49,1,1,15.0,8,1,0,0,1,1,0,0,2352.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.61,5531904.0,0.14625461,7.7630215,225.0,841,9.198105,0.042684082,0.046068236
44,11707.9,7.07,23,45,2,1,25.0,6,0,0,1,1,0,1,0,1656.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.87,2742336.0,0.123400435,7.4121604,625.0,529,9.368019,0.036014143,0.03886948
45,9552.55,5.57,20,36,3,1,15.0,13,1,0,0,1,0,0,0,1715.0,0,0,1,0,0,0,0,0,0,453.63,1.45,568.03,421.65,1444.76,0.84,2941225.0,0.15124339,7.4471684,225.0,400,9.164563,0.04414005,0.04763964
46,10700.0,5.35,12,31,0,1,4.0,16,0,1,0,1,1,1,0,2000.0,0,0,1,0,0,0,0,0,0,124.0,0.0,136.07,0.0,260.07,0.13,4000000.0,0.024305608,7.6009026,16.0,144,9.277999,0.0,0.011588785
47,8255.99,4.3,23,40,1,1,2.0,12,0,0,1,1,1,0,0,1920.0,0,0,1,0,0,0,0,0,0,124.0,0.0,136.07,0.0,260.07,0.14,3686400.0,0.031500764,7.5600805,4.0,529,9.018694,0.0,0.015019397
48,13160.0,7.0,38,58,4,1,25.0,12,1,0,0,1,1,1,0,1880.0,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.33,3534400.0,0.18930775,7.539027,625.0,1444,9.484938,0.060569152,0.062303193
49,19400.0,7.07,33,49,1,0,15.0,12,0,1,0,1,1,1,0,2744.0,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,0.91,7529536.0,0.12841702,7.917172,225.0,1089,9.873029,0.041087113,0.042263404
50,15320.4,7.51,10,28,1,1,0.5,13,0,0,0,1,1,1,0,2040.0,0,0,1,0,0,0,0,0,0,674.78,145.13,874.29,797.09,2491.29,1.22,4161600.0,0.16261259,7.620705,0.25,100,9.636941,0.052028015,0.05351753
