,age,soph,junior,senior,senior5,male,campus,business,engineer,colGPA,hsGPA,ACT,job19,job20,drive,bike,walk,voluntr,PC,greek,car,siblings,bgfriend,clubs,skipped,alcohol,gradMI,fathcoll,mothcoll
0,21,0,0,1,0,0,0,1,0,3.0,3.0,21,0,1,1,0,0,0,0,0,1,1,0,0,2.0,1.0,1,0,0
1,21,0,0,1,0,0,0,1,0,3.4,3.2,24,0,1,1,0,0,0,0,0,1,0,1,1,0.0,1.0,1,1,1
2,20,0,1,0,0,0,0,1,0,3.0,3.6,26,1,0,0,0,1,0,0,0,1,1,0,1,0.0,1.0,1,1,1
3,19,1,0,0,0,1,1,1,0,3.5,3.5,27,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0,0,0
4,20,0,1,0,0,0,0,1,0,3.6,3.9,28,0,1,0,1,0,0,0,0,1,1,1,0,0.0,1.5,1,1,0
5,20,0,0,1,0,1,1,1,0,3.0,3.4,25,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0,1,0
6,22,0,0,0,1,0,0,1,0,2.7,3.5,25,0,0,0,1,0,0,0,1,1,1,0,1,0.0,2.0,1,0,1
7,22,0,0,0,1,0,0,0,0,2.7,3.0,22,1,0,1,0,0,0,1,0,0,1,1,0,3.0,3.0,1,1,1
8,22,0,0,0,1,0,0,0,0,2.7,3.0,21,1,0,1,0,0,0,0,0,1,1,1,1,2.0,2.5,1,1,1
9,19,1,0,0,0,0,0,1,0,3.8,4.0,27,1,0,0,0,1,0,1,0,0,1,0,1,0.5,0.75,1,0,1
10,21,0,0,1,0,1,0,1,0,2.8,3.0,19,1,0,0,0,1,0,0,0,1,1,1,0,2.0,1.0,1,0,0
11,22,0,0,0,1,0,1,1,0,2.9,3.1,22,0,1,0,0,1,1,0,0,1,1,1,1,1.0,1.0,1,0,1
12,21,0,0,1,0,0,1,1,0,3.0,3.5,23,1,0,0,0,1,0,1,0,1,1,1,1,0.0,1.0,1,0,1
13,20,0,1,0,0,1,1,1,0,2.9,3.8,29,0,0,0,0,1,0,0,0,0,1,0,0,3.0,2.5,0,1,1
14,20,0,1,0,0,1,0,1,0,3.3,3.7,25,0,0,1,0,0,0,1,1,0,1,0,0,1.0,4.0,1,1,1
15,22,0,0,1,0,1,0,1,0,2.6,3.0,21,0,0,1,0,0,0,0,0,1,1,0,1,3.0,3.5,1,1,0
16,19,1,0,0,0,1,0,0,1,2.5,3.5,29,0,1,0,0,1,0,1,0,1,1,0,0,4.0,3.0,1,1,0
17,22,0,0,1,0,1,0,1,0,2.5,3.0,23,0,0,1,0,0,0,0,0,1,1,0,1,5.0,5.0,0,1,0
