,term,sat,tothrs,cumgpa,season,frstsem,crsgpa,verbmath,trmgpa,hssize,hsrank,id,spring,female,black,white,ctrmgpa,ctothrs,ccrsgpa,ccrspop,cseason,hsperc,football
0,1,920,31,2.25,0,0,2.6464,0.48387,1.5,10,4,22.0,0,1,0,0,,,,,,40.0,0
1,2,920,43,2.04,1,0,2.5077,0.48387,2.25,10,4,22.0,1,1,0,0,0.75,12.0,-0.13870001,-62.25,1.0,40.0,0
2,1,780,28,2.03,0,0,2.8679,0.81395,2.2,123,102,35.0,0,0,0,1,,,,,,82.92683,0
3,2,780,43,2.09,1,0,2.8839,0.81395,1.6,123,102,35.0,1,0,0,1,-0.6,15.0,0.016000032,-73.25,1.0,82.92683,0
4,1,810,0,0.0,0,1,2.7634,0.88372,1.6,119,42,36.0,0,0,0,1,,,,,,35.294117,0
5,2,810,14,1.78,1,0,2.56,0.88372,1.29,119,42,36.0,1,0,0,1,-0.31000006,14.0,-0.20340014,72.329956,1.0,35.294117,0
6,1,1080,0,0.0,1,1,2.5149,0.8,2.0,318,31,156.0,0,0,0,1,,,,,,9.748427,0
7,2,1080,17,2.0,0,0,2.4764,0.8,2.73,318,31,156.0,1,0,0,1,0.73,17.0,-0.03850007,-320.19995,-1.0,9.748427,0
8,1,960,91,2.35,1,0,2.8535,1.0,2.8,383,66,246.0,0,0,0,1,,,,,,17.232376,0
9,2,960,106,2.41,0,0,2.7414,1.0,2.6,383,66,246.0,1,0,0,1,-0.20000005,15.0,-0.112099886,-92.80002,-1.0,17.232376,0
10,1,790,0,0.0,1,1,2.4137,1.13514,1.29,44,27,264.0,0,0,1,0,,,,,,61.363636,0
11,2,790,12,1.16,0,0,2.5918,1.13514,0.25,44,27,264.0,1,0,1,0,-1.04,12.0,0.17809987,-661.17,-1.0,61.363636,0
12,1,820,25,2.12,1,0,2.6297,0.78261,1.5,344,36,326.0,0,1,1,0,,,,,,10.4651165,0
13,2,820,41,1.87,1,0,2.9289,0.78261,2.0,344,36,326.0,1,1,1,0,0.5,16.0,0.29920006,-780.6,0.0,10.4651165,0
14,1,820,30,1.93,1,0,2.6114,0.90698,2.5,228,155,410.0,0,0,0,1,,,,,,67.98245,0
15,2,820,42,2.09,0,0,2.7092,0.90698,1.6,228,155,410.0,1,0,0,1,-0.9,12.0,0.09780002,-323.0,-1.0,67.98245,0
16,1,1040,0,0.0,1,1,2.3983,0.92593,2.18,91,8,412.0,0,0,0,1,,,,,,8.791209,0
17,2,1040,17,2.17,1,0,2.5643,0.92593,2.13,91,8,412.0,1,0,0,1,-0.049999952,17.0,0.16600013,-113.5,0.0,8.791209,0
18,1,730,34,1.97,1,0,2.7986,0.78049,1.75,482,273,428.0,0,0,1,0,,,,,,56.639004,1
19,2,730,50,1.9,0,0,2.8696,0.78049,2.5,482,273,428.0,1,0,1,0,0.75,16.0,0.0710001,14.5,-1.0,56.639004,1
20,1,780,59,2.38,1,0,2.8955,0.69565,2.5,78,17,452.0,0,0,0,1,,,,,,21.794872,1
21,2,780,71,2.4,0,0,2.7555,0.69565,2.33,78,17,452.0,1,0,0,1,-0.17000008,12.0,-0.13999987,-217.33002,-1.0,21.794872,1
22,1,830,62,2.01,1,0,2.942,1.02439,1.75,196,54,477.0,0,0,1,0,,,,,,27.55102,0
23,2,830,74,1.97,1,0,2.6398,1.02439,1.4,196,54,477.0,1,0,1,0,-0.35000002,12.0,-0.30219984,-540.25,0.0,27.55102,0
24,1,710,120,2.02,1,0,2.6198,1.08824,0.5,300,226,509.0,0,0,1,0,,,,,,75.333336,1
25,2,710,132,1.88,0,0,3.0175,1.08824,1.08,300,226,509.0,1,0,1,0,0.58000004,12.0,0.39769983,-113.75,-1.0,75.333336,1
26,1,980,35,2.08,1,0,2.4058,0.92157,1.75,152,45,513.0,0,0,1,0,,,,,,29.605263,1
27,2,980,47,2.0,0,0,2.8379,0.92157,2.11,152,45,513.0,1,0,1,0,0.3599999,12.0,0.43209982,-99.0,-1.0,29.605263,1
28,1,740,93,2.0,1,0,2.425,0.89744,1.25,312,161,528.0,0,0,1,0,,,,,,51.602566,1
29,2,740,105,1.91,0,0,2.8806,0.89744,1.5,312,161,528.0,1,0,1,0,0.25,12.0,0.45560002,-349.75,-1.0,51.602566,1
30,1,1180,93,3.03,1,0,2.9097,0.87302,2.75,637,255,552.0,0,0,0,1,,,,,,40.0314,0
31,2,1180,105,3.0,1,0,2.5798,0.87302,3.0,637,255,552.0,1,0,0,1,0.25,12.0,-0.32990003,-106.5,0.0,40.0314,0
32,1,700,26,2.34,1,0,3.1249,1.0,2.5,32,22,628.0,0,0,0,1,,,,,,68.75,0
33,2,700,38,2.39,1,0,2.9418,1.0,1.6,32,22,628.0,1,0,0,1,-0.9,12.0,-0.18309999,-38.0,0.0,68.75,0
34,1,520,72,1.58,1,0,2.8346,1.0,2.25,462,358,648.0,0,0,0,1,,,,,,77.489174,1
35,2,520,84,1.67,0,0,3.2181,1.0,2.0,462,358,648.0,1,0,0,1,-0.25,12.0,0.3835001,308.05,-1.0,77.489174,1
36,1,720,39,1.76,1,0,2.5976,0.84615,1.25,283,76,657.0,0,0,1,0,,,,,,26.855124,1
37,2,720,51,1.64,0,0,2.8963,0.84615,1.6,283,76,657.0,1,0,1,0,0.35000002,12.0,0.2987001,10.449951,-1.0,26.855124,1
38,1,940,0,0.0,1,1,2.6809,0.77358,2.63,194,85,684.0,0,1,0,1,,,,,,43.814434,0
39,2,940,17,2.58,0,0,2.7455,0.77358,2.63,194,85,684.0,1,1,0,1,0.0,17.0,0.06459999,337.65997,-1.0,43.814434,0
40,1,960,0,0.0,1,1,2.9238,0.77778,2.06,447,320,686.0,0,0,1,0,,,,,,71.58836,1
41,2,960,15,2.33,0,0,2.5197,0.77778,1.33,447,320,686.0,1,0,1,0,-0.7299999,15.0,-0.40409994,569.24,-1.0,71.58836,1
42,1,870,27,2.03,1,0,2.8428,0.85106,2.08,371,259,692.0,0,0,0,1,,,,,,69.81132,0
43,2,870,40,2.05,1,0,2.8471,0.85106,1.29,371,259,692.0,1,0,0,1,-0.78999996,13.0,0.0043001175,57.330017,0.0,69.81132,0
44,1,890,25,2.44,1,0,2.6289,0.78,2.5,124,50,697.0,0,0,0,1,,,,,,40.322582,0
45,2,890,37,2.45,0,0,2.9548,0.78,3.0,124,50,697.0,1,0,0,1,0.5,12.0,0.32589984,108.25,-1.0,40.322582,0
46,1,840,85,2.07,0,0,2.7164,1.0,2.0,116,16,706.0,0,0,0,1,,,,,,13.793103,0
47,2,840,100,2.06,1,0,2.6447,1.0,2.29,116,16,706.0,1,0,0,1,0.28999996,15.0,-0.07169986,-215.22998,1.0,13.793103,0
48,1,810,30,2.7,1,0,2.5105,1.07692,2.5,227,56,744.0,0,1,0,1,,,,,,24.669603,0
