,year,apps,top25,ver500,mth500,stufac,bowl,btitle,finfour,lapps,d93,avg500,cfinfour,clapps,cstufac,cbowl,cavg500,cbtitle,lapps_1,school,ctop25,bball,cbball
0,1992,6245,49.0,,,20,1,0,0,8.739536,0,,,,,,,,,alabama,,0,
1,1993,7677,58.0,,,15,1,0,0,8.945984,1,,0.0,0.2064476,-5.0,0.0,,0.0,8.739536,alabama,9.0,0,0.0
2,1992,13327,57.0,36.0,58.0,16,0,0,0,9.497547,0,47.0,,,,,,0.0,,arizona,,0,
3,1993,19860,57.0,36.0,58.0,16,1,1,0,9.896463,1,47.0,0.0,0.39891624,0.0,1.0,0.0,1.0,9.497547,arizona,0.0,1,1.0
4,1992,10422,37.0,28.0,58.0,20,0,0,0,9.251675,0,43.0,,,,,,-1.0,,arizona state,,0,
5,1993,12809,49.0,31.0,62.0,14,0,0,0,9.457903,1,46.5,0.0,0.20622826,-6.0,0.0,3.5,0.0,9.251675,arizona state,12.0,0,0.0
6,1992,4103,60.0,,,16,1,1,0,8.319473,0,,,,,,,1.0,,arkansas,,1,
7,1993,3303,67.0,,,18,0,0,0,8.102587,1,,0.0,-0.21688652,2.0,-1.0,,-1.0,8.319473,arkansas,7.0,0,-1.0
8,1992,8661,54.0,46.0,86.0,16,0,0,0,9.066586,0,66.0,,,,,,0.0,,auburn,,0,
9,1993,7548,54.0,51.0,83.0,16,0,0,0,8.929038,1,67.0,0.0,-0.1375475,0.0,0.0,1.0,0.0,9.066586,auburn,0.0,0,0.0
10,1992,12283,96.0,86.0,98.0,15,0,0,0,9.415972,0,92.0,,,,,,0.0,,boston college,,0,
11,1993,13112,,82.0,98.0,15,1,0,0,9.481283,1,90.0,0.0,0.06531143,0.0,1.0,-2.0,0.0,9.415972,boston college,,0,0.0
12,1992,20281,,75.0,93.0,20,1,0,0,9.917439,0,84.0,,,,,,0.0,,california,,0,
13,1993,19873,,,,18,0,0,0,9.897118,1,,0.0,-0.020321846,-2.0,-1.0,,0.0,9.917439,california,,0,0.0
14,1992,8037,63.0,38.0,78.0,19,1,0,0,8.991811,0,58.0,,,,,,0.0,,clemson,,0,
15,1993,8065,65.0,44.0,81.0,17,0,0,0,8.995289,1,62.5,0.0,0.0034780502,-2.0,-1.0,4.5,0.0,8.991811,clemson,2.0,0,0.0
16,1992,13761,66.0,,,19,1,0,0,9.529593,0,,,,,,,0.0,,colorado,,0,
17,1993,14063,57.0,52.0,81.0,22,1,0,0,9.551303,1,66.5,0.0,0.021709442,3.0,0.0,,0.0,9.529593,colorado,-9.0,0,0.0
18,1992,12420,97.0,94.0,98.0,12,0,1,1,9.427063,0,96.0,,,,,,1.0,,duke,,1,
