,price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
0,300.0,349.1,4,6126.0,2438,1,5.7037826,5.8553586,8.720297,7.7989335
1,370.0,351.5,3,9903.0,2076,1,5.913503,5.86221,9.200593,7.6381984
2,191.0,217.7,3,5200.0,1374,0,5.2522736,5.383118,8.556414,7.2254815
3,195.0,231.8,3,4600.0,1448,1,5.273,5.445875,8.433811,7.2779384
4,373.0,319.1,4,6095.0,2514,1,5.9215784,5.7655044,8.715224,7.8296304
5,466.275,414.5,5,8566.0,2754,1,6.1447754,6.027073,9.055556,7.9208097
6,332.5,367.8,3,9000.0,2067,1,5.8066397,5.9075394,9.1049795,7.6338534
7,315.0,300.2,3,6210.0,1731,1,5.7525725,5.704449,8.733916,7.4564548
8,206.0,236.1,3,6000.0,1767,0,5.327876,5.4642553,8.699514,7.4770384
9,240.0,256.3,3,2892.0,1890,0,5.480639,5.5463486,7.9697037,7.544332
10,285.0,314.0,4,6000.0,2336,1,5.652489,5.749393,8.699514,7.7561955
11,300.0,416.5,5,7047.0,2634,1,5.7037826,6.0318866,8.860357,7.876259
12,405.0,434.0,3,12237.0,3375,1,6.003887,6.0730443,9.412219,8.12415
13,212.0,279.3,3,6460.0,1899,0,5.3565865,5.6322865,8.773385,7.5490828
14,265.0,287.5,3,6519.0,2312,1,5.57973,5.661223,8.782476,7.745868
15,227.4,232.9,4,3597.0,1760,1,5.4267106,5.450609,8.187856,7.473069
16,240.0,303.8,4,5922.0,2000,0,5.480639,5.7163696,8.68643,7.6009026
17,285.0,305.6,3,7123.0,1774,1,5.652489,5.722277,8.871084,7.4809923
18,268.0,266.7,3,5642.0,1376,1,5.590987,5.5861244,8.637994,7.226936
19,310.0,326.0,4,8602.0,1835,1,5.7365723,5.786897,9.05975,7.5147996
20,266.0,294.3,3,5494.0,2048,1,5.583496,5.6845994,8.611412,7.624619
21,270.0,318.8,3,7800.0,2124,1,5.598422,5.764564,8.961879,7.6610565
22,225.0,294.2,3,6003.0,1768,0,5.4161005,5.68426,8.700015,7.4776044
23,150.0,208.0,4,5218.0,1732,0,5.0106354,5.3375382,8.55987,7.457032
24,247.0,239.7,3,9425.0,1440,1,5.5093884,5.479388,9.151121,7.2723985
25,275.0,294.1,3,6114.0,1932,0,5.616771,5.68392,8.718336,7.566311
26,230.0,267.4,3,6710.0,1932,0,5.4380794,5.5887456,8.811355,7.566311
27,343.0,359.9,3,8577.0,2106,1,5.8377304,5.885826,9.05684,7.652546
28,477.5,478.1,7,8400.0,3529,1,6.1685643,6.16982,9.035987,8.16877
29,350.0,355.3,4,9773.0,2051,1,5.857933,5.8729625,9.187379,7.626083
30,230.0,217.8,4,4806.0,1573,1,5.4380794,5.3835773,8.47762,7.3607397
31,335.0,385.0,4,15086.0,2829,0,5.8141303,5.9532433,9.621523,7.9476786
32,251.0,224.3,3,5763.0,1630,1,5.525453,5.4129844,8.659213,7.396335
33,235.0,251.9,4,6383.0,1840,1,5.4595857,5.529032,8.761394,7.517521
34,361.0,354.9,4,9000.0,2066,1,5.888878,5.871836,9.1049795,7.6333694
35,190.0,212.5,4,3500.0,1702,0,5.247024,5.358942,8.160519,7.4395595
36,360.0,452.4,4,10892.0,2750,1,5.886104,6.114567,9.295784,7.9193563
37,575.0,518.1,5,15634.0,3880,1,6.35437,6.2501683,9.657204,8.263591
38,209.001,289.4,4,6400.0,1854,1,5.342339,5.66781,8.764053,7.5251007
39,225.0,268.1,2,8880.0,1421,0,5.4161005,5.59136,9.091557,7.259116
40,246.0,278.5,3,6314.0,1662,1,5.5053315,5.629418,8.7505245,7.415777
41,713.5,655.4,5,28231.0,3331,1,6.5701823,6.4852457,10.248176,8.111028
42,248.0,273.3,4,7050.0,1656,1,5.5134287,5.61057,8.860783,7.4121604
43,230.0,212.1,3,5305.0,1171,0,5.4380794,5.357058,8.576406,7.0656133
44,375.0,354.0,5,6637.0,2293,1,5.926926,5.869297,8.800415,7.737616
45,265.0,252.1,3,7834.0,1764,1,5.57973,5.5298257,8.9662285,7.4753394
46,313.0,324.0,3,1000.0,2768,0,5.7462034,5.7807436,6.9077554,7.9258804
47,417.5,475.5,4,8112.0,3733,0,6.0342846,6.1643667,9.0011,8.224967
48,253.0,256.8,3,5850.0,1536,1,5.5333896,5.5482974,8.674197,7.336937
49,315.0,279.2,4,6660.0,1638,1,5.7525725,5.6319284,8.803875,7.4012313
50,264.0,313.9,3,6637.0,1972,1,5.575949,5.7490745,8.800415,7.5868034
51,255.0,279.8,2,15267.0,1478,0,5.5412636,5.634075,9.633449,7.298445
52,210.0,198.7,3,5146.0,1408,1,5.3471074,5.291796,8.545975,7.2499256
53,180.0,221.5,3,6017.0,1812,1,5.192957,5.4004226,8.702344,7.5021863
54,250.0,268.4,3,8410.0,1722,1,5.521461,5.5924783,9.037177,7.4512415
55,250.0,282.3,4,5625.0,1780,1,5.521461,5.64297,8.634976,7.484369
56,209.0,230.7,4,5600.0,1674,1,5.3423343,5.4411182,8.630522,7.4229712
57,258.0,287.0,4,6525.0,1850,1,5.5529594,5.659482,8.783396,7.522941
58,289.0,298.7,3,6060.0,1925,1,5.6664267,5.69944,8.709465,7.562681
59,316.0,314.6,4,5539.0,2343,0,5.755742,5.7513022,8.619569,7.759187
60,225.0,291.0,3,7566.0,1567,0,5.4161005,5.673323,8.931419,7.3569183
61,266.0,286.4,4,5484.0,1664,1,5.583496,5.6573896,8.60959,7.41698
62,310.0,253.6,6,5348.0,1386,1,5.7365723,5.535758,8.584478,7.234177
63,471.25,482.0,5,15834.0,2617,1,6.155389,6.177944,9.669915,7.869784
64,335.0,384.3,4,8022.0,2321,1,5.8141303,5.9514236,8.9899435,7.7497535
65,495.0,543.6,4,11966.0,2638,1,6.204558,6.2982135,9.389825,7.877776
66,279.5,336.5,4,8460.0,1915,1,5.6330023,5.8185983,9.043104,7.5574727
