,price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat,lprice,lnox,lproptax
0,24000.0,0.006,5.38,6.57,4.09,1,29.6,15.3,4.98,10.085809,1.6826884,5.6903596
1,21599.0,0.027,4.69,6.42,4.97,2,24.2,17.8,9.14,9.980402,1.5454326,5.488938
2,34700.0,0.027,4.69,7.18,4.97,2,24.2,17.8,4.03,10.454495,1.5454326,5.488938
3,33400.0,0.032,4.58,7.0,6.06,3,22.2,18.7,2.94,10.416311,1.521699,5.4026775
4,36199.0,0.069,4.58,7.15,6.06,3,22.2,18.7,5.33,10.496787,1.521699,5.4026775
5,28701.0,0.03,4.58,6.43,6.06,3,22.2,18.7,5.21,10.264688,1.521699,5.4026775
6,22900.0,0.088,5.24,6.01,5.56,5,31.1,15.2,12.43,10.038892,1.6563214,5.739793
7,27100.0,0.145,5.24,6.17,5.95,5,31.1,15.2,19.15,10.207289,1.6563214,5.739793
8,16500.0,0.211,5.24,5.63,6.08,5,31.1,15.2,29.93,9.711116,1.6563214,5.739793
9,18900.0,0.17,5.24,6.0,6.59,5,31.1,15.2,17.1,9.846917,1.6563214,5.739793
10,15000.0,0.225,5.24,6.38,6.35,5,31.1,15.2,20.45,9.615806,1.6563214,5.739793
11,18900.0,0.117,5.24,6.01,6.23,5,31.1,15.2,13.27,9.846917,1.6563214,5.739793
12,21700.0,0.094,5.24,5.89,5.45,5,31.1,15.2,15.71,9.985067,1.6563214,5.739793
13,20400.0,0.63,5.38,5.95,4.71,4,30.7,21.0,8.26,9.92329,1.6826884,5.7268476
14,18200.0,0.638,5.38,6.1,4.46,4,30.7,21.0,10.26,9.809176,1.6826884,5.7268476
15,19900.0,0.627,5.38,5.83,4.5,4,30.7,21.0,8.47,9.898475,1.6826884,5.7268476
16,23100.0,1.054,5.38,5.93,4.5,4,30.7,21.0,6.58,10.047588,1.6826884,5.7268476
17,17500.0,0.784,5.38,5.99,4.26,4,30.7,21.0,14.67,9.769957,1.6826884,5.7268476
18,20200.0,0.803,5.38,5.46,3.8,4,30.7,21.0,11.69,9.913438,1.6826884,5.7268476
19,18200.0,0.726,5.38,5.73,3.8,4,30.7,21.0,11.28,9.809176,1.6826884,5.7268476
20,13600.0,1.252,5.38,5.57,3.8,4,30.7,21.0,21.02,9.517825,1.6826884,5.7268476
21,19600.0,0.852,5.38,5.96,4.01,4,30.7,21.0,13.83,9.883285,1.6826884,5.7268476
22,15200.0,1.232,5.38,6.14,3.98,4,30.7,21.0,18.72,9.62905,1.6826884,5.7268476
23,14500.0,0.988,5.38,5.81,4.1,4,30.7,21.0,19.88,9.581903,1.6826884,5.7268476
24,15600.0,0.75,5.38,5.92,4.4,4,30.7,21.0,16.3,9.655026,1.6826884,5.7268476
25,13900.0,0.841,5.38,5.6,4.45,4,30.7,21.0,16.51,9.539644,1.6826884,5.7268476
26,16600.0,0.672,5.38,5.81,4.68,4,30.7,21.0,14.81,9.717158,1.6826884,5.7268476
27,14800.0,0.956,5.38,6.05,4.45,4,30.7,21.0,17.28,9.602383,1.6826884,5.7268476
28,18400.0,0.773,5.38,6.49,4.45,4,30.7,21.0,12.8,9.820106,1.6826884,5.7268476
29,21000.0,1.002,5.38,6.67,4.23,4,30.7,21.0,11.98,9.952278,1.6826884,5.7268476
30,12700.0,1.131,5.38,5.69,4.23,4,30.7,21.0,22.6,9.449357,1.6826884,5.7268476
31,14500.0,1.355,5.38,6.07,4.17,4,30.7,21.0,13.04,9.581903,1.6826884,5.7268476
32,13200.0,1.388,5.38,5.95,3.99,4,30.7,21.0,27.71,9.487972,1.6826884,5.7268476
33,13100.0,1.152,5.38,5.7,3.79,4,30.7,21.0,18.35,9.480368,1.6826884,5.7268476
34,13500.0,1.613,5.38,6.1,3.76,4,30.7,21.0,20.34,9.510445,1.6826884,5.7268476
35,18900.0,0.064,4.99,5.93,3.36,5,27.9,19.2,9.68,9.846917,1.6074358,5.6312118
36,20000.0,0.097,4.99,5.84,3.38,5,27.9,19.2,11.41,9.903487,1.6074358,5.6312118
37,13668.0,0.08,4.99,5.85,3.93,5,27.9,19.2,8.77,9.522813,1.6074358,5.6312118
38,24701.0,0.175,4.99,5.97,3.85,5,27.9,19.2,10.13,10.114599,1.6074358,5.6312118
39,30801.0,0.028,4.28,6.59,5.4,3,25.2,18.3,4.32,10.335302,1.453953,5.529429
40,34899.0,0.034,4.28,7.02,5.4,3,25.2,18.3,1.98,10.460214,1.453953,5.529429
41,26601.0,0.127,4.48,6.77,5.72,3,23.3,17.9,4.84,10.1887045,1.4996231,5.4510384
42,25301.0,0.141,4.48,6.17,5.72,3,23.3,17.9,5.81,10.138599,1.4996231,5.4510384
43,24701.0,0.159,4.48,6.21,5.72,3,23.3,17.9,7.44,10.114599,1.4996231,5.4510384
44,21200.0,0.123,4.48,6.07,5.72,3,23.3,17.9,9.55,9.961757,1.4996231,5.4510384
45,19300.0,0.171,4.48,5.68,5.1,3,23.3,17.9,10.21,9.867861,1.4996231,5.4510384
46,20000.0,0.188,4.48,5.79,5.1,3,23.3,17.9,14.15,9.903487,1.4996231,5.4510384
47,16600.0,0.229,4.48,6.03,5.69,3,23.3,17.9,18.8,9.717158,1.4996231,5.4510384
48,14400.0,0.254,4.48,5.4,5.87,3,23.3,17.9,30.81,9.574984,1.4996231,5.4510384
49,19400.0,0.22,4.48,5.6,6.09,3,23.3,17.9,16.2,9.873029,1.4996231,5.4510384
50,19700.0,0.089,4.39,5.96,6.81,4,24.3,16.8,13.45,9.888374,1.4793292,5.4930615
51,20500.0,0.043,4.39,6.11,6.81,4,24.3,16.8,9.43,9.92818,1.4793292,5.4930615
52,22620.0,0.054,4.39,6.51,6.81,4,24.3,16.8,5.28,10.026589,1.4793292,5.4930615
53,23400.0,0.05,4.39,6.0,6.81,4,24.3,21.1,8.43,10.060492,1.4793292,5.4930615
54,18900.0,0.014,4.1,5.89,7.32,3,46.9,17.9,14.8,9.846917,1.4109869,6.150603
55,35401.0,0.013,4.03,7.25,8.7,5,22.6,17.3,4.81,10.474495,1.3937664,5.420535
