,year,inv,pop,price,linv,lpop,lprice,t,invpc,linvpc,lprice_1,linvpc_1,gprice,ginvpc
0,1947,54864.0,144126.0,0.819,10.912613,11.878443,-0.1996712,1,0.3806669,-0.9658305,,,,
1,1948,64717.0,146631.0,0.8649,11.077779,11.895675,-0.1451414,2,0.4413596,-0.8178953,-0.1996712,-0.9658305,0.0545298,0.14793521
2,1949,63150.0,149188.0,0.8456,11.053268,11.912963,-0.16770883,3,0.42329141,-0.8596944,-0.1451414,-0.8178953,-0.022567436,-0.041799128
3,1950,86014.0,151684.0,0.8765,11.362266,11.929555,-0.13181856,4,0.5670605,-0.56728935,-0.16770883,-0.8596944,0.035890266,0.29240507
4,1951,70610.0,154287.0,0.8819,11.1649275,11.946569,-0.12567659,5,0.45765358,-0.78164274,-0.13181856,-0.56728935,0.0061419755,-0.21435338
5,1952,68574.0,156954.0,0.8842,11.135669,11.963708,-0.12307202,6,0.4369051,-0.8280393,-0.12567659,-0.78164274,0.0026045665,-0.046396554
6,1953,70818.0,159565.0,0.8868,11.167869,11.9802065,-0.120135814,7,0.44381914,-0.8123382,-0.12307202,-0.8280393,0.0029362068,0.015701115
7,1954,78460.0,162391.0,0.8597,11.270344,11.997763,-0.15117176,8,0.48315486,-0.72741807,-0.120135814,-0.8123382,-0.031035945,0.08492011
8,1955,91204.0,165275.0,0.8708,11.420854,12.015366,-0.13834293,9,0.5518318,-0.59451205,-0.15117176,-0.72741807,0.012828827,0.13290602
9,1956,80383.0,168221.0,0.8829,11.294558,12.033034,-0.12454334,10,0.47784165,-0.73847586,-0.13834293,-0.59451205,0.013799593,-0.14396381
10,1957,74040.0,171274.0,0.8722,11.21236,12.05102,-0.13673651,11,0.43228978,-0.8386591,-0.12454334,-0.73847586,-0.012193173,-0.10018325
11,1958,74822.0,174141.0,0.8521,11.222867,12.06762,-0.16005138,12,0.42966333,-0.8447533,-0.13673651,-0.8386591,-0.023314863,-0.0060942173
12,1959,88936.0,177830.0,0.8647,11.395672,12.088583,-0.14537263,13,0.5001181,-0.692911,-0.16005138,-0.8447533,0.014678746,0.1518423
13,1960,83127.0,180671.0,0.862,11.328125,12.104433,-0.14850003,14,0.46010152,-0.7763081,-0.14537263,-0.692911,-0.003127396,-0.08339709
14,1961,83207.0,183691.0,0.8553,11.329086,12.12101,-0.15630299,15,0.45297265,-0.7919235,-0.14850003,-0.7763081,-0.0078029633,-0.015615404
15,1962,89121.0,186538.0,0.8593,11.39775,12.136391,-0.15163715,16,0.47776324,-0.73864,-0.15630299,-0.7919235,0.0046658367,0.053283513
16,1963,96778.0,189242.0,0.8656,11.480175,12.150782,-0.14433238,17,0.5113981,-0.670607,-0.15163715,-0.73864,0.0073047727,0.06803304
17,1964,94306.0,191889.0,0.8795,11.4543,12.164672,-0.12840174,18,0.49146122,-0.71037227,-0.14433238,-0.670607,0.015930638,-0.0397653
18,1965,100103.0,194303.0,0.8774,11.513955,12.177174,-0.1307923,19,0.5151902,-0.66321915,-0.12840174,-0.71037227,-0.0023905635,0.047153115
19,1966,92145.0,196560.0,0.8783,11.431119,12.188723,-0.12976705,20,0.46878815,-0.7576043,-0.1307923,-0.66321915,0.0010252595,-0.09438515
20,1967,91336.0,198712.0,0.8919,11.4223,12.199612,-0.11440126,21,0.4596401,-0.7773115,-0.12976705,-0.7576043,0.015365787,-0.019707203
21,1968,99617.0,200706.0,0.9036,11.5090885,12.209597,-0.10136852,22,0.49633294,-0.7005083,-0.11440126,-0.7773115,0.013032742,0.07680321
22,1969,102183.0,202677.0,0.9152,11.53452,12.219369,-0.08861266,23,0.5041667,-0.68484825,-0.10136852,-0.7005083,0.012755856,0.015660048
23,1970,96855.0,205052.0,0.8823,11.48097,12.231019,-0.12522313,24,0.4723436,-0.7500486,-0.08861266,-0.68484825,-0.03661047,-0.06520033
24,1971,124309.0,207191.0,0.8798,11.730526,12.241396,-0.12806064,25,0.59997296,-0.5108707,-0.12522313,-0.7500486,-0.002837509,0.23917788
25,1972,147269.0,209353.0,0.8874,11.900016,12.251777,-0.11945947,26,0.70344824,-0.35176098,-0.12806064,-0.5108707,0.008601166,0.15910971
26,1973,145286.0,211536.0,0.9057,11.886459,12.262151,-0.099047124,27,0.68681455,-0.37569097,-0.11945947,-0.35176098,0.020412348,-0.023929983
27,1974,112349.0,213743.0,0.9232,11.629365,12.27253,-0.07990937,28,0.5256266,-0.6431642,-0.099047124,-0.37569097,0.019137755,-0.26747325
28,1975,95170.0,215973.0,0.9147,11.46342,12.282908,-0.08915917,29,0.44065693,-0.81948864,-0.07990937,-0.6431642,-0.009249799,-0.17632443
29,1976,117727.0,218280.0,0.9199,11.676124,12.293534,-0.08349031,30,0.53933936,-0.6174103,-0.08915917,-0.81948864,0.005668856,0.20207834
30,1977,142412.0,220612.0,0.9604,11.86648,12.304161,-0.04040543,31,0.64553154,-0.43768123,-0.08349031,-0.6174103,0.043084882,0.17972907
31,1978,151261.0,222968.0,1.0061,11.926762,12.314783,0.0060815285,32,0.6783978,-0.38802147,-0.04040543,-0.43768123,0.04648696,0.04965976
32,1979,143049.0,225350.0,1.0356,11.870942,12.32541,0.03498092,33,0.6347859,-0.4544675,0.0060815285,-0.38802147,0.02889939,-0.066446036
33,1980,112310.0,227757.0,1.0432,11.629018,12.336035,0.042292926,34,0.49311328,-0.70701635,0.03498092,-0.4544675,0.0073120072,-0.25254884
34,1981,102714.0,230139.0,1.0282,11.539703,12.346438,0.02780973,35,0.44631287,-0.80673504,0.042292926,-0.70701635,-0.014483197,-0.09971869
35,1982,84676.0,232520.0,1.0,11.346587,12.356731,0.0,36,0.36416653,-1.010144,0.02780973,-0.80673504,-0.02780973,-0.20340896
36,1983,122819.0,234799.0,0.9836,11.718467,12.366485,-0.016535947,37,0.5230814,-0.6480181,0.0,-1.010144,-0.016535947,0.36212587
37,1984,145166.0,237001.0,0.9836,11.885633,12.375819,-0.016535947,38,0.6125122,-0.49018645,-0.016535947,-0.6480181,0.0,0.15783167
38,1985,146311.0,239279.0,0.976,11.89349,12.3853855,-0.024292681,39,0.6114661,-0.49189574,-0.016535947,-0.49018645,-0.0077567343,-0.0017092824
39,1986,168406.0,241625.0,0.976,12.034133,12.395143,-0.024292681,40,0.6969726,-0.36100918,-0.024292681,-0.49189574,0.0,0.13088655
40,1987,167459.0,243934.0,0.9892,12.028494,12.404653,-0.010858747,41,0.68649304,-0.3761592,-0.024292681,-0.36100918,0.013433934,-0.015150011
41,1988,165459.0,246329.0,0.9864,12.016479,12.414423,-0.013693319,42,0.6716992,-0.39794463,-0.010858747,-0.3761592,-0.0028345715,-0.021785438
