,wage,abil,educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18,lwage,expersq,ctuit
0,12.019231,5.027738,15,0,0,1,0,9,12,12,0,1,1,1,0,0,0,1,7.582914,7.2602425,2.486508,81,-0.3226714
1,8.912656,2.0371704,13,1,0,0,0,8,12,10,1,4,1,1,0,0,0,1,8.595144,9.4995365,2.1874723,64,0.90439224
2,15.514334,2.4758952,15,1,0,0,0,11,12,16,0,2,1,1,0,0,0,1,7.311346,7.311346,2.7417643,121,0.0
3,13.333333,3.6092398,15,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,9.4995365,10.16207,2.5902672,36,0.66253376
4,11.07011,2.636546,13,1,0,0,0,15,12,15,1,2,1,1,0,0,0,1,7.311346,7.311346,2.4042487,225,0.0
5,17.482517,3.4743342,18,1,0,0,0,8,12,12,0,2,1,1,0,0,0,1,7.311346,7.311346,2.8612013,64,0.0
6,21.097046,-1.7648079,13,1,0,0,0,13,13,12,0,5,1,1,0,0,0,1,7.3949065,7.3949065,3.049133,169,0.0
7,11.667099,-0.13359827,12,0,0,0,1,14,12,12,1,4,0,1,0,0,0,1,7.3949065,7.3949065,2.4567728,196,0.0
8,16.96113,2.072431,13,1,0,0,0,9,10,12,1,3,1,1,0,0,0,1,6.6411552,5.8513093,2.8309243,81,-0.78984594
9,11.538462,-0.33845973,12,1,0,0,0,9,14,12,0,1,1,1,0,0,0,1,5.8513093,6.053333,2.4456859,81,0.2020235
10,14.814815,1.3807098,12,1,0,0,0,13,9,10,1,2,1,1,0,0,0,1,7.3949065,7.3949065,2.6956277,169,0.0
11,20.699173,3.4127986,12,1,0,0,0,14,12,16,0,1,0,1,0,0,0,1,7.3949065,7.3949065,3.0300937,196,0.0
12,28.683693,4.3654957,17,0,0,1,0,4,17,16,0,1,1,1,0,0,0,1,5.8513093,6.053333,3.3563287,16,0.2020235
13,12.5,1.0904464,13,1,0,0,0,8,16,16,0,3,1,1,0,0,0,1,6.053333,6.125471,2.5257287,64,0.07213831
14,35.871155,5.082784,17,1,0,0,0,7,16,18,0,2,1,1,0,0,0,1,7.3949065,7.3949065,3.5799334,49,0.0
15,23.403217,2.1290543,16,1,0,0,0,10,5,4,0,2,1,1,0,0,0,1,7.3949065,7.3949065,3.1528735,100,0.0
16,16.641453,3.4697685,16,1,0,0,0,10,10,6,0,1,1,1,0,0,0,1,7.3949065,7.3949065,2.8118968,100,0.0
17,16.0451,4.268983,15,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,7.3949065,6.6411552,2.7754035,81,-0.7537513
18,12.019231,2.417693,15,1,0,0,0,8,11,9,0,2,1,1,0,0,0,1,6.6411552,5.8513093,2.486508,64,-0.78984594
19,8.534851,3.125001,20,1,0,0,0,6,11,8,0,2,1,0,0,0,1,1,7.3949065,7.3949065,2.144158,36,0.0
20,16.153847,4.2366443,14,1,0,0,0,11,10,12,0,2,0,1,0,0,0,1,7.582914,7.582914,2.7821581,121,0.0
21,14.460897,5.316357,15,1,0,0,0,8,16,12,0,2,1,1,0,0,0,1,6.6411552,5.8513093,2.6714482,64,-0.78984594
22,19.77612,2.6330404,13,1,0,0,0,13,14,15,0,7,1,1,0,0,0,1,7.3949065,7.3949065,2.9844751,169,0.0
23,13.994911,3.046665,16,1,0,0,0,8,13,14,0,3,1,0,0,0,1,1,7.3949065,7.3949065,2.6386938,64,0.0
24,17.924528,2.5708303,11,1,0,0,0,12,9,12,0,5,1,1,0,0,0,1,7.3949065,6.6411552,2.8861701,144,-0.7537513
25,11.057693,1.1122352,12,1,0,0,0,8,9,12,0,5,1,1,0,0,0,1,6.053333,6.125471,2.4031262,64,0.07213831
26,7.960199,1.0885288,11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,6.6411552,5.8513093,2.074454,121,-0.78984594
27,12.735849,3.5426402,12,1,0,0,0,10,12,12,1,2,1,1,0,0,0,1,5.8513093,6.053333,2.5444207,100,0.2020235
28,12.23092,-0.031696722,12,1,0,0,0,13,12,14,1,0,1,1,0,0,0,1,7.3949065,7.3949065,2.503967,169,0.0
29,19.74026,1.8908983,9,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,6.053333,6.125471,2.98266,144,0.07213831
30,23.68421,4.8026676,16,0,1,0,0,7,16,17,0,2,1,1,0,0,0,1,7.3949065,6.6411552,3.1648085,49,-0.7537513
31,17.821783,3.6462047,14,1,0,0,0,8,16,18,0,2,1,1,0,0,0,1,6.6411552,5.8513093,2.8804214,64,-0.78984594
32,11.344538,3.6096885,13,1,0,0,0,10,10,12,0,3,0,1,0,0,0,1,6.6411552,5.8513093,2.4287364,100,-0.78984594
33,13.129103,3.786006,15,0,0,1,0,8,13,12,0,0,1,0,0,0,1,1,15.008257,15.008257,2.5748312,64,0.0
34,15.699658,1.7596163,11,0,0,0,1,13,12,12,0,2,1,1,0,0,0,1,7.833584,7.833584,2.753639,169,0.0
35,7.591093,2.1050098,12,1,0,0,0,8,12,12,0,3,1,1,0,0,0,1,15.172539,15.137891,2.0269756,64,-0.03464794
36,11.387474,1.5486392,14,1,0,0,0,6,12,12,0,2,1,1,0,0,0,1,13.934644,15.172539,2.432514,36,1.237895
37,14.951627,2.9057336,18,1,0,0,0,3,16,17,0,2,1,1,0,0,0,1,14.462974,13.934644,2.7048202,9,-0.52832985
38,22.434368,2.492563,16,1,0,0,0,11,12,12,0,1,1,1,0,0,0,1,15.082261,15.082261,3.110594,121,0.0
39,15.577889,2.936283,14,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,13.934644,15.172539,2.7458525,36,1.237895
40,24.80916,4.1947117,17,0,0,1,0,8,10,16,0,1,1,1,0,0,0,1,15.082261,15.082261,3.2112129,64,0.0
41,13.126492,5.898935,17,1,0,0,0,3,20,16,0,1,1,1,0,0,0,1,13.934644,15.172539,2.5746324,9,1.237895
42,13.913043,2.8716104,16,1,0,0,0,5,16,17,0,1,1,1,0,0,0,1,14.462974,13.934644,2.6328268,25,-0.52832985
43,12.0,-0.7882329,12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.082261,15.082261,2.4849067,196,0.0
44,60.89457,3.2864616,15,1,0,0,0,12,13,20,0,1,1,1,0,0,0,1,15.082261,15.082261,4.109144,144,0.0
45,12.862596,3.2557979,14,0,0,1,0,10,16,16,0,1,1,1,0,0,0,0,15.082261,15.008257,2.5543234,100,-0.07400417
46,10.526316,-1.9259791,8,1,0,0,0,14,9,10,1,2,1,1,0,0,0,1,14.462974,13.934644,2.3538783,196,-0.52832985
