,year,infmort,afdcprt,popul,pcinc,physic,afdcper,d90,lpcinc,lphysic,DC,lpopul
0,1987,8.3,52,1186,13996,173,4.3844857,0,9.546527,5.1532917,0,7.0783415
1,1990,6.2,62,1228,17125,178,5.04886,1,9.748295,5.1817837,0,7.113142
2,1987,7.8,11,1056,18083,186,1.0416666,0,9.802728,5.2257466,0,6.9622436
3,1990,7.1,21,1109,21051,200,1.8935978,1,9.954703,5.2983174,0,7.011214
4,1987,8.5,20,547,14267,244,3.6563072,0,9.565704,5.497168,0,6.3044486
5,1990,6.4,25,563,17630,253,4.4404974,1,9.777357,5.5333896,0,6.3332796
6,1987,7.2,234,5856,19131,322,3.9959016,0,9.859065,5.7745514,0,8.675222
7,1990,7.0,282,6016,22558,337,4.6875,1,10.023845,5.820083,0,8.702178
8,1987,8.4,42,986,15683,244,4.259635,0,9.660333,5.497168,0,6.8936563
9,1990,8.1,52,1003,18771,254,5.184447,1,9.840069,5.5373344,0,6.910751
10,1987,8.8,107,3212,21258,293,3.3312578,0,9.964489,5.6801724,0,8.074649
11,1990,7.9,135,3287,25528,305,4.1070886,1,10.1475315,5.7203116,0,8.097731
12,1987,10.7,1019,17835,17943,307,5.713485,0,9.794955,5.7268476,0,9.7889185
13,1990,9.6,1031,17990,22068,315,5.730962,1,10.0018835,5.7525725,0,9.797571
14,1987,9.4,320,7674,20277,234,4.1699243,0,9.917242,5.4553213,0,8.945593
15,1990,9.0,323,7730,24977,246,4.1785254,1,10.1257105,5.5053315,0,8.952864
16,1987,10.4,539,11942,15198,227,4.5134816,0,9.628919,5.42495,0,9.387816
17,1990,9.6,549,11882,18725,235,4.6204343,1,9.837615,5.4595857,0,9.38278
18,1987,9.3,648,10816,14575,191,5.991124,0,9.587063,5.2522736,0,9.288782
19,1990,9.8,657,10847,17422,196,6.0569744,1,9.765489,5.278115,0,9.291644
20,1987,10.1,150,5530,13987,151,2.7124774,0,9.545883,5.0172796,0,8.617943
21,1990,9.6,164,5544,16814,157,2.958153,1,9.729967,5.056246,0,8.620472
22,1987,11.6,681,11584,16394,210,5.8787985,0,9.704671,5.3471074,0,9.35738
23,1990,10.7,656,11431,20327,212,5.7387805,1,9.919705,5.3565865,0,9.344084
24,1987,10.7,642,9205,15558,180,6.9744706,0,9.65233,5.192957,0,9.127502
25,1990,10.7,684,9295,18297,185,7.358795,1,9.814492,5.220356,0,9.137232
26,1987,8.6,271,4807,14674,181,5.637612,0,9.593833,5.198497,0,8.477828
27,1990,8.2,236,4892,17455,189,4.824203,1,9.767382,5.241747,0,8.495357
28,1987,8.7,161,4244,15789,212,3.793591,0,9.6670685,5.3565865,0,8.353262
29,1990,7.3,177,4375,18690,220,4.0457144,1,9.835744,5.3936276,0,8.383662
30,1987,9.1,104,2823,14028,145,3.684024,0,9.548811,4.9767337,0,7.945555
31,1990,8.1,96,2777,16848,151,3.456968,1,9.731987,5.0172796,0,7.9291263
32,1987,10.2,200,5107,14630,190,3.9161935,0,9.59083,5.247024,0,8.538367
33,1990,9.4,218,5117,17347,196,4.2603087,1,9.761175,5.278115,0,8.540323
34,1987,8.7,15,671,12825,167,2.2354693,0,9.459151,5.117994,0,6.508769
35,1990,8.0,16,639,15158,170,2.5039124,1,9.626284,5.1357985,0,6.4599047
36,1987,9.9,18,709,12414,138,2.5387871,0,9.42658,4.9272537,0,6.5638556
37,1990,10.1,19,696,15566,140,2.729885,1,9.652844,4.9416423,0,6.5453496
38,1987,8.6,43,1594,14100,168,2.697616,0,9.55393,5.123964,0,7.374002
39,1990,8.3,44,1578,17276,172,2.7883396,1,9.757073,5.1474943,0,7.3639135
40,1987,9.5,67,2475,15089,169,2.7070706,0,9.621721,5.1298985,0,7.813996
41,1990,8.4,77,2478,17768,175,3.1073446,1,9.785154,5.164786,0,7.815207
42,1987,11.7,20,648,16305,191,3.0864198,0,9.699227,5.2522736,0,6.473891
43,1990,10.1,22,666,20709,199,3.3033032,1,9.938324,5.293305,0,6.50129
44,1987,11.5,176,4536,18217,325,3.8800704,0,9.81011,5.7838254,0,8.419801
45,1990,9.5,198,4781,21915,334,4.141393,1,9.994926,5.811141,0,8.472405
46,1987,19.3,50,621,19543,591,8.05153,0,9.880372,6.381816,1,6.431331
47,1990,20.7,54,607,23885,615,8.896211,1,10.081006,6.4216223,1,6.408529
48,1987,10.2,145,5914,16539,204,2.4518092,0,9.713476,5.31812,0,8.685078
