,year,i3,inf,rec,out,def,i3_1,inf_1,def_1,ci3,cinf,cdef,y77
0,1948,1.04,8.1,16.2,11.6,-4.6000004,,,,,,,0
1,1949,1.1,-1.2,14.5,14.3,-0.19999981,1.04,8.1,-4.6000004,0.060000062,-9.3,4.4000006,0
2,1950,1.22,1.3,14.4,15.6,1.2000008,1.1,-1.2,-0.19999981,0.120000005,2.5,1.4000006,0
3,1951,1.55,7.9,16.1,14.2,-1.9000006,1.22,1.3,1.2000008,0.32999992,6.6000004,-3.1000013,0
4,1952,1.77,1.9,19.0,19.4,0.39999962,1.55,7.9,-1.9000006,0.22000003,-6.0,2.3000002,0
5,1953,1.93,0.8,18.7,20.4,1.6999989,1.77,1.9,0.39999962,0.15999997,-1.0999999,1.2999992,0
6,1954,0.95,0.7,18.5,18.8,0.29999924,1.93,0.8,1.6999989,-0.97999996,-0.100000024,-1.3999996,0
7,1955,1.75,-0.4,16.5,17.3,0.79999924,0.95,0.7,0.29999924,0.8,-1.1,0.5,0
8,1956,2.66,1.5,17.5,16.5,-1.0,1.75,-0.4,0.79999924,0.9100001,1.9,-1.7999992,0
9,1957,3.27,3.3,17.7,17.0,-0.70000076,2.66,1.5,-1.0,0.6099999,1.8,0.29999924,0
10,1958,1.84,2.8,17.3,17.9,0.6000004,3.27,3.3,-0.70000076,-1.43,-0.5,1.3000011,0
11,1959,3.41,0.7,16.2,18.8,2.5999985,1.84,2.8,0.6000004,1.57,-2.1,1.9999981,0
12,1960,2.93,1.7,17.8,17.8,0.0,3.41,0.7,2.5999985,-0.48000002,1.0,-2.5999985,0
13,1961,2.38,1.0,17.8,18.4,0.6000004,2.93,1.7,0.0,-0.54999995,-0.70000005,0.6000004,0
14,1962,2.78,1.0,17.6,18.8,1.1999989,2.38,1.0,0.6000004,0.39999986,0.0,0.5999985,0
15,1963,3.16,1.3,17.8,18.6,0.80000114,2.78,1.0,1.1999989,0.3800001,0.29999995,-0.3999977,0
16,1964,3.55,1.3,17.6,18.5,0.8999996,3.16,1.3,0.80000114,0.38999987,0.0,0.099998474,0
17,1965,3.95,1.6,17.0,17.2,0.20000076,3.55,1.3,0.8999996,0.4000001,0.30000007,-0.69999886,0
18,1966,4.88,2.9,17.3,17.8,0.5,3.95,1.6,0.20000076,0.93000007,1.3000001,0.29999924,0
19,1967,4.32,3.1,18.4,19.4,1.0,4.88,2.9,0.5,-0.55999994,0.19999981,0.5,0
20,1968,5.34,4.2,17.6,20.5,2.8999996,4.32,3.1,1.0,1.02,1.0999999,1.8999996,0
21,1969,6.68,5.5,19.7,19.4,-0.30000114,5.34,4.2,2.8999996,1.3399997,1.3000002,-3.2000008,0
22,1970,6.46,5.7,19.0,19.3,0.29999924,6.68,5.5,-0.30000114,-0.21999979,0.19999981,0.6000004,0
23,1971,4.35,4.4,17.3,19.5,2.2000008,6.46,5.7,0.29999924,-2.1100001,-1.2999997,1.9000015,0
24,1972,4.07,3.2,17.6,19.6,2.0,4.35,4.4,2.2000008,-0.27999973,-1.2,-0.20000076,0
25,1973,7.04,6.2,17.6,18.7,1.1000004,4.07,3.2,2.0,2.9699998,2.9999998,-0.8999996,0
26,1974,7.89,11.0,18.3,18.7,0.40000153,7.04,6.2,1.1000004,0.8499999,4.8,-0.69999886,0
27,1975,5.84,9.1,17.9,21.3,3.3999996,7.89,11.0,0.40000153,-2.0499997,-1.8999996,2.999998,0
28,1976,4.99,5.8,17.1,21.4,4.299999,5.84,9.1,3.3999996,-0.8500004,-3.3000002,0.8999996,0
