,r3,r6,r12,p3,p6,hy6,hy3,spr63,hy3_1,hy6_1,spr63_1,hy6hy3_1,cr3,r3_1,chy6,chy3,chy6_1,chy3_1,cr6,cr6_1,cr3_1,r6_1,cspr63
0,2.77,3.02,3.32,9931.413,9851.647,,0.6906027,0.25,,,,,,,,,,,,,,,
1,2.97,3.43,3.67,9926.498,9831.846,0.75977737,0.74046576,0.46000004,0.6906027,,0.25,0.06917465,0.20000005,2.77,,0.04986304,,,0.4100001,,,3.02,0.21000004
2,4.0,4.32,4.41,9901.259,9789.134,0.7060026,0.9972603,0.32000017,0.74046576,0.75977737,0.46000004,-0.034463167,1.03,2.97,-0.053774774,0.2567945,,0.04986304,0.8900001,0.4100001,0.20000005,3.43,-0.13999987
3,4.6,4.68,4.75,9886.615,9771.963,0.9958128,1.1468493,0.07999992,0.9972603,0.7060026,0.32000017,-0.0014474988,0.5999999,4.0,0.28981018,0.149589,-0.053774774,0.2567945,0.35999966,0.8900001,1.03,4.32,-0.24000025
4,4.16,4.33,4.38,9897.35,9788.656,1.2831273,1.0371506,0.17000008,1.1468493,0.9958128,0.07999992,0.13627803,-0.44000006,4.6,0.28731453,-0.10969865,0.28981018,0.149589,-0.3499999,0.35999966,0.5999999,4.68,0.09000015
5,3.07,3.5,3.82,9924.042,9828.473,1.3830881,0.76539725,0.43000007,1.0371506,1.2831273,0.17000008,0.3459375,-1.0899999,4.16,0.099960804,-0.27175337,0.28731453,-0.10969865,-0.8299999,-0.3499999,-0.44000006,4.33,0.26
6,2.6,2.84,2.95,9935.596,9860.366,1.0899256,0.64821917,0.24000001,0.76539725,1.3830881,0.43000007,0.3245284,-0.47000003,3.07,-0.29316247,-0.11717808,0.099960804,-0.27175337,-0.6600001,-0.8299999,-1.0899999,3.5,-0.19000006
7,2.34,2.67,2.99,9941.999,9868.615,0.82788825,0.5833972,0.33000016,0.64821917,1.0899256,0.24000001,0.17966908,-0.26,2.6,-0.2620374,-0.06482196,-0.29316247,-0.11717808,-0.16999984,-0.6600001,-0.47000003,2.84,0.09000015
8,2.61,2.77,2.93,9935.35,9863.761,0.67622834,0.6507123,0.16000009,0.5833972,0.82788825,0.33000016,0.092831135,0.26999998,2.34,-0.1516599,0.0673151,-0.2620374,-0.06482196,0.099999905,-0.16999984,-0.26,2.67,-0.17000008
9,2.37,2.56,2.94,9941.26,9873.96,0.7856945,0.5908767,0.19000006,0.6507123,0.67622834,0.16000009,0.13498217,-0.24000001,2.61,0.109466136,-0.059835613,-0.1516599,0.0673151,-0.21000004,0.099999905,0.26999998,2.77,0.029999971
10,2.19,2.63,3.0,9945.696,9870.558,0.72652036,0.546,0.44000006,0.5908767,0.7856945,0.19000006,0.13564366,-0.17999983,2.37,-0.05917412,-0.044876695,0.109466136,-0.059835613,0.07000017,-0.21000004,-0.24000001,2.56,0.25
11,2.49,2.76,3.0,9938.304,9864.246,0.68634516,0.62079453,0.26999998,0.546,0.72652036,0.44000006,0.14034516,0.29999995,2.19,-0.0401752,0.07479453,-0.05917412,-0.044876695,0.12999988,0.07000017,-0.17999983,2.63,-0.17000008
12,2.71,2.89,3.08,9932.889,9857.943,0.69587255,0.67564386,0.18000007,0.62079453,0.68634516,0.26999998,0.07507801,0.22000003,2.49,0.009527385,0.054849327,-0.0401752,0.07479453,0.13000011,0.12999988,0.29999995,2.76,-0.089999914
13,2.72,2.78,2.93,9932.644,9863.276,0.75776654,0.678137,0.059999943,0.67564386,0.69587255,0.18000007,0.08212268,0.00999999,2.71,0.061894,0.002493143,0.009527385,0.054849327,-0.11000013,0.13000011,0.22000003,2.89,-0.120000124
14,2.87,2.96,3.05,9928.955,9854.552,0.6658914,0.7155342,0.09000015,0.678137,0.75776654,0.059999943,-0.012245595,0.14999986,2.72,-0.091875136,0.037397206,0.061894,0.002493143,0.18000007,-0.11000013,0.00999999,2.78,0.03000021
15,2.87,2.92,3.0,9928.955,9856.489,0.7550148,0.7155342,0.05000019,0.7155342,0.6658914,0.09000015,0.039480567,0.0,2.87,0.08912337,0.0,-0.091875136,0.037397206,-0.03999996,0.18000007,0.14999986,2.96,-0.03999996
16,2.91,2.95,2.99,9927.972,9855.036,0.72523206,0.72550684,0.03999996,0.7155342,0.7550148,0.05000019,0.0096978545,0.0400002,2.87,-0.029782712,0.009972632,0.08912337,0.0,0.029999971,-0.03999996,0.0,2.92,-0.010000229
17,3.06,3.1,3.15,9924.287,9847.777,0.7026963,0.7629041,0.03999996,0.72550684,0.72523206,0.03999996,-0.022810519,0.14999986,2.91,-0.022535741,0.037397265,-0.029782712,0.009972632,0.14999986,0.029999971,0.0400002,2.95,0.0
18,3.34,3.46,3.57,9917.416,9830.4,0.7071512,0.8327123,0.120000124,0.7629041,0.7026963,0.03999996,-0.055752933,0.27999997,3.06,0.004454851,0.069808185,-0.022535741,0.037397265,0.36000013,0.14999986,0.14999986,3.1,0.08000016
19,3.58,3.62,3.68,9911.535,9822.696,0.82534546,0.8925479,0.03999996,0.8327123,0.7071512,0.120000124,-0.007366836,0.24000001,3.34,0.11819428,0.059835613,0.004454851,0.069808185,0.15999985,0.36000013,0.27999997,3.46,-0.08000016
20,3.64,3.75,3.82,9910.065,9816.446,0.8894619,0.9075069,0.109999895,0.8925479,0.82534546,0.03999996,-0.0030860305,0.06000018,3.58,0.06411642,0.014958978,0.11819428,0.059835613,0.13000011,0.15999985,0.24000001,3.62,0.06999993
21,3.51,3.65,3.77,9913.25,9821.253,0.98613805,0.8750959,0.1400001,0.9075069,0.8894619,0.109999895,0.07863116,-0.13000011,3.64,0.09667617,-0.03241098,0.06411642,0.014958978,-0.099999905,0.13000011,0.06000018,3.75,0.03000021
22,3.54,3.62,3.72,9912.515,9822.696,0.9292268,0.88257533,0.07999992,0.8750959,0.98613805,0.1400001,0.05413091,0.029999971,3.51,-0.05691123,0.0074794292,0.09667617,-0.03241098,-0.03000021,-0.099999905,-0.13000011,3.65,-0.06000018
23,3.88,3.98,4.03,9904.192,9805.407,0.8296713,0.9673425,0.099999905,0.88257533,0.9292268,0.07999992,-0.05290401,0.34000015,3.54,-0.09955549,0.08476716,-0.05691123,0.0074794292,0.36000013,-0.03000021,0.029999971,3.62,0.01999998
24,4.02,4.03,4.04,9900.77,9803.011,0.9725481,1.0022466,0.010000229,0.9673425,0.8296713,0.099999905,0.0052056313,0.13999987,3.88,0.1428768,0.034904122,-0.09955549,0.08476716,0.05000019,0.36000013,0.34000015,3.98,-0.089999676
25,3.9,3.96,4.0,9903.703,9806.366,1.0271578,0.9723288,0.059999943,1.0022466,0.9725481,0.010000229,0.024911165,-0.119999886,4.02,0.054609656,-0.029917836,0.1428768,0.034904122,-0.07000017,0.05000019,0.13999987,4.03,0.049999714
26,3.97,4.0,4.03,9901.992,9804.448,0.9751418,0.98978084,0.029999971,0.9723288,1.0271578,0.059999943,0.0028130412,0.06999993,3.9,-0.05201596,0.017452061,0.054609656,-0.029917836,0.03999996,-0.07000017,-0.119999886,3.96,-0.029999971
27,4.2,4.3,4.36,9896.373,9790.09,0.9375826,1.0471232,0.10000038,0.98978084,0.9751418,0.029999971,-0.05219823,0.22999978,3.97,-0.03755921,0.05734235,-0.05201596,0.017452061,0.3000002,0.03999996,0.06999993,4.0,0.07000041
28,4.76,4.85,4.91,9882.718,9763.875,0.94613975,1.1867398,0.089999676,1.0471232,0.9375826,0.10000038,-0.10098344,0.5600004,4.2,0.008557141,0.13961661,-0.03755921,0.05734235,0.5499997,0.3000002,0.22999978,4.3,-0.010000706
29,4.74,4.84,4.97,9883.205,9764.351,1.222159,1.1817534,0.10000038,1.1867398,0.94613975,0.089999676,0.035419226,-0.020000458,4.76,0.27601928,-0.0049864054,0.008557141,0.13961661,-0.009999752,0.5499997,0.5600004,4.85,0.010000706
30,5.19,5.68,5.93,9872.259,9724.579,1.1051242,1.2939452,0.48999977,1.1817534,1.222159,0.10000038,-0.07662916,0.4500003,4.74,-0.11703479,0.1121918,0.27601928,-0.0049864054,0.8399997,-0.009999752,-0.020000458,4.84,0.3899994
31,5.28,5.35,5.41,9870.072,9740.164,1.4961385,1.3163836,0.069999695,1.2939452,1.1051242,0.48999977,0.20219326,0.09000015,5.19,0.39101422,0.022438407,-0.11703479,0.1121918,-0.32999992,0.8399997,0.4500003,5.68,-0.42000008
32,4.6,4.65,4.68,9886.615,9773.392,1.5035801,1.1468493,0.05000019,1.3163836,1.4961385,0.069999695,0.1871965,-0.6800003,5.28,0.00744164,-0.16953433,0.39101422,0.022438407,-0.6999998,-0.32999992,0.09000015,5.35,-0.019999504
33,3.54,3.85,4.08,9912.515,9811.644,1.4234879,0.88257533,0.30999994,1.1468493,1.5035801,0.05000019,0.27663863,-1.06,4.6,-0.08009219,-0.26427394,0.00744164,-0.16953433,-0.8000002,-0.6999998,-0.6800003,4.65,0.25999975
34,4.46,4.9,5.08,9890.028,9761.498,0.79889536,1.1119453,0.44000006,0.88257533,1.4234879,0.30999994,-0.083679974,0.9200001,3.54,-0.62459254,0.22936994,-0.08009219,-0.26427394,1.0500002,-0.8000002,-1.06,3.85,0.13000011
35,5.05,5.52,5.58,9875.661,9732.129,1.1695242,1.2590412,0.4699998,1.1119453,0.79889536,0.44000006,0.05757892,0.59000015,4.46,0.37062883,0.14709592,-0.62459254,0.22936994,0.6199999,1.0500002,0.9200001,4.9,0.029999733
36,5.13,5.3,5.44,9873.717,9742.53,1.4548501,1.2789863,0.17000008,1.2590412,1.1695242,0.4699998,0.19580889,0.07999992,5.05,0.28532588,0.019945145,0.37062883,0.14709592,-0.21999979,0.6199999,0.59000015,5.52,-0.2999997
