,year,i3,inf,inven,gdp,r3,cinven,cgdp,cr3,ci3,cinf,ginven,ggdp
0,1959,3.41,0.7,401.4,2212.3,2.71,,,,,,,
1,1960,2.93,1.7,412.0,2261.7,1.23,10.600006,49.399902,-1.48,-0.48000002,1.0,0.026064929,0.022084001
2,1961,2.38,1.0,420.9,2309.8,1.3800001,8.899994,48.100098,0.1500001,-0.54999995,-0.70000005,0.021371912,0.021044241
3,1962,2.78,1.0,440.9,2449.1,1.78,20.0,139.30005,0.39999986,0.39999986,0.0,0.046422817,0.05855969
4,1963,3.16,1.3,459.0,2554.0,1.8600001,18.100006,104.8999,0.08000016,0.3800001,0.29999995,0.040232133,0.041940108
5,1964,3.55,1.3,474.7,2702.9,2.25,15.700012,148.8999,0.38999987,0.38999987,0.0,0.03363284,0.056664478
6,1965,3.95,1.6,504.8,2874.8,2.35,30.099976,171.90015,0.099999905,0.4000001,0.30000007,0.061479237,0.06165789
7,1966,4.88,2.9,547.2,3060.2,1.98,42.400024,185.3999,-0.3699999,0.93000007,1.3000001,0.0806521,0.062497135
8,1967,4.32,3.1,579.2,3140.2,1.2200003,32.0,80.0,-0.75999975,-0.55999994,0.19999981,0.056833472,0.025806218
9,1968,5.34,4.2,606.1,3288.6,1.1400003,26.899963,148.40015,-0.07999992,1.02,1.0999999,0.045397088,0.046175495
10,1969,6.68,5.5,633.3,3388.0,1.1799998,27.200012,99.3999,0.039999485,1.3399997,1.3000002,0.043899275,0.029777804
11,1970,6.46,5.7,639.0,3388.2,0.7600002,5.700012,0.19995117,-0.4199996,-0.21999979,0.19999981,0.00896023,5.9015725e-05
12,1971,4.35,4.4,661.7,3500.1,-0.05000019,22.700012,111.90015,-0.8100004,-2.1100001,-1.2999997,0.034907844,0.032492775
13,1972,4.07,3.2,686.9,3690.3,0.8700001,25.200012,190.19995,0.9200003,-0.27999973,-1.2,0.037376456,0.052916203
14,1973,7.04,6.2,725.9,3902.3,0.84000015,39.0,212.0,-0.029999971,2.9699998,2.9999998,0.05522354,0.055858366
15,1974,7.89,11.0,749.8,3888.2,-3.1100001,23.899963,-14.100098,-3.9500003,0.8499999,4.8,0.03239419,-0.0036198224
16,1975,5.84,9.1,738.8,3865.1,-3.2600002,-11.0,-23.099854,-0.1500001,-2.0499997,-1.8999996,-0.014779257,-0.0059587327
17,1976,4.99,5.8,767.8,4081.1,-0.8100004,29.0,216.0,2.4499998,-0.8500004,-3.3000002,0.038502034,0.054379005
18,1977,5.27,6.5,805.8,4279.3,-1.23,38.0,198.1997,-0.4199996,0.2800002,0.6999998,0.04830629,0.047422815
19,1978,7.22,7.6,848.1,4493.7,-0.3800001,42.299988,214.40039,0.8499999,1.9499998,1.0999999,0.051162966,0.04888706
20,1979,10.04,11.3,871.2,4624.0,-1.2600002,23.100037,130.2998,-0.8800001,2.8200002,3.7000003,0.026873061,0.028583672
21,1980,11.51,13.5,861.2,4611.9,-1.9899998,-10.0,-12.100098,-0.72999954,1.4700003,2.1999998,-0.011544806,-0.002620233
22,1981,14.03,10.3,894.3,4724.9,3.7299995,33.099976,113.0,5.7199993,2.5199995,-3.1999998,0.037714496,0.024206478
23,1982,10.69,6.2,878.7,4623.6,4.49,-15.599976,-101.299805,0.7600002,-3.3400002,-4.1000004,-0.01759772,-0.021672733
24,1983,8.63,3.2,872.8,4810.0,5.4300003,-5.9000244,186.3999,0.94000053,-2.0599995,-2.9999998,-0.006737136,0.03952344
25,1984,9.58,4.3,947.6,5138.2,5.2799997,74.79999,328.2002,-0.15000057,0.9499998,1.1000001,0.08222602,0.066005774
26,1985,7.48,3.6,977.4,5329.5,3.88,29.800049,191.2998,-1.3999996,-2.1,-0.7000003,0.030963562,0.036554564
27,1986,5.98,1.9,988.3,5489.9,4.08,10.899963,160.3999,0.19999981,-1.5,-1.6999999,0.011090273,0.029652597
28,1987,5.82,3.6,1014.5,5648.4,2.2200003,26.200012,158.5,-1.8599997,-0.15999985,1.6999999,0.026164876,0.02846228
29,1988,6.69,4.1,1026.2,5862.9,2.5900002,11.699951,214.5,0.3699999,0.8699999,0.5,0.011466731,0.037272044
30,1989,8.12,4.8,1059.5,6060.4,3.3199997,33.30005,197.5,0.72999954,1.4299998,0.7000003,0.03193449,0.033131443
31,1990,7.51,5.4,1069.9,6138.7,2.1100001,10.400024,78.30029,-1.2099996,-0.60999966,0.5999999,0.009768111,0.012837237
32,1991,5.42,4.2,1066.9,6079.0,1.2200003,-3.0,-59.700195,-0.88999987,-2.0900002,-1.2000003,-0.002807939,-0.009772817
33,1992,3.45,3.0,1074.2,6244.4,0.45000005,7.2999268,165.3999,-0.7700002,-1.97,-1.1999998,0.006818883,0.026844837
34,1993,3.02,3.0,1093.2,6386.4,0.01999998,19.0,142.0,-0.43000007,-0.43000007,0.0,0.017532978,0.022485668
35,1994,4.29,2.6,1152.1,6608.7,1.69,58.900024,222.3003,1.6700001,1.27,-0.4000001,0.05247721,0.034216277
36,1995,5.51,2.8,1185.3,6742.9,2.7100003,33.200073,134.1997,1.0200002,1.2200003,0.20000005,0.028409606,0.020103093
