,year,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
0,1997,1,528,152,106,0.8386,6.2690964,0,0,0,4.6634393,39.30157,0.8386,5.0238805
1,1998,1,528,265,106,0.8133,6.2690964,1,0,0,4.6634393,39.30157,0.8133,5.57973
2,1999,1,528,336,113,0.8262,6.2690964,0,1,0,4.727388,39.30157,0.8262,5.817111
3,2000,1,528,298,123,0.86120003,6.2690964,0,0,1,4.8121843,39.30157,0.86120003,5.6970935
4,1997,2,861,282,104,0.5798,6.7580943,0,0,0,4.644391,45.671837,0.5798,5.641907
5,1998,2,861,178,105,0.58169997,6.7580943,1,0,0,4.65396,45.671837,0.58169997,5.1817837
6,1999,2,861,204,115,0.73190004,6.7580943,0,1,0,4.744932,45.671837,0.73190004,5.31812
7,2000,2,861,190,129,0.5386,6.7580943,0,0,1,4.8598123,45.671837,0.5386,5.247024
8,1997,3,852,241,207,0.818,6.7475867,0,0,0,5.332719,45.529926,0.818,5.484797
9,1998,3,852,253,188,0.8172,6.7475867,1,0,0,5.236442,45.529926,0.8172,5.5333896
10,1999,3,852,244,229,0.79980004,6.7475867,0,1,0,5.433722,45.529926,0.79980004,5.497168
11,2000,3,852,244,247,0.7097,6.7475867,0,0,1,5.5093884,45.529926,0.7097,5.497168
12,1997,4,724,233,243,0.46040002,6.584791,0,0,0,5.4930615,43.359474,0.46040002,5.4510384
13,1998,4,724,248,226,0.4614,6.584791,1,0,0,5.420535,43.359474,0.4614,5.5134287
14,1999,4,724,224,229,0.4334,6.584791,0,1,0,5.433722,43.359474,0.4334,5.411646
15,2000,4,724,339,176,0.3716,6.584791,0,0,1,5.170484,43.359474,0.3716,5.826
16,1997,5,1073,396,119,0.4571,6.978214,0,0,0,4.7791233,48.69547,0.4571,5.9814143
17,1998,5,1073,529,105,0.5632,6.978214,1,0,0,4.65396,48.69547,0.5632,6.2709885
18,1999,5,1073,494,121,0.5008,6.978214,0,1,0,4.7957907,48.69547,0.5008,6.2025356
19,2000,5,1073,710,109,0.5197,6.978214,0,0,1,4.691348,48.69547,0.5197,6.565265
20,1997,6,318,237,181,0.91,5.7620516,0,0,0,5.198497,33.201237,0.91,5.46806
21,1998,6,318,213,197,0.90680003,5.7620516,1,0,0,5.2832036,33.201237,0.90680003,5.3612924
22,1999,6,318,209,190,0.9286,5.7620516,0,1,0,5.247024,33.201237,0.9286,5.3423343
23,2000,6,318,163,171,0.96930003,5.7620516,0,0,1,5.1416636,33.201237,0.96930003,5.09375
24,1997,7,1270,168,200,0.6695,7.1467724,0,0,0,5.2983174,51.076355,0.6695,5.123964
25,1998,7,1270,185,218,0.7082,7.1467724,1,0,0,5.3844953,51.076355,0.7082,5.220356
26,1999,7,1270,178,229,0.6714,7.1467724,0,1,0,5.433722,51.076355,0.6714,5.1817837
27,2000,7,1270,197,220,0.62310004,7.1467724,0,0,1,5.3936276,51.076355,0.62310004,5.2832036
28,1997,8,614,173,134,0.59790003,6.419995,0,0,0,4.89784,41.216335,0.59790003,5.1532917
29,1998,8,614,157,153,0.635,6.419995,1,0,0,5.030438,41.216335,0.635,5.056246
30,1999,8,614,176,145,0.55990005,6.419995,0,1,0,4.9767337,41.216335,0.55990005,5.170484
31,2000,8,614,192,161,0.64199996,6.419995,0,0,1,5.081404,41.216335,0.64199996,5.2574954
32,1997,9,1673,200,149,0.2013,7.422374,0,0,0,5.0039463,55.091633,0.2013,5.2983174
33,1998,9,1673,194,155,0.20639999,7.422374,1,0,0,5.043425,55.091633,0.20639999,5.267858
34,1999,9,1673,214,162,0.2197,7.422374,0,1,0,5.0875964,55.091633,0.2197,5.365976
35,2000,9,1673,310,152,0.2847,7.422374,0,0,1,5.0238805,55.091633,0.2847,5.7365723
36,1997,10,1976,171,271,0.24430001,7.58883,0,0,0,5.602119,57.59034,0.24430001,5.1416636
37,1998,10,1976,155,242,0.2568,7.58883,1,0,0,5.488938,57.59034,0.2568,5.043425
38,1999,10,1976,173,221,0.2845,7.58883,0,1,0,5.398163,57.59034,0.2845,5.1532917
39,2000,10,1976,187,214,0.3001,7.58883,0,0,1,5.365976,57.59034,0.3001,5.2311087
40,1997,11,1118,364,181,0.45220003,7.0192966,0,0,0,5.198497,49.270527,0.45220003,5.897154
41,1998,11,1118,374,182,0.4882,7.0192966,1,0,0,5.2040067,49.270527,0.4882,5.924256
42,1999,11,1118,368,183,0.4113,7.0192966,0,1,0,5.209486,49.270527,0.4113,5.908083
43,2000,11,1118,383,188,0.48470002,7.0192966,0,0,1,5.236442,49.270527,0.48470002,5.948035
44,1997,12,580,1244,97,0.6729,6.363028,0,0,0,4.574711,40.488125,0.6729,7.126087
45,1998,12,580,962,109,0.65300006,6.363028,1,0,0,4.691348,40.488125,0.65300006,6.8690143
46,1999,12,580,980,110,0.6653,6.363028,0,1,0,4.7004805,40.488125,0.6653,6.8875527
47,2000,12,580,954,117,0.6883,6.363028,0,0,1,4.762174,40.488125,0.6883,6.860664
48,1997,13,349,400,136,0.8253,5.855072,0,0,0,4.912655,34.281868,0.8253,5.9914646
49,1998,13,349,353,186,0.7903,5.855072,1,0,0,5.2257466,34.281868,0.7903,5.866468
50,1999,13,349,349,184,0.7999,5.855072,0,1,0,5.214936,34.281868,0.7999,5.855072
51,2000,13,349,319,198,0.71919996,5.855072,0,0,1,5.288267,34.281868,0.71919996,5.765191
