,psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,psoda2,pfries2,pentree2,wagest2,nmgrs2,nregs2,hrsopen2,emp2,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,lpsoda,lpfries,lhseval,lincome,ldensity,NJ,BK,KFC,RR
0,1.12,1.06,1.02,4.25,3.0,5.0,16.0,27.5,1.11,1.11,1.05,5.05,5.0,5.0,15.0,27.0,1,3,4030.0,0.0528866,1,0.1711542,0.0365789,0.0788428,148300.0,3,44534.0,18,0.11332869,0.058268853,11.906993,10.704008,8.301521,1,0,0,1
1,1.06,0.91,0.95,4.75,3.0,3.0,16.5,21.5,1.05,0.89,0.95,5.05,4.0,3.0,17.5,24.5,0,1,4030.0,0.0528866,1,0.1711542,0.0365789,0.0788428,148300.0,3,44534.0,18,0.058268853,-0.09431065,11.906993,10.704008,8.301521,1,1,0,0
2,1.06,0.91,0.98,4.25,3.0,5.0,18.0,30.0,1.05,0.94,0.98,5.05,4.0,5.0,17.5,25.0,0,1,11400.0,0.0360003,1,0.0473602,0.0879072,0.2694298,169200.0,3,41164.0,12,0.058268853,-0.09431065,12.0388365,10.6253195,9.341369,1,1,0,0
3,1.12,1.02,1.06,5.0,4.0,5.0,16.0,27.5,1.15,1.05,1.05,5.05,4.0,5.0,16.0,,0,3,8345.0,0.0484232,1,0.0528394,0.0591227,0.1366903,171600.0,3,50366.0,10,0.11332869,0.01980261,12.052921,10.827071,9.029418,1,0,0,1
4,1.12,,0.49,5.0,3.0,3.0,16.0,5.0,1.04,1.01,0.58,5.05,3.0,3.0,16.0,12.0,0,1,720.0,0.061589,1,0.03448,0.0254145,0.073802,249100.0,1,72287.0,10,0.11332869,,12.42561,11.188399,6.5792513,1,1,0,0
5,1.06,0.95,1.01,4.25,4.0,4.0,15.0,17.5,1.05,0.94,1.0,5.05,3.0,4.0,15.0,28.0,0,1,4424.0,0.0334823,1,0.0591327,0.0835001,0.1151341,148000.0,2,44515.0,18,0.058268853,-0.051293306,11.904967,10.703582,8.394799,1,1,0,0
6,1.17,0.95,0.95,4.65,3.0,2.0,16.0,22.5,1.05,0.94,0.94,5.05,3.0,2.0,16.0,18.5,0,1,2678.0,0.0310296,1,0.0186773,0.0292349,0.0501854,212700.0,1,62056.0,10,0.15700372,-0.051293306,12.267638,11.035792,7.8928256,1,1,0,0
7,1.17,1.02,1.06,4.5,3.0,5.0,17.0,18.5,1.11,1.06,1.05,5.05,3.0,5.0,16.0,17.0,1,3,6405.0,0.0419001,1,0.004906,0.0337599,0.0827105,198800.0,1,53655.0,24,0.15700372,0.01980261,12.200054,10.89033,8.764834,1,0,0,1
8,1.18,1.02,1.06,,4.0,4.0,17.0,17.0,1.1,1.01,0.99,5.05,4.0,4.0,18.0,34.0,0,1,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,0.1655144,0.01980261,11.550221,10.351821,9.819453,1,1,0,0
9,1.17,1.12,1.02,4.25,3.0,5.0,18.0,27.0,1.11,1.12,1.05,5.05,6.0,5.0,17.0,22.0,1,3,18388.0,0.0945454,1,0.9210559,0.2036816,0.391949,103800.0,5,31314.0,10,0.15700372,0.11332869,11.550221,10.351821,9.819453,1,0,0,1
