,year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
0,1987,410032.0,100.0,47000000.0,35000.0,,,12.0,0,0,0,0,100.0,12.0,,4.6051702,17.665659,,2.5649493,,0,,0,,,10.463103,,,,
1,1988,410032.0,131.0,43000000.0,37000.0,,,8.0,0,0,0,1,50.0,3.053435,,4.8751974,17.57671,,1.3995647,,0,,0,0.27002716,-0.0889492,10.518673,0.05556965,0.0,-8.946565,-1.1653845
2,1989,410032.0,123.0,49000000.0,39000.0,,,8.0,0,0,1,0,50.0,3.2520325,,4.8121843,17.70733,,1.4473971,,0,,0,-0.06301308,0.13062096,10.571317,0.052643776,0.0,0.19859743,0.04783237
3,1987,410440.0,12.0,1560000.0,10500.0,,,12.0,0,0,0,0,12.0,12.0,,2.4849067,14.260197,,2.5649493,,0,,0,,,9.2591305,,,,
4,1988,410440.0,13.0,1970000.0,11000.0,,,12.0,0,0,0,1,13.0,12.0,,2.5649493,14.493544,,2.5649493,,0,,0,0.0800426,0.23334694,9.305651,0.046520233,0.0,0.0,0.0
5,1989,410440.0,14.0,2350000.0,11500.0,,,10.0,0,0,1,0,14.0,10.0,,2.6390574,14.669926,,2.3978953,,0,,0,0.074108124,0.17638206,9.350102,0.044451714,0.0,-2.0,-0.16705394
6,1987,410495.0,20.0,750000.0,17680.0,,,50.0,0,0,0,0,15.0,37.5,,2.9957323,13.527828,,3.6506581,,0,,0,,,9.7801895,,,,
7,1988,410495.0,25.0,110000.0,18720.0,,,50.0,0,0,0,1,10.0,20.0,,3.218876,11.608235,,3.0445225,,0,,0,0.22314358,-1.9195929,9.837348,0.05715847,0.0,-17.5,-0.6061356
8,1989,410495.0,24.0,950000.0,19760.0,,,50.0,0,0,1,0,20.0,41.666668,,3.1780539,13.764217,,3.753418,,0,,0,-0.04082203,2.155982,9.891415,0.054066658,0.0,21.666668,0.70889544
9,1987,410500.0,200.0,23741000.0,13729.0,,,0.0,0,0,0,0,0.0,0.0,,5.2983174,16.982714,,0.0,,0,,0,,,9.527266,,,,
10,1988,410500.0,155.0,19659000.0,14287.0,,,0.0,0,0,0,1,0.0,0.0,,5.043425,16.794046,,0.0,,0,,0,-0.25489235,-0.1886673,9.567105,0.039839745,0.0,0.0,0.0
11,1989,410500.0,80.0,25992000.0,15758.0,,,24.0,0,0,1,0,20.0,6.0,,4.3820267,17.0733,,1.9459101,,0,,0,-0.6613984,0.279253,9.665104,0.09799862,0.0,6.0,1.9459101
12,1987,410501.0,,6000000.0,,,,0.0,0,0,0,0,10.0,,,,15.60727,,,,0,,0,,,,,,,
13,1988,410501.0,,8000000.0,,,,0.0,0,0,0,1,20.0,,,,15.894952,,,,0,,0,,0.28768158,,,0.0,,
14,1989,410501.0,,10000000.0,,,,0.0,0,0,1,0,25.0,,,,16.118095,,,,0,,0,,0.22314358,,,0.0,,
15,1987,410509.0,,,,,,0.0,0,0,0,0,0.0,,,,,,,,0,,0,,,,,,,
16,1988,410509.0,,2800000.0,18000.0,,,0.0,0,0,0,1,0.0,,,,14.84513,,,,0,,0,,,9.798127,,0.0,,
17,1989,410509.0,20.0,3400000.0,18500.0,,,0.0,0,0,1,0,0.0,0.0,,2.9957323,15.039286,,0.0,,0,,0,,0.1941557,9.825526,0.027399063,0.0,,
18,1987,410513.0,15.0,1413900.0,18465.0,,,0.0,0,0,0,0,0.0,0.0,,2.7080503,14.161862,,0.0,,0,,0,,,9.823632,,,,
19,1988,410513.0,16.0,1869348.0,18972.0,,,0.0,0,0,0,1,0.0,0.0,,2.7725887,14.4411,,0.0,,0,,0,0.06453848,0.27923775,9.850719,0.027087212,0.0,0.0,0.0
20,1989,410513.0,16.0,1857765.0,19589.0,,,20.0,0,0,1,0,16.0,20.0,,2.7725887,14.434885,,3.0445225,,0,,0,0.0,-0.0062150955,9.882724,0.032004356,0.0,20.0,3.0445225
21,1987,410517.0,24.0,,13000.0,,,0.0,1,0,0,0,0.0,0.0,,3.1780539,,,0.0,,0,,0,,,9.472705,,,,
22,1988,410517.0,20.0,,12168.0,,,0.0,1,0,0,1,0.0,0.0,,2.9957323,,,0.0,,0,,0,-0.18232155,,9.406565,-0.066140175,0.0,0.0,0.0
23,1989,410517.0,18.0,,11960.0,,,0.0,1,0,1,0,0.0,0.0,,2.8903718,,,0.0,,0,,0,-0.10536051,,9.389323,-0.017241478,0.0,0.0,0.0
24,1987,410518.0,48.0,2160900.0,14352.0,,,14.0,0,0,0,0,3.0,0.875,,3.871201,14.586036,,0.62860864,,0,,0,,,9.571645,,,,
25,1988,410518.0,47.0,2454500.0,16328.0,,,14.0,0,0,0,1,3.0,0.89361703,,3.8501475,14.713433,,0.63848877,,0,,0,-0.021053553,0.12739754,9.700637,0.12899208,0.0,0.018617034,0.0098801255
26,1989,410518.0,66.0,3359800.0,17555.0,,,14.0,0,0,1,0,4.0,0.8484849,,4.189655,15.027392,,0.6143663,,0,,0,0.33950734,0.31395912,9.773094,0.07245731,0.0,-0.04513216,-0.024122477
27,1987,410521.0,17.0,1453081.0,16454.0,,,150.0,0,0,0,0,5.0,44.117645,,2.8332133,14.189197,,3.8092735,,0,,0,,,9.7083235,,,,
