,train,age,educ,black,hisp,married,re74,re75,unem75,unem74,re78,agesq,trre74,trre75,trun74,trun75,avgre,travgre,unem78,em78
0,1,37,11,1,0,1,0.0,0.0,1,1,9.93005,1369,0.0,0.0,1,1,0.0,0.0,0,1
1,1,30,12,1,0,0,0.0,0.0,1,1,24.9095,900,0.0,0.0,1,1,0.0,0.0,0,1
2,1,27,11,1,0,0,0.0,0.0,1,1,7.50615,729,0.0,0.0,1,1,0.0,0.0,0,1
3,1,33,8,1,0,0,0.0,0.0,1,1,0.28979,1089,0.0,0.0,1,1,0.0,0.0,0,1
4,1,22,9,1,0,0,0.0,0.0,1,1,4.05649,484,0.0,0.0,1,1,0.0,0.0,0,1
5,1,23,12,1,0,0,0.0,0.0,1,1,0.0,529,0.0,0.0,1,1,0.0,0.0,1,0
6,1,32,11,1,0,0,0.0,0.0,1,1,8.47216,1024,0.0,0.0,1,1,0.0,0.0,0,1
7,1,22,16,1,0,0,0.0,0.0,1,1,2.16402,484,0.0,0.0,1,1,0.0,0.0,0,1
8,1,19,9,1,0,0,0.0,0.0,1,1,8.17391,361,0.0,0.0,1,1,0.0,0.0,0,1
9,1,21,13,1,0,0,0.0,0.0,1,1,17.094599,441,0.0,0.0,1,1,0.0,0.0,0,1
10,1,18,8,1,0,0,0.0,0.0,1,1,0.0,324,0.0,0.0,1,1,0.0,0.0,1,0
11,1,27,10,1,0,1,0.0,0.0,1,1,18.7399,729,0.0,0.0,1,1,0.0,0.0,0,1
12,1,17,7,1,0,0,0.0,0.0,1,1,3.0238798,289,0.0,0.0,1,1,0.0,0.0,0,1
13,1,19,10,1,0,0,0.0,0.0,1,1,3.2285,361,0.0,0.0,1,1,0.0,0.0,0,1
14,1,27,13,1,0,0,0.0,0.0,1,1,14.581901,729,0.0,0.0,1,1,0.0,0.0,0,1
15,1,23,10,1,0,0,0.0,0.0,1,1,7.6934,529,0.0,0.0,1,1,0.0,0.0,0,1
16,1,40,12,1,0,0,0.0,0.0,1,1,10.804299,1600,0.0,0.0,1,1,0.0,0.0,0,1
17,1,26,12,1,0,0,0.0,0.0,1,1,10.7474,676,0.0,0.0,1,1,0.0,0.0,0,1
18,1,23,11,1,0,0,0.0,0.0,1,1,0.0,529,0.0,0.0,1,1,0.0,0.0,1,0
19,1,24,11,1,0,0,0.0,0.0,1,1,1.9914,576,0.0,0.0,1,1,0.0,0.0,0,1
20,1,18,10,1,0,0,0.0,0.0,1,1,11.1632,324,0.0,0.0,1,1,0.0,0.0,0,1
21,1,29,11,1,0,1,0.0,0.0,1,1,9.643,841,0.0,0.0,1,1,0.0,0.0,0,1
22,1,25,11,1,0,0,0.0,0.0,1,1,9.89705,625,0.0,0.0,1,1,0.0,0.0,0,1
23,1,17,10,1,0,0,0.0,0.0,1,1,16.218,289,0.0,0.0,1,1,0.0,0.0,0,1
24,1,24,11,1,0,0,0.0,0.0,1,1,0.9957,576,0.0,0.0,1,1,0.0,0.0,0,1
25,1,17,10,1,0,0,0.0,0.0,1,1,0.0,289,0.0,0.0,1,1,0.0,0.0,1,0
26,1,48,4,1,0,0,0.0,0.0,1,1,6.55159,2304,0.0,0.0,1,1,0.0,0.0,0,1
27,1,25,11,1,0,1,0.0,0.0,1,1,1.5744201,625,0.0,0.0,1,1,0.0,0.0,0,1
28,1,20,12,1,0,0,0.0,0.0,1,1,0.0,400,0.0,0.0,1,1,0.0,0.0,1,0
29,1,25,12,1,0,0,0.0,0.0,1,1,3.19175,625,0.0,0.0,1,1,0.0,0.0,0,1
30,1,42,14,1,0,0,0.0,0.0,1,1,20.505901,1764,0.0,0.0,1,1,0.0,0.0,0,1
31,1,25,5,1,0,0,0.0,0.0,1,1,6.18188,625,0.0,0.0,1,1,0.0,0.0,0,1
32,1,23,12,1,0,1,0.0,0.0,1,1,5.9115496,529,0.0,0.0,1,1,0.0,0.0,0,1
33,1,46,8,1,0,1,0.0,0.0,1,1,3.0941598,2116,0.0,0.0,1,1,0.0,0.0,0,1
34,1,24,10,1,0,0,0.0,0.0,1,1,0.0,576,0.0,0.0,1,1,0.0,0.0,1,0
35,1,21,12,1,0,0,0.0,0.0,1,1,1.2545799,441,0.0,0.0,1,1,0.0,0.0,0,1
36,1,17,8,1,0,0,0.0,0.0,1,1,8.06149,289,0.0,0.0,1,1,0.0,0.0,0,1
37,1,20,11,1,0,0,0.0,0.0,1,1,3.9725401,400,0.0,0.0,1,1,0.0,0.0,0,1
38,1,25,11,1,0,1,0.0,0.0,1,1,0.0,625,0.0,0.0,1,1,0.0,0.0,1,0
39,1,17,8,1,0,0,0.0,0.0,1,1,0.0,289,0.0,0.0,1,1,0.0,0.0,1,0
40,1,17,9,1,0,0,0.0,0.0,1,1,0.0,289,0.0,0.0,1,1,0.0,0.0,1,0
41,1,25,5,1,0,0,0.0,0.0,1,1,12.187401,625,0.0,0.0,1,1,0.0,0.0,0,1
42,1,23,12,1,0,0,0.0,0.0,1,1,4.84318,529,0.0,0.0,1,1,0.0,0.0,0,1
43,1,28,8,1,0,0,0.0,0.0,1,1,0.0,784,0.0,0.0,1,1,0.0,0.0,1,0
44,1,31,11,1,0,1,0.0,0.0,1,1,8.08749,961,0.0,0.0,1,1,0.0,0.0,0,1
45,1,18,11,1,0,0,0.0,0.0,1,1,0.0,324,0.0,0.0,1,1,0.0,0.0,1,0
46,1,25,12,1,0,0,0.0,0.0,1,1,2.34897,625,0.0,0.0,1,1,0.0,0.0,0,1
47,1,30,11,1,0,1,0.0,0.0,1,1,0.590782,900,0.0,0.0,1,1,0.0,0.0,0,1
48,1,17,10,1,0,0,0.0,0.0,1,1,0.0,289,0.0,0.0,1,1,0.0,0.0,1,0
49,1,37,9,1,0,0,0.0,0.0,1,1,1.06751,1369,0.0,0.0,1,1,0.0,0.0,0,1
50,1,41,4,1,0,1,0.0,0.0,1,1,7.2849903,1681,0.0,0.0,1,1,0.0,0.0,0,1
51,1,42,14,1,0,1,0.0,0.0,1,1,13.1675,1764,0.0,0.0,1,1,0.0,0.0,0,1
52,1,17,8,1,0,0,0.0,0.0,1,1,0.0,289,0.0,0.0,1,1,0.0,0.0,1,0
53,1,29,8,1,0,0,0.0,0.0,1,1,1.92394,841,0.0,0.0,1,1,0.0,0.0,0,1
54,1,35,10,1,0,0,0.0,0.0,1,1,4.66624,1225,0.0,0.0,1,1,0.0,0.0,0,1
55,1,27,11,1,0,0,0.0,0.0,1,1,0.549298,729,0.0,0.0,1,1,0.0,0.0,0,1
56,1,29,4,1,0,0,0.0,0.0,1,1,0.76291496,841,0.0,0.0,1,1,0.0,0.0,0,1
57,1,28,9,1,0,0,0.0,0.0,1,1,10.6943,784,0.0,0.0,1,1,0.0,0.0,0,1
58,1,27,11,1,0,0,0.0,0.0,1,1,0.0,729,0.0,0.0,1,1,0.0,0.0,1,0
59,1,45,5,1,0,1,0.0,0.0,1,1,8.54672,2025,0.0,0.0,1,1,0.0,0.0,0,1
