,year,age,agesq,nbh,cbd,intst,lintst,price,rooms,area,land,baths,dist,ldist,wind,lprice,y81,larea,lland,y81ldist,lintstsq,nearinc,y81nrinc,rprice,lrprice
0,1978,48,2304.0,4,3000.0,1000.0,6.9078,60000.0,7,1660,4578.0,1,10700.0,9.277999,3,11.0021,0,7.4145727,8.429017,0.0,47.717705,1,0,60000.0,11.0021
1,1978,83,6889.0,4,4000.0,1000.0,6.9078,40000.0,6,2612,8370.0,2,11000.0,9.305651,3,10.596635,0,7.8678713,9.032409,0.0,47.717705,1,0,40000.0,10.596635
2,1978,58,3364.0,4,4000.0,1000.0,6.9078,34000.0,6,1144,5000.0,1,11500.0,9.350102,3,10.434115,0,7.0422864,8.517193,0.0,47.717705,1,0,34000.0,10.434115
3,1978,11,121.0,4,4000.0,1000.0,6.9078,63900.0,5,1136,10000.0,1,11900.0,9.384294,3,11.065075,0,7.035269,9.2103405,0.0,47.717705,1,0,63900.0,11.065075
4,1978,48,2304.0,4,4000.0,2000.0,7.6009,44000.0,5,1868,10000.0,1,12100.0,9.400961,3,10.691945,0,7.532624,9.2103405,0.0,57.77368,1,0,44000.0,10.691945
5,1978,78,6084.0,4,3000.0,2000.0,7.6009,46000.0,6,1780,9500.0,3,10000.0,9.21034,3,10.736397,0,7.484369,9.159047,0.0,57.77368,1,0,46000.0,10.736397
6,1978,22,484.0,4,4000.0,2000.0,7.6009,56000.0,6,1700,10878.0,2,11700.0,9.367344,3,10.933107,0,7.4383836,9.2944975,0.0,57.77368,1,0,56000.0,10.933107
7,1978,78,6084.0,4,3000.0,2000.0,7.6009,38500.0,6,1556,3870.0,2,10200.0,9.230143,3,10.5584135,0,7.3498735,8.26101,0.0,57.77368,1,0,38500.0,10.5584135
8,1978,42,1764.0,4,3000.0,2000.0,7.6009,60500.0,8,1642,7000.0,2,10500.0,9.259131,3,11.010399,0,7.4036703,8.853665,0.0,57.77368,1,0,60500.0,11.010399
9,1978,41,1681.0,4,3000.0,2000.0,7.6009,55000.0,5,1443,7950.0,2,11000.0,9.305651,3,10.915089,0,7.2744794,8.980927,0.0,57.77368,1,0,55000.0,10.915089
10,1978,78,6084.0,4,1000.0,4000.0,8.294,39000.0,6,1439,4990.0,1,8600.0,9.059517,3,10.571317,0,7.2717037,8.515191,0.0,68.79043,1,0,39000.0,10.571317
11,1978,38,1444.0,0,6000.0,4000.0,8.294,41000.0,5,1482,8017.0,1,12200.0,9.409191,3,10.621327,0,7.301148,8.98932,0.0,68.79043,1,0,41000.0,10.621327
12,1978,18,324.0,0,5000.0,4000.0,8.294,50900.0,6,1290,12538.0,2,12400.0,9.425452,3,10.837618,0,7.1623974,9.43652,0.0,68.79043,1,0,50900.0,10.837618
13,1978,32,1024.0,0,9000.0,7000.0,8.8537,52000.0,6,1274,7858.0,1,16800.0,9.729134,3,10.858999,0,7.1499166,8.969288,0.0,78.388,0,0,52000.0,10.858999
14,1978,18,324.0,0,9000.0,8000.0,8.9872,49000.0,6,1476,15664.0,1,17200.0,9.752665,3,10.799576,0,7.297091,9.659121,0.0,80.76976,0,0,49000.0,10.799576
15,1978,58,3364.0,4,2000.0,3000.0,8.0064,80000.0,7,1838,9249.0,2,9900.0,9.20029,3,11.289782,0,7.5164332,9.132271,0.0,64.10244,1,0,80000.0,11.289782
