,rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,lsalary,studfac,top10,r11_25,r26_40,r41_60,llibvol,lcost
0,128,31400.0,8340.0,155.0,3.15,216.0,45.0,12.0,210.0,1,0,0,0,10.354563,4.6666665,0,0,0,0,5.3752785,9.028818
1,104,33098.0,6980.0,160.0,3.5,256.0,44.0,113.0,190.0,0,1,0,0,10.407228,4.318182,0,0,0,0,5.5451775,8.850804
2,34,32870.0,16370.0,155.0,3.25,424.0,78.0,134.0,270.0,0,0,1,0,10.400315,3.4615386,0,0,1,0,6.0497336,9.703206
3,49,35000.0,17566.0,157.0,3.2,329.0,136.0,89.0,277.0,0,0,1,0,10.463103,2.0367646,0,0,0,1,5.7960577,9.773721
4,95,33606.0,8350.0,162.0,3.38,332.0,56.0,70.0,150.0,0,0,0,1,10.42246,2.6785715,0,0,0,0,5.805135,9.030017
5,98,31700.0,8350.0,161.0,3.4,311.0,40.0,29.0,156.0,0,0,0,1,10.364072,3.9,0,0,0,0,5.739793,9.030017
6,124,30410.0,6020.0,155.0,3.16,220.0,40.0,61.0,151.0,0,1,0,0,10.322527,3.775,0,0,0,0,5.3936276,8.702843
7,157,30150.0,5986.0,152.0,3.12,230.0,45.0,60.0,149.0,0,1,0,0,10.31394,3.3111112,0,0,0,0,5.4380794,8.697179
8,145,31300.0,4785.0,155.0,3.12,230.0,101.0,70.0,322.0,0,0,1,0,10.351374,3.1881187,0,0,0,0,5.4380794,8.473241
9,91,33200.0,7680.0,160.0,3.66,157.0,44.0,128.0,70.0,0,1,0,0,10.410305,1.5909091,0,0,0,0,5.056246,8.946375
10,50,34900.0,17720.0,165.0,3.55,320.0,78.0,56.0,269.0,0,0,1,0,10.460242,3.4487178,0,0,0,1,5.768321,9.782449
11,23,55413.0,16160.0,163.0,3.42,470.0,128.0,115.0,381.0,0,0,1,0,10.922569,2.9765625,0,1,0,0,6.152733,9.690294
12,78,33750.0,6300.0,162.0,3.6,330.0,48.0,,153.0,0,0,0,1,10.426736,3.1875,0,0,0,0,5.799093,8.748305
13,5,65000.0,11387.0,167.0,3.7,600.0,80.0,,269.0,0,0,0,1,11.082143,3.3625,1,0,0,0,6.3969297,9.340228
14,27,,12058.0,164.0,3.45,371.0,38.0,20.0,160.0,0,0,0,1,,4.2105265,0,0,1,0,5.916202,9.397484
15,19,62000.0,12478.0,163.0,3.55,542.0,114.0,107.0,419.0,0,0,0,1,11.034889,3.6754386,0,1,0,0,6.295266,9.431723
16,13,63000.0,12202.0,165.0,3.57,470.0,96.0,,350.0,0,0,0,1,11.05089,3.6458333,0,1,0,0,6.152733,9.409355
17,115,31300.0,15700.0,156.0,3.2,208.0,80.0,,375.0,0,0,0,1,10.351374,4.6875,0,0,0,0,5.3375382,9.661416
18,171,28500.0,11750.0,156.0,3.2,147.0,35.0,9.0,119.0,0,0,1,0,10.257659,3.4,0,0,0,0,4.9904327,9.371609
19,131,30100.0,12927.0,154.0,3.25,215.0,31.0,,262.0,1,0,0,0,10.312281,8.451612,0,0,0,0,5.370638,9.467073
20,72,33650.0,16545.0,160.0,3.3,352.0,72.0,,255.0,0,0,1,0,10.423768,3.5416667,0,0,0,0,5.8636312,9.71384
21,55,40325.0,16680.0,158.0,3.3,305.0,,93.0,220.0,1,0,0,0,10.604727,,0,0,0,1,5.7203116,9.721966
22,4,70000.0,19392.0,168.0,3.75,555.0,40.0,,178.0,1,0,0,0,11.156251,4.45,1,0,0,0,6.3189683,9.872616
23,90,32800.0,11268.0,162.0,3.37,339.0,51.0,152.0,134.0,1,0,0,0,10.398184,2.627451,0,0,0,0,5.826,9.329722
24,133,,10808.0,,,290.0,72.0,26.0,300.0,1,0,0,0,,4.1666665,0,0,0,0,5.669881,9.288042
25,65,35000.0,12537.0,164.0,3.31,280.0,62.0,,167.0,0,0,0,1,10.463103,2.6935484,0,0,0,0,5.6347895,9.4364395
26,7,78325.0,20518.0,168.0,3.6,735.0,101.0,,345.0,0,0,1,0,11.268622,3.4158416,1,0,0,0,6.5998707,9.929058
27,84,,16036.0,160.0,3.29,383.0,95.0,,133.0,0,0,1,0,,1.4,0,0,0,0,5.948035,9.682591
28,10,67500.0,19200.0,163.0,3.55,400.0,56.0,,191.0,0,0,1,0,11.119883,3.4107144,1,0,0,0,5.9914646,9.862665
29,112,,12376.0,154.0,3.2,198.0,51.0,107.0,188.0,0,0,0,1,,3.6862745,0,0,0,0,5.288267,9.423514
30,137,29800.0,13850.0,156.0,3.1,210.0,58.0,38.0,235.0,0,1,0,0,10.302263,4.051724,0,0,0,0,5.3471074,9.53604
31,141,28900.0,13384.0,155.0,3.2,208.0,27.0,,185.0,1,0,0,0,10.271597,6.851852,0,0,0,0,5.3375382,9.501815
32,47,42300.0,15221.0,158.0,3.2,275.0,83.0,,341.0,0,0,0,1,10.652542,4.1084337,0,0,0,1,5.616771,9.630431
33,82,32900.0,14115.0,158.0,3.27,312.0,109.0,,373.0,1,0,0,0,10.401228,3.4220183,0,0,0,0,5.7430034,9.554994
34,144,29200.0,,155.0,3.0,200.0,60.0,94.0,146.0,1,0,0,0,10.281924,2.4333334,0,0,0,0,5.2983174,
35,76,34500.0,12500.0,155.0,3.3,190.0,28.0,73.0,,1,0,0,0,10.448714,,0,0,0,0,5.247024,9.433484
36,94,,12200.0,156.0,3.4,325.0,61.0,151.0,177.0,0,0,1,0,,2.9016395,0,0,0,0,5.7838254,9.409191
37,88,32300.0,13780.0,155.0,3.23,240.0,65.0,120.0,234.0,0,0,0,1,10.382822,3.6,0,0,0,0,5.480639,9.530973
38,9,60172.0,19016.0,169.0,3.7,450.0,82.0,,96.0,0,0,1,0,11.004962,1.1707317,1,0,0,0,6.1092477,9.853036
39,89,32093.0,10353.0,,,192.0,58.0,74.0,200.0,0,0,1,0,10.376393,3.4482758,0,0,0,0,5.2574954,9.245031
40,43,46103.0,17170.0,163.0,3.4,260.0,78.0,149.0,236.0,0,1,0,0,10.738633,3.025641,0,0,0,1,5.560682,9.750919
41,59,,12570.0,162.0,3.53,530.0,68.0,76.0,200.0,0,1,0,0,,2.9411764,0,0,0,1,6.272877,9.439068
42,81,33900.0,11400.0,158.0,3.3,346.0,58.0,24.0,204.0,0,1,0,0,10.43117,3.5172415,0,0,0,0,5.846439,9.341369
43,22,64880.0,17900.0,163.0,3.3,410.0,187.0,144.0,547.0,0,0,1,0,11.080295,2.9251337,0,1,0,0,6.016157,9.792556
44,142,29336.0,12100.0,154.0,3.0,186.0,51.0,12.0,134.0,0,0,1,0,10.286571,2.627451,0,0,0,0,5.2257466,9.400961
45,127,,16212.0,160.0,3.27,260.0,50.0,6.0,251.0,0,0,1,0,,5.02,0,0,0,0,5.560682,9.693507
46,31,61000.0,17650.0,163.0,3.51,403.0,196.0,120.0,475.0,0,0,1,0,11.018629,2.4234693,0,0,1,0,5.9989367,9.778491
47,18,62705.0,18995.0,166.0,3.52,728.0,245.0,61.0,643.0,0,0,1,0,11.046197,2.6244898,0,1,0,0,6.590301,9.851931
48,46,45889.0,7221.0,163.0,3.4,456.0,52.0,126.0,241.0,0,1,0,0,10.733981,4.6346154,0,0,0,1,6.122493,8.884748
49,175,,7500.0,159.0,3.12,221.0,41.0,3.0,195.0,0,1,0,0,,4.756098,0,0,0,0,5.398163,8.922658
50,79,34130.0,14554.0,158.0,3.14,200.0,109.0,84.0,237.0,0,0,0,1,10.437932,2.1743119,0,0,0,0,5.2983174,9.585621
51,74,34400.0,13175.0,154.0,3.16,197.0,43.0,73.0,194.0,0,0,0,1,10.445812,4.5116277,0,0,0,0,5.2832036,9.486076
52,1,67815.0,18364.0,168.0,3.75,1745.0,113.0,173.0,553.0,0,0,1,0,11.124538,4.8938055,1,0,0,0,7.46451,9.818148
53,139,30580.0,7820.0,160.0,3.42,231.0,36.0,12.0,76.0,0,0,0,1,10.328101,2.1111112,0,0,0,0,5.4424176,8.964439
54,28,51082.0,16740.0,158.0,3.25,395.0,67.0,,284.0,0,0,1,0,10.8411875,4.238806,0,0,1,0,5.9788857,9.725556
55,48,39000.0,7300.0,159.0,3.3,400.0,113.0,,310.0,0,1,0,0,10.571317,2.743363,0,0,0,1,5.9914646,8.89563
56,116,29500.0,9625.0,152.0,2.85,240.0,42.0,118.0,161.0,0,0,1,0,10.292146,3.8333333,0,0,0,0,5.480639,9.172119
57,132,27000.0,6810.0,152.0,3.25,146.0,22.0,76.0,96.0,0,0,0,1,10.203592,4.3636365,0,0,0,0,4.983607,8.826147
