,occ,loanamt,action,msa,suffolk,appinc,typur,unit,married,dep,emp,yjob,self,atotinc,cototinc,hexp,price,other,liq,rep,gdlin,lines,mortg,cons,pubrec,hrat,obrat,fixadj,term,apr,prop,inss,inson,gift,cosign,unver,review,netw,unem,min30,bd,mi,old,vr,sch,black,hispan,male,reject,approve,mortno,mortperf,mortlat1,mortlat2,chist,multi,loanprc,thick,white
0,1,89,1,1120,0,72,0,1.0,0.0,0.0,0,0,0,5849.0,0.0,1031.0,118.0,0.0,34.5,1.0,1,15.0,2,1,0,17.63,34.5,0,360.0,118.0,1,0,0,0,0,0,1,99.6,3.2,0.0,0,1,0,1,1,0,0,,0,1,0,1,0,0,1,0.0,0.7542373,0.0,1
1,1,128,3,1120,0,74,0,1.0,1.0,1.0,0,0,0,4583.0,1508.0,1391.0,160.0,0.0,52.0,3.0,1,19.0,2,2,0,22.54,34.1,1,360.0,175.0,2,0,0,0,0,0,999,847.0,3.2,0.0,0,1,0,1,1,0,0,1.0,1,0,0,1,0,0,1,0.0,0.8,1.0,1
2,1,128,1,1120,0,84,3,1.0,0.0,0.0,1,1,0,2666.0,4416.0,1371.0,143.0,0.0,37.0,6.0,1,18.0,2,2,0,19.0,26.0,0,180.0,145.0,2,0,0,0,0,0,3,40.0,3.9,0.0,1,1,0,0,1,0,0,1.0,0,1,0,1,0,0,1,0.0,0.8951049,1.0,1
3,1,66,1,1120,0,36,0,1.0,1.0,0.0,0,0,1,3000.0,0.0,839.0,110.0,0.0,19.0,1.0,1,25.0,2,6,1,24.0,37.0,0,360.0,110.0,2,0,0,1,0,0,2,158.0,3.1,0.0,0,1,1,1,1,0,0,1.0,0,1,0,1,0,0,0,0.0,0.6,0.0,1
4,1,120,1,1120,0,59,8,1.0,1.0,0.0,0,0,0,2583.0,2358.0,1341.0,134.0,0.0,31.0,1.0,1,15.0,2,1,0,25.1,32.1,0,360.0,135.0,1,1,0,0,0,0,2,69.0,4.3,0.0,1,1,0,0,0,0,0,1.0,0,1,0,1,0,0,1,0.0,0.8955224,0.0,1
5,1,111,1,1120,0,63,9,1.0,0.0,0.0,0,0,0,2208.0,2959.0,1122.0,138.0,0.0,169.0,2.0,1,10.0,2,6,0,21.0,33.0,0,360.0,144.0,2,0,0,0,0,0,1,262.0,3.2,0.0,1,1,0,0,0,0,0,1.0,0,1,0,1,0,0,0,0.0,0.8043478,0.0,1
6,1,141,1,1120,1,72,1,1.0,0.0,0.0,0,1,0,6000.0,0.0,1870.0,157.0,0.0,38.0,1.0,1,9.0,2,1,0,32.0,36.0,0,360.0,162.0,1,1,0,0,0,0,1,46.0,3.2,0.0,0,0,1,1,1,0,0,1.0,0,1,0,1,0,0,1,0.0,0.8980892,0.0,1
7,1,276,1,1120,0,90,6,1.0,0.0,0.0,0,1,0,7500.0,0.0,2706.0,346.0,0.0,142.0,1.0,1,5.0,2,1,0,36.0,37.0,1,360.0,365.0,2,0,0,0,0,0,1,214.0,3.2,0.0,0,1,1,1,1,0,0,1.0,0,1,0,1,0,0,1,0.0,0.7976879,0.0,1
8,1,100,1,1120,0,72,1,1.0,1.0,1.0,1,1,0,3234.0,2524.0,1112.0,99.7,0.0,24.5,1.0,1,2.0,2,1,0,19.31,30.7,0,360.0,105.0,2,1,0,0,0,0,3,38.8,1.8,0.0,1,1,0,0,1,0,0,1.0,0,1,0,1,0,0,1,0.0,1.0030091,0.0,1
9,1,267,1,1120,0,144,0,1.0,1.0,2.0,0,0,1,5417.0,4196.0,2959.0,422.0,0.0,111.0,3.0,1,15.0,1,1,0,26.51,49.0,0,360.0,422.0,2,0,0,0,0,0,2,374.0,3.1,0.0,0,1,1,1,1,0,0,1.0,0,1,1,0,0,0,1,0.0,0.6327014,1.0,1
10,1,175,1,1120,0,97,0,1.0,1.0,0.0,0,0,0,6292.0,1758.0,2081.0,346.7,0.0,186.6,4.0,1,16.0,1,2,0,26.0,37.0,0,180.0,351.0,2,0,0,0,0,0,1,348.4,5.3,0.0,0,1,1,0,1,0,0,1.0,0,1,1,0,0,0,1,0.0,0.50475913,1.0,1
11,1,95,1,1120,0,46,1,1.0,1.0,0.0,0,1,0,2333.0,1516.0,1005.0,135.0,0.0,52.33,1.0,1,16.0,2,6,0,26.1,37.1,0,360.0,138.0,2,0,0,0,0,0,2,66.032,3.2,0.0,0,1,0,0,0,0,0,1.0,0,1,0,1,0,0,0,0.0,0.7037037,0.0,1
12,1,158,3,1120,1,666,0,1.0,1.0,4.0,0,0,0,3036.0,2504.0,1442.0,210.0,39.0,188.0,1.0,0,13.0,2,6,1,29.0,42.0,1,360.0,237.0,1,0,0,0,0,0,3,239.0,10.6,0.0,0,1,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0.0,0.75238097,0.0,1
13,1,110,1,1120,0,60,9,1.0,1.0,0.0,0,0,0,5720.0,0.0,1373.0,143.0,0.0,153.0,2.0,1,17.0,1,3,0,24.0,32.0,0,360.0,148.0,2,0,0,0,0,0,2,345.0,3.1,0.0,0,1,1,0,1,0,0,1.0,0,1,1,0,0,0,1,0.0,0.7692308,0.0,1
14,1,40,1,1120,0,48,0,1.0,1.0,0.0,0,0,0,3103.0,307.0,538.0,197.0,0.0,34.0,1.0,1,14.0,1,1,0,16.0,16.0,1,360.0,197.0,2,0,0,0,0,0,1,155.0,10.6,0.0,0,1,1,0,0,0,0,1.0,0,1,1,0,0,0,1,0.0,0.20304568,0.0,1
15,1,70,1,1120,1,33,0,1.0,1.0,1.0,1,1,1,2800.0,0.0,688.0,78.0,0.0,10.0,1.0,1,0.0,2,1,0,24.5,37.1,1,360.0,118.0,1,1,0,0,0,0,1,89.0,3.2,1.0,1,0,0,1,1,1,0,1.0,0,1,0,1,0,0,1,0.0,0.8974359,0.0,0
16,1,168,1,1120,0,66,1,1.0,1.0,2.0,0,1,0,4006.0,1526.0,1733.0,210.0,0.0,66.0,2.0,1,2.0,2,1,0,31.3,32.2,0,360.0,210.0,2,0,0,0,0,0,2,83.1,3.2,0.0,1,1,1,0,1,0,0,1.0,0,1,0,1,0,0,1,0.0,0.8,0.0,1
