,distid,intid,lunch,enrol,ptr,found,expp,revpp,avgsal,drop,grad,math4,math7,choice,psa,year,staff,avgben,y92,y93,y94,y95,y96,y97,y98,lexpp,lfound,lexpp_1,lfnd_1,lenrol,lenrolsq,lunchsq,lfndsq,math4_1,cmath4,gexpp,gexpp_1,gfound,gfnd_1,clunch,clnchsq,genrol,genrolsq,expp92,lexpp92,math4_92,cpi,rexpp,lrexpp,lrexpp_1,grexpp,grexpp_1
0,1010.0,4,36.3,1089.0,,,4227,,31854.0,7.0,75.2,28.8,43.4,,,1992,101.2,6098.0,1,0,0,0,0,0,0,8.349248,,,,6.9930153,48.902264,1317.69,,,,,,,,,,,,,,,1.403,4835.592,8.483759,,,
1,1010.0,4,39.2,1100.0,,,4809,,34361.0,10.1,64.7,32.3,49.3,,,1993,99.7,8532.0,0,1,0,0,0,0,0,8.478245,,8.349248,,7.0030656,49.042927,1536.64,,28.8,3.5,0.12899685,,,,2.9000015,218.95007,0.010050297,0.14066315,4227.0,8.349248,28.8,1.445,5341.4844,8.583259,8.483759,0.0994997,
2,1010.0,4,38.6,1011.0,,,5214,,32351.0,12.3,58.6,39.1,36.5,,,1994,110.8,9983.0,0,0,1,0,0,0,0,8.559103,,8.478245,,6.9186954,47.868347,1489.9598,,32.3,6.799999,0.08085823,0.12899685,,,-0.6000023,-46.680176,-0.084370136,-1.1745796,4227.0,8.349248,28.8,1.482,5646.7407,8.638834,8.583259,0.05557537,0.0994997
3,1010.0,4,37.41,995.0,20.4,5245.0,6019,7186.0,44852.0,1.73,94.8,68.0,54.7,,0.0,1995,,,0,0,0,1,0,0,0,8.702677,8.56503,8.559103,,6.902743,47.647858,1399.508,73.35974,39.1,28.900002,0.14357376,0.08085823,,,-1.1899986,-90.45178,-0.015952587,-0.2204895,4227.0,8.349248,28.8,1.524,6338.907,8.754461,8.638834,0.11562729,0.05557537
4,1010.0,4,40.79,1008.0,19.1,5398.0,6155,7374.0,46603.0,7.37,77.4,68.4,55.4,,0.0,1996,,,0,0,0,0,1,0,0,8.72502,8.593783,8.702677,8.56503,6.9157233,47.82723,1663.8242,73.85311,68.0,0.40000153,0.022343636,0.14357376,0.02875328,,3.380001,264.31616,0.012980461,0.17937088,4227.0,8.349248,28.8,1.569,6296.2236,8.747705,8.754461,-0.006755829,0.11562729
5,1010.0,4,43.84,1066.0,20.7,5553.0,6134,6859.0,48170.0,5.8,77.5,49.0,48.0,0.0,,1997,,,0,0,0,0,0,1,0,8.721602,8.622093,8.72502,8.593783,6.9716687,48.604164,1921.9456,74.34049,68.4,-19.400002,-0.0034179688,0.022343636,0.028309822,0.02875328,3.0499992,258.12134,0.055945396,0.7769356,4227.0,8.349248,28.8,1.605,6134.0,8.721602,8.747705,-0.02610302,-0.006755829
6,1010.0,4,42.61,1058.0,21.2,5707.0,6476,7094.0,52033.0,10.5,65.2,75.0,65.0,0.0,,1998,,,0,0,0,0,0,0,1,8.775858,8.649448,8.721602,8.622093,6.9641356,48.499184,1815.6122,74.81296,49.0,26.0,0.054255486,-0.0034179688,0.027355194,0.028309822,-1.2299995,-106.333374,-0.0075330734,-0.10498047,4227.0,8.349248,28.8,1.63,6376.675,8.760402,8.721602,0.038799286,-0.02610302
7,2010.0,52,36.4,129.0,,,3445,,23353.0,,,30.0,,,,1992,86.0,6042.0,1,0,0,0,0,0,0,8.144679,,,,4.8598123,23.617775,1324.9601,,,,,,,,,,,,,,,1.403,3941.0015,8.27919,,,
8,2010.0,52,38.6,126.0,,,3446,,27303.0,,,28.6,,,,1993,80.5,7136.0,0,1,0,0,0,0,0,8.144969,,8.144679,,4.836282,23.389622,1489.9598,,30.0,-1.3999996,0.000289917,,,,2.199997,164.99976,-0.023530483,-0.22815323,3445.0,8.144679,30.0,1.445,3827.564,8.249984,8.27919,-0.029206276,
9,2010.0,52,52.6,126.0,,,3583,,19598.0,0.0,,37.5,0.0,,,1994,112.7,6276.0,0,0,1,0,0,0,0,8.183956,,8.144969,,4.836282,23.389622,2766.7598,,28.6,8.9,0.03898716,0.000289917,,,14.0,1276.7999,0.0,0.0,3445.0,8.144679,30.0,1.482,3880.3745,8.263687,8.249984,0.013703346,-0.029206276
10,2010.0,52,51.52,59.0,12.2,5581.0,8525,10693.0,29984.0,0.0,,40.0,0.0,,0.0,1995,,,0,0,0,1,0,0,0,9.050758,8.627123,8.183956,,4.0775375,16.626312,2654.3105,74.427246,37.5,2.5,0.8668022,0.03898716,,,-1.079998,-112.44922,-0.75874424,-6.7633095,3445.0,8.144679,30.0,1.524,8978.101,9.102544,8.263687,0.8388567,0.013703346
11,2010.0,52,47.3,60.0,12.3,5734.0,8632,10664.0,31192.0,0.0,,83.3,0.0,,0.0,1996,,,0,0,0,0,1,0,0,9.063231,8.654169,9.050758,8.627123,4.0943446,16.763659,2237.29,74.894646,40.0,43.300003,0.012473106,0.8668022,0.027046204,,-4.220001,-417.0205,0.01680708,0.13734627,3445.0,8.144679,30.0,1.569,8830.058,9.0859165,9.102544,-0.016627312,0.8388567
12,2010.0,52,52.24,56.0,11.4,5889.0,8854,7542.0,38029.0,,,90.0,,0.0,,1997,,,0,0,0,0,0,1,0,9.088625,8.680841,9.063231,8.654169,4.0253515,16.203455,2729.0178,75.35701,83.3,6.699997,0.025393486,0.012473106,0.026672363,0.027046204,4.9400024,491.72778,-0.06899309,-0.56020355,3445.0,8.144679,30.0,1.605,8854.0,9.088625,9.0859165,0.002708435,-0.016627312
13,2010.0,52,56.6,48.0,11.2,6043.0,9424,10588.0,28400.0,,,67.0,,0.0,,1998,,,0,0,0,0,0,0,1,9.151015,8.7066555,9.088625,8.680841,3.871201,14.986197,3203.5598,75.80585,90.0,-23.0,0.062390327,0.025393486,0.025814056,0.026672363,4.359997,474.542,-0.15415049,-1.2172575,3445.0,8.144679,30.0,1.63,9279.46,9.135559,9.088625,0.046934128,0.002708435
14,2020.0,52,59.3,90.0,,,6379,,24389.0,0.0,100.0,20.0,50.0,,,1992,167.8,7019.0,1,0,0,0,0,0,0,8.760767,,,,4.4998097,20.248287,3516.49,,,,,,,,,,,,,,,1.403,7297.4307,8.895278,,,
15,2020.0,52,59.2,76.0,,,7600,,22450.0,0.0,100.0,37.5,16.7,,,1993,223.7,6794.0,0,1,0,0,0,0,0,8.935904,,8.760767,,4.3307333,18.75525,3504.6401,,20.0,17.5,0.17513657,,,,-0.099998474,-11.8498535,-0.16907644,-1.4930363,6379.0,8.760767,20.0,1.445,8441.522,9.040918,8.895278,0.14564037,
