,lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
0,1.4,1862,112.6,5765,37498.0,7420,2.9,89.2,56.4,67.9,44918.0,10.712594,8.65956,7.5294065,4.7238417,0.19787721,10.5320425
1,2.3,11355,101.2,6601,48722.0,10370,1.3,91.4,42.7,65.3,59092.0,10.986851,8.794976,9.337414,4.617099,0.2128402,10.793886
2,2.7,7685,114.0,6834,44541.0,7313,3.5,91.4,43.8,54.3,51854.0,10.856188,8.829665,8.947025,4.7361984,0.1641858,10.704165
3,3.4,1148,85.4,3586,31566.0,5989,3.6,86.6,25.3,60.0,37555.0,10.533562,8.1847925,7.0457764,4.447346,0.18972945,10.359836
4,3.4,1572,96.1,3847,29781.0,5545,0.0,100.0,15.3,65.8,35326.0,10.472375,8.255049,7.360104,4.565389,0.18619254,10.301626
5,3.4,2496,101.1,5070,36801.0,5895,2.7,89.2,46.0,60.5,42696.0,10.66186,8.531096,7.822445,4.6161103,0.16018586,10.51328
6,3.6,3358,87.6,4474,37863.0,6934,1.4,95.1,33.6,67.4,44797.0,10.709896,8.406038,8.119101,4.472781,0.18313393,10.54173
7,3.6,11983,96.0,5159,40133.0,8085,2.5,87.8,40.1,69.4,48218.0,10.783487,8.548498,9.391244,4.564348,0.20145516,10.599955
8,4.2,3499,102.8,5012,36451.0,7253,1.8,93.2,42.1,71.7,43704.0,10.685195,8.51959,8.160233,4.6327853,0.19897945,10.503724
9,4.2,5095,145.0,6501,33449.0,7386,1.9,92.1,39.8,55.0,40835.0,10.617295,8.779712,8.536015,4.9767337,0.22081378,10.417777
10,4.5,16793,106.9,5938,40859.0,8754,3.0,88.2,30.8,58.1,49613.0,10.812008,8.689128,9.728718,4.6718936,0.214249,10.617883
11,4.5,984,100.9,5987,42785.0,9279,5.6,79.3,14.6,74.6,52064.0,10.860229,8.697346,6.891626,4.61413,0.21687508,10.663943
12,5.1,1116,107.1,4843,34085.0,5907,0.6,97.5,51.1,48.6,39992.0,10.596435,8.48529,7.017506,4.673763,0.17330204,10.436613
