,dcode,bcode,math4,read4,enroll,exppp,free,reduced,lunch,medinc,totchild,married,single,pctsgle,zipcode,lenroll,lexppp,lmedinc
0,63010,3030,92.8,82.5,607,6619.54,1.0,0.7,1.7,110322,4076,3542,534,13.10108,48009,6.408529,8.797781,11.611158
1,63010,3133,100.0,94.3,370,6619.54,0.0,0.0,0.0,110322,4076,3542,534,13.10108,48009,5.913503,8.797781,11.611158
2,63270,2023,72.1,46.5,220,5607.56,5.9,5.0,10.9,65119,2524,2091,433,17.15531,48017,5.3936276,8.631871,11.083972
3,63270,2978,76.1,65.7,356,5829.53,8.1,2.8,10.9,65119,2524,2091,433,17.15531,48017,5.874931,8.6706915,11.083972
4,63010,316,95.2,80.6,329,6619.54,0.3,0.3,0.6,109313,3486,3241,245,7.0281124,48025,5.7960577,8.797781,11.601971
5,63010,5670,88.6,72.7,331,6619.54,1.2,0.9,2.1,109313,3486,3241,245,7.0281124,48025,5.8021183,8.797781,11.601971
6,63010,1494,95.2,90.5,288,6619.55,12.2,5.2,17.4,109313,3486,3241,245,7.0281124,48025,5.6629605,8.797783,11.601971
7,63130,1631,66.7,46.3,452,6092.66,50.2,17.5,67.7,43750,4651,3258,1393,29.950546,48030,6.1136823,8.71484,10.686247
8,63130,1753,83.9,44.6,428,5155.4,40.2,10.0,50.2,43750,4651,3258,1393,29.950546,48030,6.059123,8.5478,10.686247
9,63130,2254,95.7,56.5,238,6095.71,24.4,17.6,42.0,43750,4651,3258,1393,29.950546,48030,5.4722705,8.715341,10.686247
10,63130,3280,100.0,90.0,216,5464.97,43.5,13.9,57.4,43750,4651,3258,1393,29.950546,48030,5.3752785,8.606114,10.686247
11,63130,4259,93.5,82.6,364,5132.18,32.7,14.0,46.7,43750,4651,3258,1393,29.950546,48030,5.897154,8.543285,10.686247
12,63130,4422,90.5,47.6,577,5183.29,41.9,19.6,61.5,43750,4651,3258,1393,29.950546,48030,6.3578424,8.553195,10.686247
13,63060,24,65.6,41.0,406,7532.52,28.3,9.1,37.4,59646,5284,3264,2020,38.228615,48034,6.0063534,8.926985,10.996182
14,63060,6032,62.8,90.7,303,9013.97,23.4,5.6,29.0,59646,5284,3264,2020,38.228615,48034,5.7137327,9.106531,10.996182
15,63060,2295,70.0,53.3,416,6731.69,33.2,9.6,42.8,59646,5284,3264,2020,38.228615,48034,6.0306854,8.814582,10.996182
16,63040,5105,73.9,52.2,152,7113.84,11.2,5.9,17.1,67614,4150,3456,694,16.722893,48067,5.0238805,8.869798,11.121571
17,63040,2255,90.0,75.0,207,7818.74,13.0,0.0,13.0,67614,4150,3456,694,16.722893,48067,5.332719,8.964279,11.121571
18,63040,2805,90.7,67.4,282,6081.9,11.0,5.0,16.0,67614,4150,3456,694,16.722893,48067,5.641907,8.713073,11.121571
19,63040,4518,66.1,62.9,373,5489.56,10.2,5.1,15.3,67614,4150,3456,694,16.722893,48067,5.9215784,8.610603,11.121571
20,63050,464,94.8,88.3,525,5154.88,1.1,0.2,1.3,97206,1581,1352,229,14.484504,48070,6.263398,8.547699,11.484588
21,63280,1089,88.0,62.0,300,5778.84,8.7,5.3,14.0,51364,6047,4832,1215,20.092607,48071,5.7037826,8.661959,10.846693
22,63280,1682,80.0,52.0,448,5272.6,34.6,5.8,40.4,51364,6047,4832,1215,20.092607,48071,6.104793,8.570279,10.846693
23,63280,2168,91.2,73.5,242,7012.47,15.7,2.5,18.2,51364,6047,4832,1215,20.092607,48071,5.488938,8.855445,10.846693
24,63280,3483,92.7,56.1,260,6407.14,15.4,2.3,17.7,51364,6047,4832,1215,20.092607,48071,5.560682,8.765168,10.846693
25,63140,1083,74.1,56.6,249,7721.39,30.5,8.8,39.3,51364,6047,4832,1215,20.092607,48071,5.5174527,8.95175,10.846693
26,63140,1537,89.7,38.5,292,5737.43,34.2,14.4,48.6,51364,6047,4832,1215,20.092607,48071,5.676754,8.654767,10.846693
27,63140,4280,86.7,58.3,257,5853.7,28.0,9.3,37.3,51364,6047,4832,1215,20.092607,48071,5.549076,8.6748295,10.846693
28,63050,1875,86.0,68.8,359,5206.81,6.1,5.0,11.1,66968,3321,2837,484,14.573924,48072,5.8833222,8.557723,11.11197
29,63050,2974,65.0,55.0,298,5159.14,5.4,6.0,11.4,66968,3321,2837,484,14.573924,48072,5.6970935,8.548525,11.11197
30,63050,1549,66.7,60.3,370,4623.55,6.2,1.9,8.099999,66968,3321,2837,484,14.573924,48072,5.913503,8.438918,11.11197
31,63040,4264,93.9,72.7,233,5660.08,5.6,6.0,11.6,68331,5960,5132,828,13.892618,48073,5.4510384,8.641193,11.132119
32,63040,2381,97.7,88.6,283,6128.28,5.7,1.4,7.1,68331,5960,5132,828,13.892618,48073,5.645447,8.72067,11.132119
33,63040,2781,86.8,72.2,281,5376.37,4.6,0.7,5.3,68331,5960,5132,828,13.892618,48073,5.638355,8.589768,11.132119
34,63040,2800,71.6,57.5,454,5564.07,6.6,2.2,8.8,68331,5960,5132,828,13.892618,48073,6.1180973,8.624085,11.132119
