,emp232,wage232,emp236,wage236,emp234,wage234,emp314,wage314,emp228,wage228,emp233,wage233,emp394,wage394,emp231,wage231,emp226,wage226,emp387,wage387,emp056,wage056,unem,cpi,minwage,lemp232,lwage232,gemp232,gwage232,lminwage,gmwage,gmwage_1,gmwage_2,gmwage_3,gmwage_4,gmwage_5,gmwage_6,gmwage_7,gmwage_8,gmwage_9,gmwage_10,gmwage_11,gmwage_12,lemp236,gcpi,lcpi,lwage236,gemp236,gwage236,lemp234,lwage234,gemp234,gwage234,lemp314,lwage314,gemp314,gwage314,t
0,270.6,0.86,53.1,0.99,93.4,0.92,253.9,0.99,185.3,0.91,346.5,1.55,79.5,1.03,143.7,1.27,90.6,1.07,41.9,1.07,559.5,0.94,,21.5,0.4,5.6006417,-0.15082288,,,-0.9162907,,,,,,,,,,,,,,3.9721768,,3.068053,-0.010050327,,,4.5368915,-0.08338159,,,5.5369406,-0.010050327,,,1
1,272.4,0.86,54.8,1.0,94.6,0.92,256.6,0.98,184.7,0.94,357.6,1.57,79.5,1.04,145.8,1.27,90.7,1.08,42.4,1.07,544.0,0.94,,21.5,0.4,5.6072717,-0.15082288,0.006629944,0.0,-0.9162907,0.0,,,,,,,,,,,,,4.0036902,0.0,3.068053,0.0,0.031513453,0.010050327,4.5496573,-0.08338159,0.012765884,0.0,5.5475183,-0.020202687,0.010577679,-0.01015236,2
2,268.6,0.86,52.9,0.98,95.4,0.91,256.9,0.99,182.2,0.98,358.2,1.54,79.6,1.05,146.6,1.27,90.6,1.1,42.0,1.08,571.8,0.96,,21.9,0.4,5.593223,-0.15082288,-0.014048576,0.0,-0.9162907,0.0,0.0,,,,,,,,,,,,3.9684033,0.01843357,3.0864866,-0.020202687,-0.035286903,-0.020202687,4.558079,-0.09431065,0.008421421,-0.0109290555,5.548687,-0.010050327,0.0011687279,0.01015236,3
3,262.6,0.86,48.3,0.91,95.2,0.92,253.8,0.99,179.6,0.98,326.7,1.42,78.2,1.05,145.9,1.25,89.4,1.13,41.7,1.09,582.2,0.98,,21.9,0.4,5.570632,-0.15082288,-0.022591114,0.0,-0.9162907,0.0,0.0,0.0,,,,,,,,,,,3.8774316,0.0,3.0864866,-0.09431065,-0.09097171,-0.07410796,4.5559797,-0.08338159,-0.0020990372,0.0109290555,5.5365467,-0.010050327,-0.012140274,0.0,4
4,258.0,0.87,47.6,0.93,96.3,0.92,245.8,0.99,173.8,0.98,302.8,1.38,76.2,1.06,145.7,1.25,88.6,1.12,41.6,1.1,578.0,0.97,,21.9,0.4,5.5529594,-0.13926207,-0.017672539,0.011560813,-0.9162907,0.0,0.0,0.0,0.0,,,,,,,,,,3.8628328,0.0,3.0864866,-0.07257068,-0.014598846,0.021739967,4.567468,-0.08338159,0.011488438,0.0,5.504518,-0.010050327,-0.032028675,0.0,5
5,255.8,0.87,49.7,0.95,96.7,0.93,248.6,1.01,168.8,0.97,298.4,1.41,75.1,1.07,148.3,1.24,88.0,1.13,41.3,1.12,582.2,0.99,,22.0,0.4,5.544396,-0.13926207,-0.0085635185,0.0,-0.9162907,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.906005,0.0045559406,3.0910425,-0.051293306,0.04317212,0.021277376,4.5716133,-0.07257068,0.0041451454,0.010810912,5.5158453,0.009950321,0.011327267,0.020000648,6
6,246.8,0.87,50.2,0.96,94.3,0.92,251.2,1.01,163.4,0.97,310.4,1.49,76.2,1.07,143.1,1.24,85.3,1.12,37.2,1.13,544.0,0.98,,22.2,0.4,5.5085783,-0.13926207,-0.035817623,0.0,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,3.9160151,0.009049892,3.1000924,-0.040822018,0.010010242,0.010471288,4.546481,-0.08338159,-0.02513218,-0.010810912,5.5262494,0.009950321,0.01040411,0.0,7
7,259.9,0.86,54.2,0.97,97.1,0.92,259.3,1.01,164.4,0.97,340.6,1.54,81.2,1.09,149.5,1.24,85.9,1.13,40.5,1.13,528.5,0.97,,22.5,0.4,5.560297,-0.15082288,0.05171871,-0.011560813,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.992681,0.013422966,3.1135154,-0.030459179,0.07666588,0.010362839,4.5757413,-0.08338159,0.029260159,0.0,5.557986,0.009950321,0.031736374,0.0,8
8,264.4,0.88,55.2,0.98,99.1,0.94,261.8,1.02,166.5,0.99,348.3,1.54,84.9,1.1,150.9,1.26,87.9,1.16,41.2,1.15,581.1,1.0,,23.0,0.4,5.577463,-0.12783338,0.017166138,0.022989497,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.010963,0.021978855,3.1354942,-0.020202687,0.018281937,0.010256492,4.5961294,-0.061875407,0.020388126,0.021506187,5.5675807,0.01980261,0.009594917,0.009852288,9
9,268.5,0.89,56.8,1.01,104.2,0.95,263.4,1.03,170.1,0.99,350.8,1.54,89.3,1.1,152.9,1.27,90.1,1.16,41.6,1.16,614.2,1.01,,23.0,0.4,5.5928507,-0.11653383,0.015387535,0.0112995505,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0395365,0.0,3.1354942,0.009950321,0.028573513,0.030153008,4.646312,-0.051293306,0.05018282,0.010582101,5.5736737,0.029558774,0.006093025,0.009756165,10
10,270.3,0.89,55.9,0.97,106.0,0.95,265.5,1.05,172.9,1.03,341.3,1.45,91.2,1.11,153.6,1.26,90.7,1.19,42.0,1.16,635.8,1.02,,23.1,0.4,5.5995326,-0.11653383,0.006681919,0.0,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0235643,0.004338503,3.1398327,-0.030459179,-0.015972137,-0.040409498,4.6634393,-0.051293306,0.017127037,0.0,5.581615,0.04879012,0.007941246,0.019231346,11
11,270.9,0.92,58.2,0.99,106.6,0.96,270.4,1.04,176.0,1.05,354.8,1.51,84.7,1.12,153.8,1.29,91.9,1.2,42.0,1.15,700.9,1.02,,23.4,0.4,5.60175,-0.08338159,0.0022172928,0.033152238,-0.9162907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.063885,0.0129032135,3.152736,-0.010050327,0.040320873,0.020408852,4.6690836,-0.040822018,0.0056443214,0.010471288,5.599902,0.039220676,0.018287182,-0.009569444,12
