,salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
0,6329213.0,38407380.0,1,12,1705,6705,1076,1939,320,67,231,836,289.0,619,948,314,989,0,1,0,0,0,0,9,0,0,5772110.0,1547725.0,893422.0,18840,142.08333,19.25,558.75,75.0,46.025352,69.666664,26.166666,89.666664,70.27797,18.844229,10.877804,0.0,0.0,70.27797,0.0,0.0,15.6606865
1,3375000.0,38407380.0,1,8,918,3333,407,863,156,38,73,342,259.0,137,582,133,968,0,0,1,0,0,0,2,0,1,5772110.0,1547725.0,893422.0,18840,114.75,9.125,416.625,25.0,39.423943,42.75,16.625,50.875,70.27797,18.844229,10.877804,18.844229,0.0,0.0,10.877804,0.0,15.031906
2,3100000.0,38407380.0,1,5,751,2807,370,840,148,18,46,355,299.0,341,228,41,994,1,0,0,0,0,0,0,0,0,5772110.0,1547725.0,893422.0,18840,150.2,9.2,561.4,0.0,41.396507,71.0,8.2,74.0,70.27797,18.844229,10.877804,0.0,0.0,70.27797,0.0,0.0,14.946913
3,2900000.0,38407380.0,1,8,1056,3337,405,816,143,18,107,421,245.0,306,653,15,971,0,0,0,1,0,0,0,0,0,5772110.0,1547725.0,893422.0,18840,132.0,13.375,417.125,0.0,39.43662,52.625,1.875,50.625,70.27797,18.844229,10.877804,0.0,0.0,70.27797,0.0,0.0,14.880221
4,1650000.0,38407380.0,1,12,1196,3603,437,928,19,16,124,541,258.0,316,725,32,977,0,0,0,0,1,0,0,0,1,5772110.0,1547725.0,893422.0,18840,99.666664,10.333333,300.25,0.0,37.496532,45.083332,2.6666667,36.416668,70.27797,18.844229,10.877804,18.844229,0.0,0.0,10.877804,0.0,14.316286
5,700000.0,38407380.0,1,17,2032,7489,1136,2145,270,142,40,574,286.0,416,1098,660,987,0,0,0,0,1,0,2,0,1,5772110.0,1547725.0,893422.0,18840,119.52941,2.3529413,440.52942,11.764706,37.641876,33.764706,38.82353,66.82353,70.27797,18.844229,10.877804,18.844229,0.0,0.0,10.877804,0.0,13.458836
6,695000.0,38407380.0,1,4,394,1293,179,303,51,13,37,141,234.0,77,358,67,965,0,0,0,0,1,0,0,1,0,5772110.0,1547725.0,893422.0,18840,98.5,9.25,323.25,0.0,37.973705,35.25,16.75,44.75,70.27797,18.844229,10.877804,0.0,10.877804,0.0,0.0,18.844229,13.451667
7,275000.0,38407380.0,1,10,432,1005,78,240,35,5,13,95,239.0,39,140,1,990,0,0,0,0,0,1,0,0,0,5772110.0,1547725.0,893422.0,18840,43.2,1.3,100.5,0.0,32.238808,9.5,0.1,7.8,70.27797,18.844229,10.877804,0.0,0.0,70.27797,0.0,0.0,12.524527
8,235000.0,38407380.0,1,4,223,491,37,118,16,5,1,29,240.0,23,62,6,963,0,0,1,0,0,0,0,1,0,5772110.0,1547725.0,893422.0,18840,55.75,0.25,122.75,0.0,29.9389,7.25,1.5,9.25,70.27797,18.844229,10.877804,0.0,10.877804,0.0,0.0,18.844229,12.367341
9,212500.0,38407380.0,1,3,156,434,45,116,16,0,10,59,267.0,18,48,6,971,0,0,0,0,1,0,0,0,1,5772110.0,1547725.0,893422.0,18840,52.0,3.3333333,144.66667,0.0,37.32719,19.666666,2.0,15.0,70.27797,18.844229,10.877804,18.844229,0.0,0.0,10.877804,0.0,12.266697
