,state,year,admnrev,daysfrst,daysscnd
0,AL,85,0,0,0
1,AL,90,0,0,0
2,AL,95,0,0,0
3,AK,85,1,30,365
4,AK,90,1,30,365
5,AK,95,1,30,365
6,AZ,85,0,0,0
7,AZ,90,1,30,90
8,AZ,95,1,30,90
9,AR,85,0,0,0
10,AR,90,0,0,0
11,AR,95,0,0,0
12,CA,85,0,0,0
13,CA,90,1,120,365
14,CA,95,1,30,365
15,CO,85,1,365,365
16,CO,90,1,90,365
17,CO,95,1,90,365
18,CT,85,0,0,0
19,CT,90,1,90,365
20,CT,95,1,0,365
21,DE,85,1,90,365
22,DE,90,1,90,365
23,DE,95,1,90,365
24,DC,85,1,0,0
25,DC,90,1,0,0
26,DC,95,1,0,0
27,FL,85,0,0,0
28,FL,90,1,30,365
29,FL,95,1,0,365
30,GA,85,0,0,0
31,GA,90,0,0,0
32,GA,95,1,0,120
33,HI,85,0,0,0
34,HI,90,0,0,0
35,HI,95,1,30,365
36,ID,85,0,0,0
37,ID,90,0,0,0
38,ID,95,1,30,365
39,IL,85,0,0,0
40,IL,90,1,0,90
41,IL,95,1,0,90
42,IN,85,1,180,180
43,IN,90,1,180,180
44,IN,95,1,180,180
45,IA,85,1,0,0
46,IA,90,1,0,365
47,IA,95,1,0,365
48,KS,85,0,0,0
49,KS,90,1,30,365
50,KS,95,1,30,365
51,KY,85,0,0,0
52,KY,90,0,0,0
53,KY,95,0,0,0
54,LA,85,1,30,365
55,LA,90,1,30,365
56,LA,95,1,30,365
57,ME,85,1,45,365
58,ME,90,1,0,0
59,ME,95,1,0,0
60,MD,85,0,0,0
61,MD,90,1,0,90
62,MD,95,1,0,90
63,MA,85,0,0,0
64,MA,90,0,0,0
65,MA,95,1,90,90
66,MI,85,0,0,0
67,MI,90,0,0,0
68,MI,95,0,0,0
69,MN,85,1,0,0
70,MN,90,1,0,0
71,MN,95,1,15,90
72,MS,85,1,0,0
73,MS,90,1,0,0
74,MS,95,1,0,0
75,MO,85,1,365,365
76,MO,90,1,0,365
77,MO,95,1,30,365
78,MT,85,0,0,0
79,MT,90,0,0,0
80,MT,95,0,0,0
81,NE,85,0,0,0
82,NE,90,0,0,0
83,NE,95,1,30,365
84,NV,85,1,0,0
85,NV,90,1,90,90
86,NV,95,1,90,90
87,NH,85,0,0,0
88,NH,90,0,0,0
89,NH,95,1,182,730
90,NJ,85,0,0,0
91,NJ,90,0,0,0
92,NJ,95,0,0,0
93,NM,85,1,90,365
94,NM,90,1,90,365
95,NM,95,1,90,365
96,NY,85,0,0,0
97,NY,90,0,0,0
98,NY,95,0,0,0
99,NC,85,1,0,10
100,NC,90,1,10,10
101,NC,95,1,10,10
102,ND,85,1,90,365
103,ND,90,1,30,365
104,ND,95,1,30,365
105,OH,85,0,0,0
106,OH,90,0,0,0
107,OH,95,1,15,30
108,OK,85,1,0,0
109,OK,90,1,30,365
110,OK,95,1,0,0
111,OR,85,1,0,90
112,OR,90,1,30,365
113,OR,95,1,30,365
114,PA,85,0,0,0
115,PA,90,0,0,0
116,PA,95,0,0,0
117,RI,85,0,0,0
118,RI,90,0,0,0
119,RI,95,0,0,0
120,SC,85,0,0,0
121,SC,90,0,0,0
122,SC,95,0,0,0
123,SD,85,0,0,0
124,SD,90,0,0,0
125,SD,95,0,0,0
126,TN,85,0,0,0
127,TN,90,0,0,0
128,TN,95,0,0,0
129,TX,85,0,0,0
130,TX,90,0,0,0
131,TX,95,1,0,90
132,UT,85,1,90,120
133,UT,90,1,90,120
134,UT,95,1,90,120
135,VT,85,0,0,0
136,VT,90,1,90,540
137,VT,95,1,90,540
138,VA,85,0,0,0
139,VA,90,0,0,0
140,VA,95,1,7,7
141,WA,85,1,30,365
142,WA,90,0,0,0
143,WA,95,1,0,730
144,WV,85,1,90,1825
145,WV,90,1,90,1825
146,WV,95,1,30,365
147,WI,85,0,0,0
148,WI,90,1,15,15
149,WI,95,1,0,0
150,WY,85,1,0,0
151,WY,90,1,0,90
152,WY,95,1,0,90
