,inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
0,1,1610,1,0,32,12,3.354,2.65,2708,34,12,4.0288,16310.0,0.7215,12,7,5.0,0,14,10.91006,1.2101537,196
1,1,1656,0,2,30,12,1.3889,2.65,2310,30,9,8.4416,21800.0,0.6615,7,7,11.0,1,5,19.49998,0.3285121,25
2,1,1980,1,3,35,12,4.5455,4.04,3072,40,12,3.5807,21040.0,0.6915,12,7,5.0,0,15,12.03991,1.5141377,225
3,1,456,0,3,34,12,1.0965,3.25,1920,53,10,3.5417,7300.0,0.7815,7,7,5.0,0,6,6.799996,0.09212332,36
4,1,1568,1,2,31,14,4.5918,3.6,2000,32,12,10.0,27300.0,0.6215,12,14,9.5,1,7,20.100058,1.5242722,49
5,1,2032,0,0,54,12,4.7421,4.7,1040,57,11,6.7106,19495.0,0.6915,14,7,7.5,1,33,9.859054,1.55648,1089
6,1,1440,0,2,37,16,8.3333,5.95,2670,37,12,3.4277,21152.0,0.6915,14,7,5.0,0,11,9.152048,2.1202595,121
7,1,1020,0,0,54,12,7.8431,9.98,4120,53,8,2.5485,18900.0,0.6915,3,3,5.0,0,35,10.900038,2.0596342,1225
8,1,1458,0,2,48,12,2.1262,0.0,1995,52,4,4.2206,20405.0,0.7515,7,7,3.0,0,24,17.305,0.75433636,576
9,1,1600,0,2,39,12,4.6875,4.15,2100,43,12,5.7143,20425.0,0.6915,7,7,5.0,0,21,12.925,1.5448993,441
10,1,1969,0,1,33,12,4.063,4.3,2450,34,12,9.7959,32300.0,0.5815,12,3,5.0,0,15,24.299953,1.4019216,225
11,1,1960,0,1,42,11,4.5918,4.58,2375,47,14,8.0,28700.0,0.6215,14,7,5.0,0,14,19.700071,1.5242722,196
12,1,240,1,2,30,12,2.0833,0.0,2830,33,16,5.3004,15500.0,0.7215,16,16,5.0,0,0,15.000008,0.73395324,0
13,1,997,0,2,43,12,2.2668,3.5,3317,46,12,4.3413,16860.0,0.7215,10,10,7.5,1,14,14.6,0.8183691,196
14,1,1848,0,1,43,10,3.6797,3.38,2024,45,17,10.87,31431.0,0.5815,7,7,7.5,1,6,24.630915,1.3028312,36
15,1,1224,0,3,35,11,1.3472,0.0,1694,38,12,9.1499,19180.0,0.7215,16,10,7.5,1,9,17.531027,0.29802838,81
16,1,1400,0,2,43,12,3.2143,4.0,2156,45,12,6.1224,18600.0,0.6915,10,7,7.5,1,20,14.09998,1.1676096,400
17,1,640,0,5,39,12,5.175,2.25,2250,40,12,6.1498,19151.0,0.7215,12,12,7.5,1,6,15.839,1.6438394,36
18,1,2000,0,0,45,12,2.0,2.3,2024,51,11,6.917,18100.0,0.6915,7,7,5.0,1,23,14.1,0.6931472,529
19,1,1324,0,4,35,12,7.5529,3.94,2123,40,10,4.7103,20300.0,0.6915,12,7,5.0,0,9,10.299961,2.0219316,81
20,1,2215,0,2,42,16,3.5052,3.3,4160,48,16,3.131,30419.0,0.6215,10,16,7.5,0,5,22.654982,1.2542475,25
21,1,1680,0,0,30,12,3.5714,3.8,2000,35,12,4.0,14090.0,0.7215,12,10,3.0,0,11,8.090048,1.2729577,121
22,1,1600,0,0,48,13,3.25,3.26,2420,52,17,7.2227,22679.0,0.6615,7,3,5.0,1,18,17.479,1.178655,324
23,1,800,0,0,45,12,3.25,2.2,1150,53,17,7.9652,12160.0,0.7215,7,7,11.0,0,15,9.56,1.178655,225
24,1,1955,1,1,31,12,2.1545,2.3,2024,31,12,4.0884,12487.0,0.7515,12,7,5.0,1,4,8.274953,0.7675587,16
25,1,660,0,2,43,17,3.7879,0.0,1904,43,17,14.181,29850.0,0.5815,16,14,9.5,1,21,27.349985,1.3318118,441
26,1,525,0,0,59,12,4.0,3.18,2448,53,16,6.5359,18100.0,0.6915,3,7,9.5,1,31,16.0,1.3862944,961
