,id,state,year,mrdrte,exec,unem,d90,d93,cmrdrte,cexec,cunem,cexec_1,cunem_1
0,1,AL,87,9.3,2,7.8,0,0,,,,,
1,1,AL,90,11.6,5,6.8,1,0,2.3000002,3.0,-1.0,,
2,1,AL,93,11.6,2,7.5,0,1,0.0,-3.0,0.6999998,3.0,-1.0
3,2,AK,87,10.1,0,10.8,0,0,,,,,
4,2,AK,90,7.5,0,6.9,1,0,-2.6000004,0.0,-3.9,,
5,2,AK,93,9.0,0,7.6,0,1,1.5,0.0,0.6999998,0.0,-3.9
6,3,AZ,87,7.5,0,6.2,0,0,,,,,
7,3,AZ,90,7.7,0,5.3,1,0,0.19999981,0.0,-0.8999996,,
8,3,AZ,93,8.6,3,6.2,0,1,0.9000006,3.0,0.8999996,0.0,-0.8999996
9,4,AR,87,7.6,0,8.1,0,0,,,,,
10,4,AR,90,10.3,2,6.9,1,0,2.7000003,2.0,-1.2000003,,
11,4,AR,93,10.2,2,6.2,0,1,-0.10000038,0.0,-0.7000003,2.0,-1.2000003
12,5,CA,87,10.6,0,5.8,0,0,,,,,
13,5,CA,90,11.9,0,5.6,1,0,1.2999992,0.0,-0.20000029,,
14,5,CA,93,13.1,2,9.2,0,1,1.2000008,2.0,3.6,0.0,-0.20000029
15,6,CO,87,5.8,0,7.7,0,0,,,,,
16,6,CO,90,4.2,0,4.9,1,0,-1.6000004,0.0,-2.7999997,,
17,6,CO,93,5.8,0,5.2,0,1,1.6000004,0.0,0.2999997,0.0,-2.7999997
18,7,CT,87,4.9,0,3.3,0,0,,,,,
19,7,CT,90,5.1,0,5.1,1,0,0.19999981,0.0,1.8,,
20,7,CT,93,6.3,0,6.2,0,1,1.2000003,0.0,1.0999999,0.0,1.8
21,8,DE,87,5.1,0,3.2,0,0,,,,,
22,8,DE,90,5.0,0,5.1,1,0,-0.099999905,0.0,1.8999999,,
23,8,DE,93,5.0,0,5.3,0,1,0.0,0.0,0.20000029,0.0,1.8999999
24,9,DC,87,36.2,0,6.3,0,0,,,,,
25,9,DC,90,77.8,0,6.6,1,0,41.600002,0.0,0.2999997,,
26,9,DC,93,78.5,0,8.5,0,1,0.69999695,0.0,1.9000001,0.0,0.2999997
27,10,FL,87,11.4,7,5.3,0,0,,,,,
28,10,FL,90,10.7,8,5.9,1,0,-0.6999998,1.0,0.5999999,,
29,10,FL,93,8.9,7,7.0,0,1,-1.8000002,-1.0,1.0999999,1.0,0.5999999
30,11,GA,87,11.8,9,5.5,0,0,,,,,
31,11,GA,90,11.8,2,5.4,1,0,0.0,-7.0,-0.099999905,,
32,11,GA,93,11.4,3,5.8,0,1,-0.40000057,1.0,0.4000001,-7.0,-0.099999905
33,12,HI,87,4.8,0,3.8,0,0,,,,,
34,12,HI,90,4.0,0,2.8,1,0,-0.8000002,0.0,-1.0,,
35,12,HI,93,3.8,0,4.2,0,1,-0.20000005,0.0,1.3999999,0.0,-1.0
36,13,ID,87,3.1,0,8.0,0,0,,,,,
37,13,ID,90,2.7,0,5.8,1,0,-0.39999986,0.0,-2.1999998,,
38,13,ID,93,2.9,0,6.1,0,1,0.20000005,0.0,0.2999997,0.0,-2.1999998
39,14,IL,87,8.3,0,7.4,0,0,,,,,
40,14,IL,90,10.3,0,6.2,1,0,2.0,0.0,-1.2000003,,
41,14,IL,93,11.4,0,7.4,0,1,1.0999994,0.0,1.2000003,0.0,-1.2000003
42,15,IN,87,5.6,1,6.4,0,0,,,,,
43,15,IN,90,6.2,0,5.3,1,0,0.5999999,-1.0,-1.0999999,,
44,15,IN,93,7.5,0,5.3,0,1,1.3000002,0.0,0.0,-1.0,-1.0999999
45,16,IA,87,2.1,0,5.5,0,0,,,,,
