,price,return,return_1,t,price_1,price_2,cprice,cprice_1
0,49.75,,,1,,,,
1,51.44,3.3969822,,2,49.75,,1.6899986,
2,52.05,1.1858488,3.3969822,3,51.44,49.75,0.6100006,1.6899986
3,52.28,0.44188192,1.1858488,4,52.05,51.44,0.22999954,0.6100006
4,54.24,3.7490492,0.44188192,5,52.28,52.05,1.9600029,0.22999954
5,53.76,-0.8849619,3.7490492,6,54.24,52.28,-0.48000336,1.9600029
6,53.39,-0.6882421,-0.8849619,7,53.76,54.24,-0.36999893,-0.48000336
7,54.46,2.00412,-0.6882421,8,53.39,53.76,1.0699997,-0.36999893
8,53.51,-1.744401,2.00412,9,54.46,53.39,-0.95000076,1.0699997
9,53.97,0.8596578,-1.744401,10,53.51,54.46,0.4600029,-0.95000076
10,53.91,-0.11117542,0.8596578,11,53.97,53.51,-0.060001373,0.4600029
11,55.15,2.300133,-0.11117542,12,53.91,53.97,1.2400017,-0.060001373
12,54.8,-0.63463694,2.300133,13,55.15,53.91,-0.3500023,1.2400017
13,54.5,-0.54744387,-0.63463694,14,54.8,55.15,-0.29999924,-0.3500023
14,53.35,-2.1100945,-0.54744387,15,54.5,54.8,-1.1500015,-0.29999924
15,55.0,3.0927866,-2.1100945,16,53.35,54.5,1.6500015,-1.1500015
16,54.35,-1.181821,3.0927866,17,55.0,53.35,-0.6500015,1.6500015
17,53.7,-1.195948,-1.181821,18,54.35,55.0,-0.6499977,-0.6500015
18,54.74,1.936687,-1.195948,19,53.7,54.35,1.0400009,-0.6499977
19,53.91,-1.5162619,1.936687,20,54.74,53.7,-0.83000183,1.0400009
20,52.91,-1.8549434,-1.5162619,21,53.91,54.74,-1.0,-0.83000183
21,53.33,0.7938045,-1.8549434,22,52.91,53.91,0.42000198,-1.0
22,52.62,-1.3313386,0.7938045,23,53.33,52.91,-0.7100029,0.42000198
23,54.36,3.3067307,-1.3313386,24,52.62,53.33,1.7400017,-0.7100029
24,55.03,1.2325206,3.3067307,25,54.36,52.62,0.66999817,1.7400017
25,55.71,1.2356902,1.2325206,26,55.03,54.36,0.6800003,0.66999817
26,55.48,-0.41285145,1.2356902,27,55.71,55.03,-0.22999954,0.6800003
27,56.61,2.036772,-0.41285145,28,55.48,55.71,1.1300011,-0.22999954
28,55.5,-1.9607854,2.036772,29,56.61,55.48,-1.1100006,1.1300011
29,55.07,-0.7747753,-1.9607854,30,55.5,56.61,-0.4300003,-1.1100006
30,55.78,1.2892666,-0.7747753,31,55.07,55.5,0.7099991,-0.4300003
31,55.59,-0.3406214,1.2892666,32,55.78,55.07,-0.18999863,0.7099991
32,55.85,0.467707,-0.3406214,33,55.59,55.78,0.25999832,-0.18999863
33,54.52,-2.3813753,0.467707,34,55.85,55.59,-1.329998,0.25999832
34,55.5,1.7975047,-2.3813753,35,54.52,55.85,0.97999954,-1.329998
35,56.01,0.91891587,1.7975047,36,55.5,54.52,0.5099983,0.97999954
36,55.67,-0.60703474,0.91891587,37,56.01,55.5,-0.34000015,0.5099983
37,57.35,3.017784,-0.60703474,38,55.67,56.01,1.6800003,-0.34000015
38,56.3,-1.8308618,3.017784,39,57.35,55.67,-1.0499992,1.6800003
39,55.04,-2.2380078,-1.8308618,40,56.3,57.35,-1.2599983,-1.0499992
40,54.52,-0.94476825,-2.2380078,41,55.04,56.3,-0.52000046,-1.2599983
41,54.33,-0.34849346,-0.94476825,42,54.52,55.04,-0.18999863,-0.52000046
42,54.32,-0.01840997,-0.34849346,43,54.33,54.52,-0.010002136,-0.18999863
43,54.38,0.11045908,-0.01840997,44,54.32,54.33,0.060001373,-0.010002136
