,year,pcrgdp,unem,cunem
0,1959,7.1,5.5,
1,1960,2.5,5.5,0.0
2,1961,2.3,6.7,1.1999998
3,1962,6.1,5.5,-1.1999998
4,1963,4.4,5.7,0.19999981
5,1964,5.8,5.2,-0.5
6,1965,6.4,4.5,-0.6999998
7,1966,6.5,3.8,-0.70000005
8,1967,2.5,3.8,0.0
9,1968,4.8,3.6,-0.20000005
10,1969,3.1,3.5,-0.099999905
11,1970,0.2,4.9,1.4000001
12,1971,3.4,5.9,1.0
13,1972,5.3,5.6,-0.3000002
14,1973,5.8,4.9,-0.6999998
15,1974,-0.5,5.6,0.6999998
16,1975,-0.2,8.5,2.9
17,1976,5.3,7.7,-0.8000002
18,1977,4.6,7.1,-0.5999999
19,1978,5.6,6.1,-1.0
20,1979,3.2,5.8,-0.2999997
21,1980,-0.2,7.1,1.2999997
22,1981,2.5,7.6,0.5
23,1982,-1.9,9.7,2.1
24,1983,4.5,9.6,-0.09999943
25,1984,7.2,7.5,-2.1000004
26,1985,4.1,7.2,-0.3000002
27,1986,3.5,7.0,-0.19999981
28,1987,3.4,6.2,-0.8000002
29,1988,4.1,5.5,-0.6999998
30,1989,3.5,5.3,-0.19999981
31,1990,1.9,5.6,0.2999997
32,1991,-0.2,6.8,1.2000003
33,1992,3.3,7.5,0.6999998
34,1993,2.7,6.9,-0.5999999
35,1994,4.0,6.1,-0.8000002
36,1995,2.5,5.6,-0.5
37,1996,3.7,5.4,-0.19999981
38,1997,4.5,4.9,-0.5
39,1998,4.2,4.5,-0.4000001
40,1999,4.5,4.2,-0.3000002
41,2000,3.7,4.0,-0.19999981
42,2001,0.8,4.8,0.8000002
43,2002,1.6,5.8,1.0
44,2003,2.5,6.0,0.19999981
45,2004,3.9,5.5,-0.5
46,2005,3.2,5.1,-0.4000001
