,open,inf,pcinc,land,oil,good,lpcinc,lland,lopen,linf,opendec,linfdec
0,31.4,9.9,1998,919595.0,0,0,7.599902,13.7316885,3.4468079,2.2925348,0.314,-2.3126354
1,9.4,117.0,4342,1072067.0,0,1,8.37609,13.885099,2.2407095,4.762174,0.094,0.15700375
2,16.7,9.5,8349,2966150.0,0,1,9.029897,14.902776,2.8154087,2.2512918,0.16700001,-2.3538785
3,35.6,5.0,8230,32375.0,0,1,9.015541,10.385141,3.5723455,1.609438,0.35599998,-2.9957323
4,91.0,4.8,9185,240.0,1,0,9.125327,5.480639,4.5108595,1.5686159,0.91,-3.0365543
5,17.0,12.9,540,55598.0,0,0,6.291569,10.925902,2.8332133,2.5572274,0.17,-2.0479429
6,72.8,10.7,4454,166.0,0,0,8.401558,5.1119876,4.287716,2.3702438,0.72800004,-2.2349265
7,58.8,6.0,9228,11781.0,0,1,9.129997,9.374244,4.074142,1.7917595,0.588,-2.8134108
8,38.9,10.3,534,43483.0,0,0,6.280396,10.680125,3.6609943,2.332144,0.38900003,-2.2730262
9,23.2,206.7,1529,424162.0,0,1,7.3323693,12.9578705,3.1441524,5.3312683,0.23200001,0.72609824
10,66.4,10.1,1477,231800.0,0,1,7.297768,12.35363,4.1956973,2.3125355,0.66400003,-2.2926347
11,7.4,74.1,3356,3286470.0,0,1,8.1185055,15.005324,2.00148,4.3054156,0.074,-0.29975468
12,40.7,8.8,358,105870.0,0,0,5.880533,11.569967,3.706228,2.1747518,0.407,-2.4304185
13,8.9,5.5,483,261220.0,0,0,6.1800165,12.473118,2.1860511,1.704748,0.088999994,-2.900422
14,19.5,8.3,333,10747.0,0,0,5.8081427,9.282382,2.9704144,2.1162555,0.195,-2.4889147
15,24.3,10.2,875,183569.0,0,0,6.774224,12.120346,3.1904764,2.3223877,0.24299999,-2.2827826
16,24.5,7.1,11332,3851809.0,0,1,9.335386,15.164054,3.198673,1.9600948,0.245,-2.6450753
