,id,pyears,prftshr,choice,female,married,age,educ,finc25,finc35,finc50,finc75,finc100,finc101,wealth89,black,stckin89,irain89,pctstck
0,38,1.0,0,1,0,1,64,12,0,0,1,0,0,0,77.9,0,1,1,0
1,152,6.0,1,1,1,1,56,13,0,0,0,1,0,0,154.9,0,1,1,50
2,152,25.0,1,1,0,1,56,12,0,0,0,1,0,0,154.9,0,1,1,50
3,182,20.0,1,0,1,1,63,12,1,0,0,0,0,0,232.5,0,1,1,100
4,222,35.0,0,1,0,1,67,12,0,1,0,0,0,0,179.0,0,0,1,100
5,226,13.0,1,0,0,1,64,11,0,0,0,1,0,0,120.025,0,1,0,0
6,233,2.0,0,1,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
7,233,10.0,1,0,1,1,64,12,1,0,0,0,0,0,52.0,0,0,1,100
8,253,26.0,0,0,1,1,69,12,0,1,0,0,0,0,0.0,0,0,0,50
9,314,5.0,0,1,0,1,60,14,0,0,0,0,0,1,183.65,0,1,1,50
10,398,1.0,1,1,1,1,59,12,0,0,0,0,1,0,458.0,0,1,1,100
11,402,8.0,1,0,1,0,56,12,0,0,1,0,0,0,203.0,0,1,0,100
12,450,7.0,0,1,0,1,63,14,0,0,0,0,0,1,913.0,0,0,0,50
13,460,40.0,0,0,1,1,67,12,0,0,0,0,1,0,292.0,0,0,1,100
14,460,18.0,0,1,0,1,69,16,0,0,0,0,1,0,292.0,0,0,1,0
15,490,2.0,0,1,1,1,58,12,0,1,0,0,0,0,147.9,0,0,0,50
16,490,2.0,0,1,1,1,58,12,0,1,0,0,0,0,147.9,0,0,0,50
17,500,20.0,0,1,0,1,61,18,0,0,0,0,1,0,295.5,0,1,1,0
18,503,24.0,0,1,0,1,62,12,0,0,0,1,0,0,224.2,0,0,1,100
19,515,5.0,0,0,1,1,59,16,0,0,1,0,0,0,254.9,0,1,1,100
20,530,12.0,0,0,1,1,55,12,0,0,0,0,1,0,90.2,0,0,1,50
21,587,15.0,0,1,0,1,65,18,0,0,0,0,0,1,340.0,0,0,0,0
22,589,10.0,0,1,1,0,57,12,0,1,0,0,0,0,188.5,0,0,0,100
23,614,9.0,0,0,1,0,69,12,0,0,0,0,0,0,15.0,1,0,0,100
24,626,9.0,0,1,1,1,59,12,0,1,0,0,0,0,172.0,1,1,1,50
25,734,10.0,0,0,1,0,63,16,1,0,0,0,0,0,206.0,1,0,0,0
26,787,20.0,0,0,1,0,56,18,0,0,0,0,0,1,441.0,0,1,0,50
27,888,10.0,0,0,1,1,63,12,0,0,1,0,0,0,219.55,0,0,1,50
28,888,10.0,0,0,0,1,67,12,0,0,1,0,0,0,219.55,0,0,1,0
29,910,6.0,0,0,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,0
30,910,17.0,0,1,1,0,55,14,0,1,0,0,0,0,142.0,1,0,0,100
31,953,20.0,0,1,0,1,68,12,0,0,1,0,0,0,672.2,0,1,1,0
32,953,6.0,0,1,0,1,68,12,0,0,1,0,0,0,672.2,0,1,1,50
33,1088,20.0,0,0,0,1,68,18,1,0,0,0,0,0,101.0,0,0,1,0
34,1101,7.0,1,0,1,0,63,12,1,0,0,0,0,0,120.0,0,1,0,100
35,1104,2.0,0,1,1,0,60,17,0,0,1,0,0,0,25.5,0,0,1,0
36,1140,26.0,1,1,0,1,64,12,0,1,0,0,0,0,150.0,0,0,0,50
37,1173,2.0,0,0,1,1,57,12,1,0,0,0,0,0,106.3,0,1,1,100
38,1190,,0,0,1,1,55,14,0,0,1,0,0,0,105.0,0,0,0,50
39,1191,10.0,0,1,0,1,59,12,0,1,0,0,0,0,0.0,0,0,0,50
40,1230,3.0,0,0,1,0,59,12,1,0,0,0,0,0,102.056,0,1,1,50
41,1279,2.0,0,1,1,0,55,12,0,0,1,0,0,0,90.0,0,0,1,50
42,1323,35.0,0,0,1,0,64,17,0,1,0,0,0,0,64.819,1,0,1,50
43,1360,10.0,0,1,0,1,66,12,0,1,0,0,0,0,0.0,0,0,0,0
44,1401,2.0,1,1,1,0,57,12,0,0,0,0,0,1,1.5,0,0,0,0
45,1542,5.0,0,1,1,1,69,12,1,0,0,0,0,0,302.0,0,1,1,50
46,1549,12.0,0,0,1,1,59,18,0,0,0,0,1,0,175.0,1,0,1,50
47,1549,15.0,0,0,0,1,61,18,0,0,0,0,1,0,175.0,1,0,1,50
48,1576,6.0,0,1,0,1,60,16,0,0,0,1,0,0,136.0,0,0,1,50
49,1577,3.0,0,1,1,0,60,8,1,0,0,0,0,0,1.6,0,0,0,0
50,1591,25.0,1,0,0,1,73,12,0,0,1,0,0,0,165.0,0,0,0,0
51,1597,,0,1,0,1,61,16,0,0,0,0,0,1,-579.997,0,1,1,50
52,1603,6.0,0,1,1,0,64,15,0,0,0,0,1,0,248.0,0,1,1,100
53,1658,3.0,0,1,1,1,61,12,1,0,0,0,0,0,306.8,0,0,1,0
54,1658,3.0,0,1,0,1,62,11,1,0,0,0,0,0,306.8,0,0,1,0
55,1667,1.0,0,1,1,1,56,12,1,0,0,0,0,0,227.0,0,0,1,0
56,1670,12.0,0,1,0,1,59,12,0,1,0,0,0,0,261.6,0,1,1,100
57,1671,20.0,0,0,0,1,68,8,1,0,0,0,0,0,133.0,0,1,1,0
58,1672,14.0,0,1,1,0,59,16,1,0,0,0,0,0,214.0,0,0,1,50
59,1691,6.0,1,1,0,1,65,12,0,1,0,0,0,0,68.0,0,0,0,100
60,1755,3.0,0,0,1,0,60,12,1,0,0,0,0,0,171.7,0,1,1,0
61,1757,7.0,0,0,1,0,57,12,1,0,0,0,0,0,87.0,0,0,0,50
62,1762,28.0,1,0,0,1,63,12,0,0,1,0,0,0,402.952,0,1,1,50
63,1768,11.0,0,0,1,1,55,12,0,1,0,0,0,0,369.4,0,0,0,100
64,1787,10.0,1,0,0,1,64,11,0,1,0,0,0,0,38.5,0,0,0,100
65,1809,17.0,0,0,0,1,61,18,0,0,0,0,1,0,79.8,0,0,0,50
66,1810,15.0,0,1,1,1,57,9,0,0,0,0,1,0,70.0,0,0,0,50
67,1810,8.0,0,1,0,1,61,18,0,0,0,0,1,0,70.0,0,0,0,50
68,1824,2.0,0,1,0,1,62,18,0,0,0,0,1,0,711.997,0,1,0,50
69,1833,16.0,1,1,0,1,57,14,0,0,1,0,0,0,98.0,0,0,0,100
70,1935,13.0,0,1,1,1,57,12,0,0,0,1,0,0,87.5,0,0,1,0
71,1947,5.0,0,1,1,1,60,12,0,1,0,0,0,0,0.0,0,0,0,100
72,1965,1.0,0,1,1,1,56,12,0,0,1,0,0,0,120.5,0,0,1,100
73,1995,6.0,0,1,0,1,55,18,0,0,0,0,1,0,5.7,0,1,0,50
74,2012,25.0,0,1,0,1,63,16,0,0,0,1,0,0,525.0,0,1,1,0
75,2034,2.0,0,1,1,1,62,12,0,1,0,0,0,0,483.0,0,0,1,0
76,2082,4.0,1,1,0,1,64,12,0,0,1,0,0,0,98.7,0,0,0,50
77,2082,45.0,1,1,0,1,64,12,0,0,1,0,0,0,98.7,0,0,0,50
78,2142,2.0,0,1,1,0,56,12,1,0,0,0,0,0,2.0,0,0,0,0
79,2148,20.0,0,1,0,1,60,14,0,0,1,0,0,0,180.4,0,1,0,50
80,2190,38.0,0,0,0,1,56,15,0,0,0,0,1,0,110.0,0,0,0,100
81,2190,38.0,1,0,0,1,56,15,0,0,0,0,1,0,110.0,0,0,0,100
82,2198,13.0,1,1,1,1,64,14,1,0,0,0,0,0,79.45,0,0,1,0
83,2204,1.0,0,1,1,1,55,12,0,0,0,1,0,0,314.0,0,1,1,50
84,2204,6.0,0,1,1,1,55,12,0,0,0,1,0,0,314.0,0,1,1,50
85,2265,3.0,0,1,1,0,55,16,0,0,1,0,0,0,42.0,0,0,0,100
86,2319,15.0,0,1,1,0,64,8,1,0,0,0,0,0,47.4,0,0,1,0
87,2324,7.0,0,1,1,1,68,14,0,0,0,0,0,0,208.4,0,1,1,50
88,2359,22.0,0,0,1,1,65,14,0,0,0,0,0,0,21.0,0,0,0,0
89,2373,23.0,0,1,0,1,72,18,0,1,0,0,0,0,98.9,0,0,0,50
90,2382,6.0,1,1,1,1,58,12,0,0,0,0,0,0,33.88,0,1,0,100
91,2382,3.0,0,1,1,1,58,12,0,0,0,0,0,0,33.88,0,1,0,100
92,2439,3.0,0,0,1,0,56,12,0,1,0,0,0,0,96.0,0,0,0,50
93,2442,15.0,0,0,1,0,57,9,1,0,0,0,0,0,66.548,0,0,0,0
94,2443,5.0,0,0,1,1,59,14,1,0,0,0,0,0,42.46,1,1,1,0
95,2453,27.0,0,1,1,0,63,12,0,0,0,0,0,0,105.2,0,1,0,100
96,2512,12.0,0,1,1,1,59,18,0,0,0,0,1,0,370.0,0,0,0,50
97,2512,12.0,0,0,1,1,59,18,0,0,0,0,1,0,370.0,0,0,0,50
98,2513,13.0,0,1,1,0,57,12,1,0,0,0,0,0,0.0,1,0,0,100
99,2516,14.0,0,0,1,0,61,12,1,0,0,0,0,0,25.0,1,0,0,0
100,2539,18.0,0,0,1,1,56,16,0,0,1,0,0,0,265.0,0,0,0,50
101,2539,18.0,0,0,0,1,58,16,0,0,1,0,0,0,265.0,0,0,0,50
102,2555,9.0,0,1,1,0,56,12,0,0,1,0,0,0,-3.8,1,0,0,100
103,2607,24.0,0,0,0,1,65,12,0,0,1,0,0,0,48.37,1,0,0,50
104,2615,6.0,0,1,1,0,55,12,0,0,1,0,0,0,15.5,0,0,0,100
105,2640,20.0,0,1,0,1,64,12,0,1,0,0,0,0,-6.3,0,0,0,100
