,year,unem,inf,inf_1,unem_1,cinf,cunem
0,1948,3.8,8.1,,,,
1,1949,5.9,-1.2,8.1,3.8,-9.3,2.1000001
2,1950,5.3,1.3,-1.2,5.9,2.5,-0.5999999
3,1951,3.3,7.9,1.3,5.3,6.6000004,-2.0000002
4,1952,3.0,1.9,7.9,3.3,-6.0,-0.29999995
5,1953,2.9,0.8,1.9,3.0,-1.0999999,-0.099999905
6,1954,5.5,0.7,0.8,2.9,-0.100000024,2.6
7,1955,4.4,-0.4,0.7,5.5,-1.1,-1.0999999
8,1956,4.1,1.5,-0.4,4.4,1.9,-0.3000002
9,1957,4.3,3.3,1.5,4.1,1.8,0.20000029
10,1958,6.8,2.8,3.3,4.3,-0.5,2.5
11,1959,5.5,0.7,2.8,6.8,-2.1,-1.3000002
12,1960,5.5,1.7,0.7,5.5,1.0,0.0
13,1961,6.7,1.0,1.7,5.5,-0.70000005,1.1999998
14,1962,5.5,1.0,1.0,6.7,0.0,-1.1999998
15,1963,5.7,1.3,1.0,5.5,0.29999995,0.19999981
16,1964,5.2,1.3,1.3,5.7,0.0,-0.5
17,1965,4.5,1.6,1.3,5.2,0.30000007,-0.6999998
18,1966,3.8,2.9,1.6,4.5,1.3000001,-0.70000005
19,1967,3.8,3.1,2.9,3.8,0.19999981,0.0
20,1968,3.6,4.2,3.1,3.8,1.0999999,-0.20000005
21,1969,3.5,5.5,4.2,3.6,1.3000002,-0.099999905
22,1970,4.9,5.7,5.5,3.5,0.19999981,1.4000001
23,1971,5.9,4.4,5.7,4.9,-1.2999997,1.0
24,1972,5.6,3.2,4.4,5.9,-1.2,-0.3000002
25,1973,4.9,6.2,3.2,5.6,2.9999998,-0.6999998
26,1974,5.6,11.0,6.2,4.9,4.8,0.6999998
27,1975,8.5,9.1,11.0,5.6,-1.8999996,2.9
28,1976,7.7,5.8,9.1,8.5,-3.3000002,-0.8000002
29,1977,7.1,6.5,5.8,7.7,0.6999998,-0.5999999
30,1978,6.1,7.6,6.5,7.1,1.0999999,-1.0
31,1979,5.8,11.3,7.6,6.1,3.7000003,-0.2999997
32,1980,7.1,13.5,11.3,5.8,2.1999998,1.2999997
33,1981,7.6,10.3,13.5,7.1,-3.1999998,0.5
34,1982,9.7,6.2,10.3,7.6,-4.1000004,2.1
35,1983,9.6,3.2,6.2,9.7,-2.9999998,-0.09999943
36,1984,7.5,4.3,3.2,9.6,1.1000001,-2.1000004
37,1985,7.2,3.6,4.3,7.5,-0.7000003,-0.3000002
38,1986,7.0,1.9,3.6,7.2,-1.6999999,-0.19999981
39,1987,6.2,3.6,1.9,7.0,1.6999999,-0.8000002
40,1988,5.5,4.1,3.6,6.2,0.5,-0.6999998
41,1989,5.3,4.8,4.1,5.5,0.7000003,-0.19999981
42,1990,5.6,5.4,4.8,5.3,0.5999999,0.2999997
43,1991,6.8,4.2,5.4,5.6,-1.2000003,1.2000003
44,1992,7.5,3.0,4.2,6.8,-1.1999998,0.6999998
45,1993,6.9,3.0,3.0,7.5,0.0,-0.5999999
46,1994,6.1,2.6,3.0,6.9,-0.4000001,-0.8000002
47,1995,5.6,2.8,2.6,6.1,0.20000005,-0.5
48,1996,5.4,3.0,2.8,5.6,0.20000005,-0.19999981
49,1997,4.9,2.3,3.0,5.4,-0.70000005,-0.5
50,1998,4.5,1.6,2.3,4.9,-0.6999999,-0.4000001
51,1999,4.2,2.2,1.6,4.5,0.6,-0.3000002
52,2000,4.0,3.4,2.2,4.2,1.2,-0.19999981
53,2001,4.8,2.8,3.4,4.0,-0.60000014,0.8000002
54,2002,5.8,1.6,2.8,4.8,-1.1999999,1.0
55,2003,6.0,2.3,1.6,5.8,0.6999999,0.19999981
