,favscr,undscr,spread,favhome,neutral,fav25,und25,fregion,uregion,scrdiff,sprdcvr,favwin
0,72,61.0,7.0,0,0,1,0,3,4,11,1,1
1,82,74.0,7.0,1,0,0,0,3,1,8,1,1
2,87,57.0,17.0,1,0,0,0,3,3,30,1,1
3,69,70.0,9.0,1,0,0,0,3,3,-1,0,0
4,77,79.0,2.5,0,0,0,0,2,3,-2,0,0
5,91,65.0,9.0,0,1,1,0,3,4,26,1,1
6,95,88.0,10.0,1,0,0,0,3,3,7,0,1
7,90,67.0,18.0,1,0,1,0,4,4,23,1,1
8,79,80.0,7.5,0,0,0,0,3,3,-1,0,0
9,103,68.0,8.0,0,0,0,0,2,2,35,1,1
10,88,62.0,2.0,1,0,0,0,2,2,26,1,1
11,78,57.0,10.0,1,0,0,0,2,2,21,1,1
12,74,62.0,6.0,0,0,1,0,4,4,12,1,1
13,64,66.0,5.0,1,0,0,0,4,3,-2,0,0
14,59,82.0,10.0,0,0,0,0,3,4,-23,0,0
15,92,62.0,33.0,1,0,1,0,4,4,30,0,1
16,68,63.0,11.0,1,0,0,0,3,3,5,0,1
17,97,54.0,24.0,1,0,0,0,2,2,43,1,1
18,69,66.0,15.0,0,0,0,0,1,1,3,0,1
19,69,61.0,14.0,1,0,0,0,1,2,8,0,1
20,87,59.0,27.0,1,0,0,0,1,1,28,1,1
21,59,79.0,1.5,0,0,0,0,1,1,-20,0,0
22,72,74.0,8.0,1,0,0,0,1,1,-2,0,0
23,105,53.0,30.0,1,0,1,0,4,4,52,1,1
24,85,58.0,26.0,0,1,0,0,2,4,27,1,1
25,73,80.0,2.0,0,0,0,0,2,4,-7,0,0
26,77,45.0,14.0,1,0,0,0,3,3,32,1,1
27,96,55.0,20.0,1,0,0,0,2,3,41,1,1
28,83,50.0,21.0,1,0,1,0,4,3,33,1,1
29,99,63.0,21.0,1,0,0,0,2,1,36,1,1
30,95,58.0,16.0,1,0,1,0,4,3,37,1,1
31,60,41.0,5.0,0,1,1,0,3,4,19,1,1
32,82,56.0,1.0,0,1,0,0,4,2,26,1,1
33,87,67.0,21.0,1,0,0,0,2,1,20,0,1
34,75,67.0,9.0,1,0,0,0,2,4,8,0,1
35,65,79.0,2.0,0,1,0,0,1,1,-14,0,0
36,89,67.0,20.0,1,0,0,0,1,2,22,1,1
37,84,68.0,1.0,0,1,0,0,4,4,16,1,1
38,87,65.0,25.0,1,0,0,0,4,3,22,0,1
39,107,97.0,4.0,0,1,0,0,3,3,10,1,1
40,73,60.0,26.0,1,0,0,0,4,4,13,0,1
41,90,79.0,8.0,0,1,0,0,4,3,11,1,1
42,58,64.0,2.0,0,0,0,0,2,1,-6,0,0
43,80,76.0,17.0,0,1,0,0,3,4,4,0,1
44,85,49.0,30.0,0,1,0,0,4,1,36,1,1
45,67,65.0,20.0,1,0,0,0,1,2,2,0,1
46,70,65.0,1.0,0,1,1,0,4,3,5,1,1
47,82,63.0,14.0,1,0,0,0,2,1,19,1,1
48,74,68.0,14.0,1,0,1,0,4,3,6,0,1
49,95,73.0,4.0,1,0,0,0,4,3,22,1,1
50,91,71.0,14.0,1,0,0,0,4,3,20,1,1
51,70,65.0,10.0,1,0,1,0,3,2,5,0,1
52,94,71.0,5.5,0,0,1,0,2,2,23,1,1
53,70,77.0,1.0,1,0,0,0,2,2,-7,0,0
54,86,68.0,9.0,1,0,0,0,3,2,18,1,1
55,58,38.0,10.5,1,0,0,0,4,4,20,1,1
56,56,66.0,8.0,0,0,0,0,2,3,-10,0,0
57,82,78.0,3.5,1,0,0,0,3,1,4,1,1
58,85,71.0,8.0,1,0,1,0,3,3,14,1,1
59,75,57.0,4.0,0,1,0,0,3,4,18,1,1
60,79,70.0,1.0,0,1,0,0,4,4,9,1,1
61,87,91.0,2.0,0,0,0,0,3,4,-4,0,0
62,80,77.0,16.0,1,0,0,0,4,4,3,0,1
63,127,,5.0,1,0,0,0,2,4,23,1,1
64,81,70.0,5.5,0,1,1,1,3,4,11,1,1
65,88,74.0,3.5,1,0,0,0,3,4,14,1,1
