,id,educ,date,state,regprc,ecoprc,inseason,hhsize,male,faminc,age,reglbs,ecolbs,numlt5,num5_17,num18_64,numgt64
0,10002,16,111597,SD,1.19,1.19,1,4,0,45,43,2.0,2.0,0,1,3,0
1,10004,16,121897,KS,0.59,0.79,0,1,0,65,37,0.0,2.0,0,0,1,0
2,10034,18,111097,MI,0.59,0.99,1,3,0,65,44,0.0,2.6666667,0,2,1,0
3,10035,12,111597,TN,0.89,1.09,1,2,1,55,55,3.0,0.0,0,0,2,0
4,10039,15,122997,NY,0.89,1.09,0,1,1,25,22,0.0,3.0,0,0,1,0
5,10041,12,112297,WV,0.59,0.79,1,4,0,15,34,0.0,3.0,0,2,2,0
6,10046,14,111597,MI,0.59,0.79,1,5,0,25,72,0.0,2.0,0,1,2,2
7,10048,16,122397,VA,0.59,0.59,0,4,0,45,38,0.0,1.6666666,0,2,2,0
8,10050,17,111697,NY,1.19,1.19,1,1,1,105,50,0.0,0.5,0,0,1,0
9,10057,12,111697,GA,1.19,1.19,1,2,0,25,69,0.0,2.3333333,0,0,0,2
10,10062,18,110897,NY,0.59,0.79,1,3,0,130,37,0.0,3.0,1,0,2,0
11,10066,16,122397,MI,0.59,0.59,0,3,1,130,48,0.0,2.0,1,0,2,0
12,10068,12,111597,OH,1.19,1.39,1,5,0,45,36,0.0,4.0,0,3,2,0
13,10078,13,112397,CA,0.59,0.59,1,2,0,25,37,0.0,1.6666666,0,0,2,0
14,10083,14,112397,CA,0.59,0.59,1,1,0,65,56,0.0,2.6666667,0,0,1,0
15,10085,9,111497,CA,0.89,0.89,1,5,1,15,36,4.0,0.0,2,1,2,0
16,10086,13,121497,CA,1.19,1.39,0,4,0,45,48,0.0,1.0,0,1,3,0
17,10088,18,110897,CA,0.59,0.99,1,2,0,85,71,5.0,0.0,0,0,0,2
18,10091,16,120797,CA,0.89,1.09,0,2,0,250,45,5.0,0.0,0,0,2,0
19,10095,14,112397,TX,1.19,1.39,1,5,0,85,47,0.0,10.0,0,3,2,0
20,10096,18,111097,TX,0.59,0.79,1,2,0,105,52,0.0,2.0,0,0,2,0
21,10102,14,111897,TX,0.89,0.89,1,3,0,45,35,2.3333333,0.6666667,1,0,2,0
22,10103,13,110897,AL,0.59,0.99,1,3,0,25,25,3.0,0.0,1,1,1,0
23,10110,13,112097,WI,0.89,1.29,1,2,0,45,66,2.0,0.0,0,0,0,2
24,10111,12,110897,AL,0.59,0.79,1,2,0,130,83,0.0,2.0,0,0,0,2
25,10112,16,110897,IL,0.59,0.99,1,3,0,95,41,0.0,3.0,0,2,1,0
26,10113,13,111597,IL,1.19,1.39,1,3,1,55,47,0.0,1.0,0,0,3,0
27,10116,10,111697,KY,1.19,1.59,1,1,0,25,60,2.5,0.0,0,0,1,0
28,10117,16,111197,ME,0.89,0.89,1,4,0,65,43,0.0,1.3333334,0,2,2,0
29,10118,16,121597,NY,0.59,0.99,0,6,0,95,26,0.0,0.6666667,3,1,2,0
30,10122,16,112397,IN,0.89,0.89,1,5,0,55,28,0.0,1.0,1,2,2,0
31,10129,18,112297,MA,0.89,0.89,1,1,0,55,49,1.6666666,0.0,0,0,1,0
32,10131,16,121397,NY,0.59,0.79,0,1,1,25,36,0.6666667,0.6666667,0,0,1,0
33,10132,17,111297,RI,0.59,0.79,1,2,1,65,62,2.0,2.0,0,0,1,1
34,10133,12,111597,MD,0.89,1.09,1,1,0,55,37,0.0,2.0,0,0,1,0
35,10136,13,121897,TN,1.19,1.19,0,2,0,35,53,2.0,2.0,0,0,2,0
36,10144,13,111197,NJ,0.89,1.09,1,2,1,105,52,2.6666667,0.0,0,0,2,0
37,10147,16,111197,SC,0.59,0.79,1,4,0,85,29,0.0,3.3333333,2,0,2,0
38,10155,16,121597,FL,1.19,1.39,0,1,0,35,72,0.6666667,0.0,0,0,0,1
39,10182,18,112297,IL,0.89,1.09,1,3,0,65,45,1.0,0.0,1,0,2,0
40,10183,17,111897,IL,1.19,1.19,1,2,0,55,49,0.0,1.0,0,0,2,0
41,10190,17,111697,MN,1.19,1.19,1,2,0,45,53,0.0,2.0,0,0,2,0
42,10191,14,110897,IA,0.59,0.99,1,5,0,95,52,10.0,3.0,1,2,2,0
43,10195,13,111597,WI,0.59,0.79,1,3,1,65,29,0.0,2.0,0,0,3,0
44,10199,12,111697,TN,1.19,1.59,1,3,0,45,57,1.0,0.0,0,0,2,1
45,10203,12,111197,OH,0.59,0.59,1,2,0,25,68,0.0,5.0,0,0,0,2
46,10205,16,111197,NY,0.59,0.99,1,1,0,45,65,0.0,1.0,0,0,0,1
47,10207,16,110897,VA,0.59,0.99,1,8,0,105,50,1.0,1.0,3,0,5,0
48,10208,16,112097,FL,0.89,0.89,1,2,0,35,81,0.0,2.0,0,0,0,2
49,10220,14,112097,GA,1.19,1.39,1,4,0,35,28,0.5,0.5,2,0,2,0
50,10226,16,111897,FL,1.19,1.59,1,2,0,45,77,0.0,5.0,0,0,0,2
51,10229,16,110897,VT,0.59,0.79,1,1,1,45,46,2.0,0.0,0,0,1,0
52,10250,17,112297,CA,0.59,0.59,1,2,1,45,31,0.0,1.6666666,0,0,2,0
53,10259,12,112397,OK,0.89,1.09,1,7,0,15,35,3.0,0.0,0,3,2,2
54,10262,12,112597,MN,0.89,0.89,1,2,0,35,62,0.0,4.0,0,0,2,0
55,10263,13,111697,MO,0.89,1.09,1,3,0,55,38,1.6666666,0.0,0,1,2,0
56,10268,17,111297,FL,0.89,0.89,1,3,1,45,69,0.0,2.0,0,0,1,2
57,10270,18,120697,MN,1.19,1.19,0,4,0,45,50,0.0,1.6666666,0,2,2,0
58,10271,15,111297,TN,0.59,0.79,1,3,0,175,35,0.0,2.0,1,0,2,0
59,10274,17,111697,TX,0.89,0.89,1,3,0,45,62,2.5,0.5,0,0,3,0
60,10276,17,111697,WI,1.19,1.59,1,4,0,65,30,2.0,2.0,2,0,2,0
61,10282,15,111697,IL,0.89,0.89,1,1,0,75,49,1.0,0.0,0,0,1,0
62,10283,15,112197,WI,1.19,1.19,1,3,0,45,37,0.0,1.3333334,1,0,2,0
63,10290,14,122897,NY,1.19,1.39,0,4,1,75,40,5.0,0.0,0,2,2,0
64,10293,12,110997,OH,0.59,0.59,1,4,1,75,50,0.0,3.0,0,0,4,0
65,10294,14,112297,NY,0.59,0.79,1,3,1,55,30,2.0,2.0,1,0,2,0
66,10301,16,111197,CT,0.59,0.59,1,2,0,175,40,0.0,2.0,0,0,2,0
