,id,month,year,sp500,cpi,cpifood,approve,gasprice,unemploy,katrina,rgasprice,lrgasprice,sep11,iraqinvade,lsp500,lcpifood
0,302,2,2001,1239.94,184.4,171.8,59.24,148.4,4.6,0,80.47723,4.3879743,0,0,7.1228185,5.146331
1,303,3,2001,1160.33,185.3,172.2,57.01,144.7,4.5,0,78.089584,4.3578568,0,0,7.05646,5.1486564
2,304,4,2001,1249.46,185.6,172.4,60.31,156.4,4.2,0,84.26724,4.4339933,0,0,7.130467,5.1498175
3,305,5,2001,1255.82,185.5,172.9,55.82,172.9,4.1,0,93.20755,4.5348287,0,0,7.135544,5.1527133
4,306,6,2001,1224.42,185.9,173.4,54.93,164.0,4.7,0,88.219475,4.479828,0,0,7.1102223,5.155601
5,307,7,2001,1211.23,186.2,174.0,56.36,148.2,4.7,0,79.591835,4.3769116,0,0,7.0993915,5.159055
6,308,8,2001,1133.58,186.6,174.4,56.85,142.7,4.9,0,76.47374,4.3369474,0,0,7.033136,5.1613517
7,309,9,2001,1040.94,187.1,174.6,85.6,153.1,4.7,0,81.827896,4.4046183,1,0,6.9478793,5.1624975
8,310,10,2001,1059.78,187.6,175.3,88.65,136.2,5.0,0,72.60128,4.2849827,1,0,6.9658165,5.1664987
9,311,11,2001,1139.45,188.1,175.2,86.35,126.3,5.3,0,67.145134,4.2068563,1,0,7.038301,5.1659284
10,312,12,2001,1148.08,187.8,175.2,85.87,113.1,5.4,0,60.22364,4.098065,0,0,7.0458465,5.1659284
11,313,1,2002,1130.2,188.2,176.2,83.0,113.9,6.3,0,60.52072,4.102986,0,0,7.03015,5.17162
12,314,2,2002,1106.73,189.2,176.4,81.28,113.0,6.1,0,59.72516,4.089753,0,0,7.009165,5.1727543
13,315,3,2002,1147.39,189.8,176.6,79.02,124.1,6.1,0,65.38461,4.180287,0,0,7.045245,5.1738873
14,316,4,2002,1076.92,190.3,176.7,75.54,140.7,5.7,0,73.93589,4.3031983,0,0,6.98186,5.1744533
15,317,5,2002,1067.14,190.2,176.4,75.82,142.1,5.5,0,74.71083,4.313625,0,0,6.9727373,5.1727543
16,318,6,2002,989.81,190.1,176.4,73.62,140.4,6.0,0,73.855865,4.3021154,0,0,6.897513,5.1727543
17,319,7,2002,911.62,190.3,176.6,71.38,141.2,5.9,0,74.19863,4.3067455,0,0,6.815223,5.1738873
18,320,8,2002,916.07,191.0,176.6,66.37,142.3,5.7,0,74.50262,4.3108344,0,0,6.8200927,5.1738873
19,321,9,2002,815.28,191.3,176.9,69.6,142.2,5.4,0,74.33351,4.308562,0,0,6.7035317,5.175585
