,year,avgmin,avgwage,kaitz,avgcov,covt,mfgwage,prdef,prepop,prepopf,prgnp,prunemp,usgnp,t,post74,lprunemp,lprgnp,lusgnp,lkaitz,lprun_1,lprepop,lprep_1,mincov,lmincov,lavgmin
0,1950,0.198,0.398,0.155,0.201,0.29,0.43,0.859,0.47,0.47,878.7,15.4,1203.7,1,0,2.7343674,6.7784433,7.0931554,-1.8643302,,-0.7550226,,0.09999498,-2.3026352,-1.6194882
1,1951,0.209,0.41,0.164,0.207,0.29,0.45,0.881,0.449,0.449,925.0,16.0,1328.2,2,0,2.7725887,6.829794,7.19158,-1.8078889,-1.8708026,-0.8007324,-0.7550226,0.10551952,-2.2488594,-1.565421
2,1952,0.225,0.421,0.18,0.226,0.29,0.48,0.953,0.434,0.434,1015.9,14.8,1380.0,3,0,2.6946273,6.92353,7.229839,-1.7147983,-1.8325815,-0.8347108,-0.8007324,0.12078384,-2.1137528,-1.4916549
3,1953,0.311,0.48,0.229,0.231,0.29,0.5,0.97,0.428,0.428,1081.3,14.5,1435.3,4,0,2.6741486,6.9859195,7.2691293,-1.4740332,-1.910543,-0.8486321,-0.8347108,0.14966875,-1.8993307,-1.1679624
4,1954,0.313,0.508,0.211,0.224,0.29,0.52,1.0,0.415,0.415,1104.4,15.299999,1416.2,5,0,2.7278528,7.0070577,7.2557325,-1.5558971,-1.9310216,-0.8794768,-0.8486321,0.13801575,-1.9803874,-1.1615521
5,1955,0.369,0.547,0.231,0.236,0.29,0.57,1.003,0.419,0.419,1138.5,13.2,1494.9,6,0,2.580217,7.037467,7.3098145,-1.4653375,-1.8773174,-0.8698844,-0.8794768,0.15920292,-1.8375757,-0.9969587
6,1956,0.447,0.601,0.257,0.245,0.29,0.64,1.011,0.412,0.412,1185.1,13.3,1525.6,7,0,2.587764,7.0775824,7.330143,-1.3586792,-2.0249534,-0.8867319,-0.8698844,0.1822213,-1.7025335,-0.8051967
7,1957,0.488,0.685,0.251,0.244,0.29,0.76,1.035,0.412,0.412,1221.8,12.8,1551.1,8,0,2.5494452,7.1080804,7.3467197,-1.3823024,-2.0174062,-0.8867319,-0.8867319,0.17382774,-1.7496905,-0.7174399
8,1958,0.555,0.716,0.258,0.238,0.29,0.83,1.089,0.397,0.397,1258.4,14.200001,1539.2,9,0,2.653242,7.1375966,7.339018,-1.3547957,-2.0557249,-0.92381895,-0.8867319,0.18448325,-1.6901966,-0.58878714
9,1959,0.588,0.789,0.266,0.26,0.29,0.87,1.11,0.394,0.394,1363.6,13.3,1629.1,10,0,2.587764,7.2178836,7.395783,-1.3242589,-1.9519281,-0.9314044,-0.92381895,0.19376425,-1.641113,-0.53102833
10,1960,0.616,0.84,0.268,0.27,0.29,0.92,1.138,0.403,0.403,1473.2,11.8,1665.3,11,0,2.4680996,7.2951922,7.4177604,-1.3167683,-2.0174062,-0.9088187,-0.9314044,0.19800001,-1.6194881,-0.48450834
11,1961,0.608,0.875,0.251,0.269,0.29,0.99,1.173,0.397,0.397,1562.8,12.700001,1708.7,12,0,2.5416021,7.354234,7.443488,-1.3823024,-2.1370707,-0.92381895,-0.9088187,0.18691656,-1.6770929,-0.49758044
12,1962,0.707,0.933,0.27,0.279,0.29,1.06,1.216,0.385,0.385,1683.9,12.8,1799.4,13,0,2.5494452,7.428868,7.4952087,-1.3093333,-2.063568,-0.95451194,-0.92381895,0.21141802,-1.553918,-0.3467246
13,1963,0.723,1.036,0.255,0.279,0.29,1.13,1.247,0.395,0.395,1820.7,11.0,1873.3,14,0,2.3978953,7.506976,7.5354567,-1.3664918,-2.0557249,-0.9288695,-0.95451194,0.19470753,-1.6362567,-0.32434607
14,1964,0.809,1.097,0.274,0.294,0.31,1.18,1.298,0.396,0.396,1916.8,11.200001,1973.3,15,0,2.4159138,7.5584126,7.5874624,-1.2946272,-2.207275,-0.92634106,-0.9288695,0.21681495,-1.5287111,-0.21195634
15,1965,0.834,1.176,0.271,0.302,0.31,1.23,1.327,0.401,0.401,2083.0,11.7,2087.6,16,0,2.4595888,7.6415644,7.64377,-1.3056365,-2.1892564,-0.91379386,-0.92634106,0.21417345,-1.540969,-0.18152189
16,1966,0.854,1.288,0.325,0.444,0.44,1.29,1.358,0.399,0.399,2223.2,12.3,2208.3,17,0,2.5095992,7.7067027,7.6999784,-1.1239301,-2.1455812,-0.9187939,-0.91379386,0.2943913,-1.2228454,-0.15782411
17,1967,0.971,1.371,0.365,0.448,0.44,1.39,1.421,0.399,0.399,2328.4,11.599999,2271.4,18,0,2.451005,7.7529364,7.728152,-1.0078579,-2.0955708,-0.9187939,-0.9187939,0.31729248,-1.1479312,-0.029428795
18,1968,1.104,1.512,0.381,0.455,0.44,1.55,1.5,0.403,0.403,2455.3,10.3,2365.6,19,0,2.332144,7.806004,7.768787,-0.96495587,-2.154165,-0.9088187,-0.9187939,0.33222222,-1.1019512,0.098939925
19,1969,1.149,1.667,0.36,0.455,0.49,1.65,1.552,0.399,0.399,2684.0,10.3,2423.3,20,0,2.332144,7.8950634,7.792886,-1.0216511,-2.2730262,-0.9187939,-0.9088187,0.31361428,-1.1595914,0.13889204
20,1970,1.209,1.856,0.347,0.458,0.47,1.76,1.616,0.428,0.395,2901.4,10.7,2416.2,21,0,2.3702438,7.9729486,7.7899513,-1.0584304,-2.2730262,-0.8486321,-0.9187939,0.2983416,-1.2095162,0.18979357
21,1971,1.224,1.99,0.331,0.457,0.47,1.87,1.708,0.423,0.398,3075.6,11.599999,2484.8,22,0,2.451005,8.031256,7.8179474,-1.105637,-2.2349265,-0.8603831,-0.8486321,0.28108943,-1.2690824,0.20212416
22,1972,1.257,2.144,0.316,0.449,0.47,2.0,1.78,0.423,0.393,3215.9,11.900001,2608.5,23,0,2.4765384,8.075863,7.8665304,-1.1520131,-2.154165,-0.8603831,-0.8603831,0.263243,-1.3346778,0.2287279
23,1973,1.262,2.281,0.304,0.452,0.47,2.13,1.817,0.421,0.389,3450.3,11.599999,2744.1,24,0,2.451005,8.146216,7.9172087,-1.1907276,-2.1286318,-0.86512244,-0.8603831,0.2500763,-1.3859892,0.23269774
24,1974,1.681,2.452,0.381,0.544,0.6,2.32,1.946,0.405,0.358,3493.6,13.2,2729.3,25,1,2.580217,8.158688,7.9118004,-0.96495587,-2.154165,-0.9038682,-0.86512244,0.3729462,-0.9863211,0.51938885
25,1975,1.871,2.562,0.434,0.594,0.66,2.56,2.082,0.368,0.336,3424.7,18.099998,2695.0,26,2,2.895912,8.138769,7.8991537,-0.8347108,-2.0249534,-0.99967235,-0.9038682,0.43379155,-0.8351912,0.62647307
26,1976,2.034,2.681,0.442,0.588,0.64,2.78,2.174,0.364,0.334,3461.6,19.5,2826.7,27,3,2.9704144,8.149487,7.946865,-0.8164454,-1.7092583,-1.0106014,-0.99967235,0.4460992,-0.80721396,0.71000427
27,1977,2.198,3.023,0.435,0.59,0.64,3.02,2.24,0.358,0.364,3623.5,19.9,2958.6,28,4,2.9907198,8.195196,7.9924717,-0.83240926,-1.6347557,-1.0272223,-1.0106014,0.42898443,-0.84633464,0.7875478
28,1978,2.509,3.323,0.456,0.596,0.64,3.36,2.34,0.362,0.36,3817.4,18.099998,3115.2,29,5,2.895912,8.247325,8.044048,-0.78526247,-1.6144505,-1.0161111,-1.0272223,0.45000425,-0.7984983,0.91988426
29,1979,2.768,3.589,0.468,0.594,0.64,3.69,2.483,0.36,0.36,4025.0,17.0,3192.4,30,6,2.8332133,8.300281,8.068528,-0.759287,-1.7092583,-1.0216511,-1.0161111,0.45811978,-0.7806246,1.0181249
30,1980,2.997,3.883,0.461,0.589,0.64,4.02,2.716,0.359,0.355,4076.8,17.1,3187.1,31,7,2.8390784,8.313067,8.066867,-0.77435726,-1.7719568,-1.0244329,-1.0216511,0.45460546,-0.78832537,1.0976118
31,1981,3.264,4.181,0.467,0.587,0.64,4.39,2.954,0.343,0.328,4127.0,19.9,3248.8,32,8,2.9907198,8.325306,8.086041,-0.76142603,-1.7660917,-1.0700248,-1.0244329,0.4582559,-0.78032756,1.1829535
32,1982,3.305,4.318,0.461,0.585,0.64,4.64,3.175,0.318,0.314,3976.5,22.8,3166.0,33,9,3.1267605,8.288157,8.060225,-0.77435726,-1.6144505,-1.1457039,-1.0700248,0.4477594,-0.8034993,1.1954365
33,1983,3.35,4.456,0.454,0.583,0.64,4.83,3.321,0.321,0.329,3894.8,23.4,3279.1,34,10,3.152736,8.267398,8.0953245,-0.78965807,-1.4784096,-1.1363142,-1.1457039,0.43829668,-0.82485926,1.2089603
34,1984,3.35,4.498,0.449,0.586,0.64,5.02,3.461,0.334,0.332,4048.4,20.7,3501.4,35,11,3.0301337,8.306077,8.160918,-0.8007324,-1.4524342,-1.0966144,-1.1363142,0.4364384,-0.829108,1.2089603
35,1985,3.35,4.565,0.44,0.579,0.64,5.19,3.548,0.331,0.338,4172.8,21.8,3607.5,36,12,3.08191,8.336343,8.19077,-0.82098055,-1.5750365,-1.105637,-1.0966144,0.4248959,-0.8559111,1.2089603
36,1986,3.35,4.725,0.426,0.581,0.64,5.31,3.697,0.351,0.362,4281.6,18.9,3713.3,37,13,2.939162,8.3620825,8.219676,-0.85331595,-1.5232602,-1.046969,-1.105637,0.4119259,-0.88691175,1.2089603
37,1987,3.35,4.879,0.409,0.582,0.64,5.33,3.787,0.369,0.377,4496.7,16.8,3819.6,38,14,2.821379,8.411099,8.247901,-0.8940401,-1.6660082,-0.9969587,-1.046969,0.39961055,-0.9172648,1.2089603
