,state,admn90,admn85,open90,open85,dthrte90,dthrte85,speed90,speed85,cdthrte,cadmn,copen,cspeed
0,AL,0,0,0,0,2.6,2.9,1,0,-0.3000002,0,0,1
1,AK,1,1,1,0,2.1,3.2,0,0,-1.1000001,0,1,0
2,AZ,1,0,0,0,2.5,4.4,1,0,-1.9000001,1,0,1
3,AR,0,0,0,0,2.9,3.4,1,0,-0.5,0,0,1
4,CA,1,0,1,1,2.0,2.6,1,0,-0.5999999,1,0,1
5,CO,1,1,0,0,1.9,2.4,1,0,-0.5000001,0,0,1
6,CT,1,0,0,0,1.5,2.0,0,0,-0.5,1,0,0
7,DE,1,1,0,0,2.2,2.2,0,0,0.0,0,0,0
8,DC,1,1,0,0,1.6,3.0,0,0,-1.4,0,0,0
9,FL,1,0,1,0,2.7,3.4,1,0,-0.70000005,1,1,1
10,GA,0,0,0,0,2.0,2.7,1,0,-0.70000005,0,0,1
11,HI,0,0,1,1,2.3,2.0,0,0,0.29999995,0,0,0
12,ID,0,0,1,1,2.9,3.5,1,0,-0.5999999,0,0,1
13,IL,1,0,1,1,1.9,2.3,1,0,-0.39999998,1,0,1
14,IN,1,1,0,0,1.8,2.6,1,0,-0.79999995,0,0,1
15,IA,1,1,1,1,2.1,2.4,1,0,-0.3000002,0,0,1
16,KS,1,0,1,1,2.1,2.6,1,0,-0.5,1,0,1
17,KY,0,0,0,0,2.6,2.6,1,0,0.0,0,0,1
18,LA,1,1,0,0,2.5,3.0,1,0,-0.5,0,0,1
19,ME,1,1,0,0,1.8,2.4,1,0,-0.60000014,0,0,1
20,MD,1,0,1,1,1.9,2.3,0,0,-0.39999998,1,0,0
21,MA,0,0,0,0,1.3,1.9,0,0,-0.6,0,0,0
22,MI,0,0,1,1,1.9,2.4,1,0,-0.5000001,0,0,1
23,MN,1,1,1,1,1.5,2.0,1,0,-0.5,0,0,1
24,MS,1,1,0,0,3.2,3.6,1,0,-0.39999986,0,0,1
25,MO,1,1,0,0,2.3,2.6,1,0,-0.29999995,0,0,1
26,MT,0,0,1,1,2.5,3.1,1,0,-0.5999999,0,0,1
27,NE,0,0,0,0,1.9,2.1,1,0,-0.19999993,0,0,1
28,NV,1,1,0,0,3.6,3.9,1,0,-0.3000002,0,0,1
29,NH,0,0,0,0,1.6,2.6,1,0,-0.9999999,0,0,1
30,NJ,0,0,0,0,1.5,1.9,0,0,-0.39999998,0,0,0
31,NM,1,1,1,0,3.1,4.2,1,0,-1.0999999,0,1,1
32,NY,0,0,0,0,2.0,2.3,0,0,-0.29999995,0,0,0
33,NC,1,1,1,1,2.3,3.1,1,0,-0.79999995,0,0,1
34,ND,1,1,1,1,1.9,2.2,1,0,-0.30000007,0,0,1
35,OH,0,0,0,0,1.8,2.1,1,0,-0.29999995,0,0,1
36,OK,1,1,1,1,2.0,2.5,1,0,-0.5,0,0,1
37,OR,1,1,1,1,2.2,2.8,1,0,-0.5999999,0,0,1
38,PA,0,0,0,0,1.9,2.4,0,0,-0.5000001,0,0,0
39,RI,0,0,0,0,1.3,2.1,0,0,-0.79999995,0,0,0
40,SC,0,0,1,1,2.9,3.5,1,0,-0.5999999,0,0,1
41,SD,0,0,1,1,2.3,2.3,1,0,0.0,0,0,1
42,TN,0,0,0,0,2.6,3.4,1,0,-0.8000002,0,0,1
43,TX,0,0,0,0,2.0,2.7,1,0,-0.70000005,0,0,1
44,UT,1,1,1,1,2.0,2.8,1,0,-0.79999995,0,0,1
45,VT,1,0,0,0,1.5,2.5,1,0,-1.0,1,0,1
46,VA,0,0,0,0,1.8,2.1,1,0,-0.29999995,0,0,1
47,WA,0,1,1,1,1.9,2.3,1,0,-0.39999998,-1,0,1
48,WV,1,1,0,0,3.2,3.6,1,0,-0.39999986,0,0,1
49,WI,1,0,1,1,1.8,2.1,1,0,-0.29999995,1,0,1
50,WY,1,1,0,0,2.2,2.7,1,0,-0.5,0,0,1
